	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	0	en	ar	 about how long have these symptoms been going on? 	منذ متى لا تزال هذه الأعراض مستمرة تقريبًا؟	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 منذ متى تستمر هذه الأعراض؟ 
1	1	en	ar	 and all chest pain should be treated this way especially with your age 	وينبغي علاج كل آلام الصدر بهذه الطريقة خاصة في عمرك	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 ويجب علاج جميع آلام الصدر بهذه الطريقة خاصة مع عمرك 
2	2	en	ar	 and along with a fever 	وبالإضافة إلى الحمى	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وجنبا إلى جنب مع الحمى 
3	3	en	ar	 and also needs to be checked your cholesterol blood pressure 	ويلزم أيضًا فحص ضغط كوليسترول الدم لديك	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 ويحتاج أيضا إلى فحص ضغط الدم الكولسترول 
4	4	en	ar	 and are you having a fever now? 	وهل تعاني من الحمى الآن؟	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وهل تعاني من الحمى الآن؟ 
5	5	en	ar	 and are you having this chest pain now? 	وهل تشعر بهذا الألم في الصدر الآن؟	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وهل تعاني من ألم الصدر الآن؟ 
6	6	en	ar	 and besides do you have difficulty breathing 	وبالإضافة إلى ذلك هل لديك صعوبة في التنفس	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وإلى جانب هل لديك صعوبة في التنفس 
7	7	en	ar	 and can you tell me what other symptoms are you having along with this? 	وهل يمكنك إخباري بالأعراض الأخرى التي لديك بالإضافة إلى هذا؟	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وهل يمكن أن تخبرني ما هي الأعراض الأخرى التي تعاني منها مع هذا؟ 
8	8	en	ar	 and how high has your fever been 	وما مدى ارتفاع درجة الحرارة الذي أصابك	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وما مدى ارتفاع درجة حرارتك 
9	9	en	ar	 and i have a cough too 	وأعاني من السعال أيضًا	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 ولدي سعال أيضا 
10	10	en	ar	 and i have a little cold and a cough 	وأعاني من القليل من البرد والسعال	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 ولدي القليل من البرد والسعال 
11	11	en	ar	 and i'm really having some bad chest pain today 	وأعاني من بعض آلام الصدر الشديدة اليوم	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وأنا حقا أعاني من بعض آلام الصدر السيئة اليوم 
12	12	en	ar	 and is this the right time for your hay fever 	وهل هذا هو الوقت الصحيح لحمى القش التي تصيبك	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وهل هذا هو الوقت المناسب لحمى القش 
13	13	en	ar	 and it get the chest pain 	ويحدث ألم في الصدر	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 ويصاب بألم في الصدر 
14	14	en	ar	 and i think i have a little bit of a fever 	وأعتقد أن لدي قدرًا بسيطًا من الحمى	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وأعتقد أن لدي القليل من الحمى 
15	15	en	ar	 and i want you to describe where the chest pain is 	وأريد منك وصف مكان الشعور بألم في الصدر	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وأريدك أن تصف مكان ألم الصدر 
16	16	en	ar	 and they're having some fevers as well 	ويعانون كذلك من بعض الحمى	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وهم يعانون من بعض الحمى أيضا 
17	17	en	ar	 and with your history of diabetes 	ومع تاريخ إصابتك بمرض السكري	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 ومع تاريخك من مرض السكري 
18	18	en	ar	 and you know it feels like my chest is like gonna crush 	وكما تعلم أشعر كأن صدري سيتحطم	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 وأنت تعلم أنه يبدو أن صدري يشبه السحق 
