	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	0	en	hi	 about how long have these symptoms been going on? 	ये लक्षण लगभग कितने समय से चल रहे हैं?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 ये लक्षण कब से चल रहे हैं? 
1	1	en	hi	 and all chest pain should be treated this way especially with your age 	और विशेष रूप से आपकी आयु वाले व्यक्तियों में छाती में दर्द होने के सभी मामलों का उपचार इस तरह से किया जाना चाहिए	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और सभी सीने के दर्द का इलाज इस तरह से किया जाना चाहिए, खासकर आपकी उम्र के साथ 
2	2	en	hi	 and along with a fever 	और बुखार के साथ	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और बुखार के साथ 
3	3	en	hi	 and also needs to be checked your cholesterol blood pressure 	और आपके कोलेस्ट्रॉल रक्तचाप की जाँच भी की जानी चाहिए	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और आपके कोलेस्ट्रॉल रक्तचाप की भी जांच करने की आवश्यकता है 
4	4	en	hi	 and are you having a fever now? 	और क्या आपको अभी बुखार है?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और क्या आपको अब बुखार है? 
5	5	en	hi	 and are you having this chest pain now? 	और क्या अब आपको छाती में यह दर्द हो रहा है?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और क्या आपको अब यह सीने में दर्द हो रहा है? 
6	6	en	hi	 and besides do you have difficulty breathing 	और इसके अलावा क्या आपको साँस लेने में कठिनाई होती है	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और इसके अलावा आपको सांस लेने में कठिनाई होती है 
7	7	en	hi	 and can you tell me what other symptoms are you having along with this? 	और क्या आप मुझे बता सकते हैं कि इसके साथ-साथ आपके और क्या लक्षण हैं?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और क्या आप मुझे बता सकते हैं कि इसके साथ आपके पास अन्य लक्षण क्या हैं? 
8	8	en	hi	 and how high has your fever been 	और आपका बुखार कितना उच्च रहा है	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और आपका बुखार कितना तेज हो गया है 
9	9	en	hi	 and i have a cough too 	और मुझे खांसी भी है	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	 और मुझे खांसी भी है 
