	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	0	en	km	 about how long have these symptoms been going on? 	តើរោគសញ្ញាទាំងនេះបាននឹងកំពុងកើតឡើងយូរប៉ុន្មានហើយ?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តើរោគសញ្ញាទាំងនេះបានកើតឡើងរយៈពេលប៉ុន្មាន? 
1	1	en	km	 and all chest pain should be treated this way especially with your age 	ហើយរាល់ការឈឺទ្រូងទាំងអស់គឺគួរតែព្យាបាលតាមវិធីនេះ ជាពិសេសព្យាបាលទៅតាមអាយុរបស់អ្នក	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយការឈឺចាប់ទ្រូងទាំងអស់គួរតែព្យាបាលតាមរបៀបនេះជាពិសេសជាមួយនឹងអាយុរបស់អ្នក 
2	2	en	km	 and along with a fever 	និងមានគ្រុនក្តៅផងដែរ	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 និងរួមជាមួយគ្រុនក្តៅ 
3	3	en	km	 and also needs to be checked your cholesterol blood pressure 	ហើយក៏ត្រូវពិនិត្យសម្ពាធឈាមកូលេស្តេរ៉ុលរបស់អ្នកផងដែរ	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយក៏ត្រូវពិនិត្យសម្ពាធឈាមកូឡេស្តេរ៉ុលរបស់អ្នកដែរ 
4	4	en	km	 and are you having a fever now? 	ហើយឥឡូវនេះ អ្នកនៅតែមានជំងឺគ្រុនក្ដៅមែនទេ?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ តើ អ្នក មាន គ្រុន ក្តៅ ឥឡូវ នេះ ឬ ទេ ? 
5	5	en	km	 and are you having this chest pain now? 	ហើយឥឡូវនេះ តើអ្នកកំពុងតែឈឺទ្រូងដែរឬទេ?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ តើ អ្នក កំពុង ឈឺ ទ្រូង នេះ ឥឡូវ នេះ ឬ ទេ ? 
6	6	en	km	 and besides do you have difficulty breathing 	ហើយក្រៅពីនេះ តើអ្នកពិបាកដកដង្ហើមដែរឬទេ	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 និង ក្រៅ ពី នេះ អ្នក មាន ការ លំបាក ក្នុង ការ ដក ដង្ហើម 
7	7	en	km	 and can you tell me what other symptoms are you having along with this? 	ហើយអ្នកអាចប្រាប់ខ្ញុំបានទេថា តើរោគសញ្ញាអ្វីទៀតដែលអ្នកកំពុងតែមានជាមួយនឹង​វា?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ តើ អ្នក អាច ប្រាប់ ខ្ញុំ ថា តើ អ្នក មាន រោគ សញ្ញា អ្វី ផ្សេង ទៀត ដែល អ្នក មាន ជាមួយ នឹង រឿង នេះ ? 
8	8	en	km	 and how high has your fever been 	ហើយតើកំដៅរបស់អ្នកធ្លាប់ឡើងដល់កម្រិតណា	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ តើ គ្រុន ក្តៅ របស់ អ្នក ខ្ពស់ ប៉ុណ្ណា 
9	9	en	km	 and i have a cough too 	ហើយខ្ញុំក៏មានក្អកដែរ	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ ខ្ញុំ ក៏ មាន ក្អក ដែរ 
10	10	en	km	 and i have a little cold and a cough 	ហើយខ្ញុំមានជំងឺផ្តាសាយ និងក្អកបន្តិចបន្តួច	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ ខ្ញុំ ត្រជាក់ បន្តិច ហើយ សន្លប់ 
11	11	en	km	 and i'm really having some bad chest pain today 	ហើយនៅថ្ងៃនេះ ខ្ញុំពិតជាឈឺទ្រូងខ្លាំងណាស់	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ ខ្ញុំ ពិត ជា ឈឺ ទ្រូង អាក្រក់ នៅ ថ្ងៃ នេះ 
12	12	en	km	 and is this the right time for your hay fever 	ហើយតើនេះជាពេលវេលាសមស្របសម្រាប់អាការតឹងច្រមុះរបស់អ្នកដែលឬទេ	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ នេះ ជា ពេល វេលា ត្រឹម ត្រូវ សម្រាប់ គ្រុន ក្តៅ ស្មៅ របស់ អ្នក 
13	13	en	km	 and it get the chest pain 	ហើយវាធ្វើឱ្យឈឺទ្រូង	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ វា ធ្វើ ឲ្យ ឈឺ ទ្រូង 
14	14	en	km	 and i think i have a little bit of a fever 	ហើយខ្ញុំគិតថា ខ្ញុំក្តៅខ្លួនតិចតូច	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ ខ្ញុំ គិត ថា ខ្ញុំ មាន គ្រុន ក្តៅ បន្តិច 
15	15	en	km	 and i want you to describe where the chest pain is 	ហើយខ្ញុំចង់ឱ្យអ្នកប្រាប់លម្អិតពីកន្លែងឈឺទ្រូងនេះ	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ ខ្ញុំ ចង់ ឲ្យ អ្នក ពិពណ៌នា ពី កន្លែង ដែល ឈឺ ទ្រូង 
16	16	en	km	 and they're having some fevers as well 	ហើយពួកគេក៏មានគ្រុនក្តៅតិចតួចដែរ	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ ពួក គេ ក៏ មាន គ្រុន ក្តៅ មួយ ចំនួន ផង ដែរ 
17	17	en	km	 and with your history of diabetes 	និងជាមួយប្រវត្តិជំងឺទឹកនោមផ្អែមរបស់អ្នក	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 និងជាមួយប្រវត្តិនៃជំងឺទឹកនោមផ្អែមរបស់អ្នក 
18	18	en	km	 and you know it feels like my chest is like gonna crush 	អ្នកដឹងទេ វាមានអារម្មណ៍ដូចជាទ្រូងរបស់ខ្ញុំបម្រុងនឹងផ្ទុះអ៊ីចឹង	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ អ្នក ដឹង ថា វា មាន អារម្មណ៍ ថា ទ្រូង របស់ ខ្ញុំ គឺ ដូច ជា ការ ខ្ទេចខ្ទី 
19	19	en	km	 and you know people cough on me all the time 	ហើយអ្នកដឹងថាមានគេក្អកដាក់ខ្ញុំគ្រប់ពេល	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ អ្នក ស្គាល់ មនុស្ស សន្លប់ លើ ខ្ញុំ គ្រប់ ពេល 
20	20	en	km	 and you're having chest pain 	ហើយអ្នកកំពុងឈឺទ្រូង	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ អ្នក កំពុង ឈឺ ទ្រូង 
21	21	en	km	 and you said this is a pressure in your chest 	ហើយអ្នកបាន​និយាយថា នេះគឺជាសម្ពាធនៅក្នុងទ្រូងរបស់អ្នក	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ហើយ អ្នក បាន និយាយ ថា នេះ គឺ ជា សម្ពាធ នៅ ក្នុង ទ្រូង របស់ អ្នក 
22	22	en	km	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	នរណាម្នាក់នៅក្នុងគ្រួសារមានបញ្ហាបេះដូង ជំងឺគាំងបេះដូង ជំងឺលើសឈាម ការឡើងជាតិកូលេស្តេរ៉ុលខ្ពស់	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 នរណា ម្នាក់ ក្នុង គ្រួសារ មាន បញ្ហា បេះដូង ជំងឺ បេះដូង គាំង កូលេស្ទើរ៉ូល ខ្ពស់ សម្ពាធ ឈាម ខ្ពស់ 
23	23	en	km	 any other symptoms or problems that you notice with the muscle aches? 	តើមានរោគសញ្ញា ឬបញ្ហាអ្វីផ្សេងទៀតដែលអ្នកកត់សម្គាល់ឃើញ ដូចជាការឈឺសាច់ដុំដែរឬទេ?	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 រោគសញ្ញា ឬបញ្ហាផ្សេងៗដែលអ្នកកត់សម្គាល់ជាមួយការឈឺសាច់ដុំ? 
24	24	en	km	 are there other people sick as you at home with your same symptoms? 	តើនៅឯផ្ទះមានអ្នកណាផ្សេងទៀតឈឺដូចអ្នក និងមានរោគសញ្ញាដូចអ្នកដែរឬទេ?	CMU_1:33	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តើ មាន មនុស្ស ផ្សេង ទៀត ឈឺ ដូច អ្នក នៅ ផ្ទះ ជាមួយ នឹង រោគ សញ្ញា ដូច គ្នា របស់ អ្នក ឬ ទេ ? 
25	25	en	km	 are you having any other symptoms? 	តើអ្នកមានរោគសញ្ញាផ្សេងទៀតដែរឬទេ?	CMU_1:35	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តើ អ្នក មាន រោគ សញ្ញា ផ្សេង ទៀត ឬ ទេ ? 
26	26	en	km	 are you having any shortness of breath? 	តើអ្នកមានការថប់ដង្ហើមដែរឬទេ?	CMU_1:36	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តើ អ្នក មាន ការ ដក ដង្ហើម ខ្លី ឬ ទេ ? 
27	27	en	km	 are you still having the chest pain 	អ្នកនៅតែឈឺទ្រូងទៀតឬ	CMU_1:37	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 អ្នក នៅ តែ ឈឺ ទ្រូង 
28	28	en	km	 because this is flu season 	ព្រោះនេះជារដូវផ្តាសាយធំ	CMU_1:38	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ព្រោះ នេះ ជា រដូវ ផ្តាសាយ 
29	29	en	km	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	ប៉ុន្តែយើងក៏មិនគួរព្រងើយចំពោះការឈឺទ្រូងដែលកើតចេញពីផ្នែកនៃបេះដូងនោះទេ	CMU_1:40	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ប៉ុន្តែ យើង ក៏ មិន គួរ ដាក់ ផ្នែក មួយ សម្រាប់ ការ ឈឺ ចាប់ ទ្រូង ដើម បេះដូង ដែរ 
30	30	en	km	 but a more important problem now is this chest pain 	ប៉ុន្តែឥឡូវនេះ បញ្ហាសំខាន់ជាងនេះទៀតគឺការឈឺទ្រូង	CMU_1:41	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ប៉ុន្តែ បញ្ហា សំខាន់ ជាង នេះ ឥឡូវ នេះ គឺ ការ ឈឺ ទ្រូង នេះ 
31	31	en	km	 but i have difficulty breathing 	ប៉ុន្តែខ្ញុំមានការពិបាកដកដង្ហើម	CMU_1:43	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ប៉ុន្តែ ខ្ញុំ ពិបាក ដក ដង្ហើម 
32	32	en	km	 but i know lot of people cough on me 	ប៉ុន្តែខ្ញុំដឹងថា មានមនុស្សជាច្រើនក្អកដាក់ខ្ញុំ	CMU_1:44	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ប៉ុន្តែ ខ្ញុំ ដឹង ថា មនុស្ស ជា ច្រើន សន្លប់ លើ ខ្ញុំ 
33	33	en	km	 but we need to treat every chest pain with the utmost seriousness 	ប៉ុន្តែយើងត្រូវការព្យាបាលរាល់ការឈឺទ្រូងទាំងអស់ដោយហ្មត់ចត់បំផុត	CMU_1:45	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 ប៉ុន្តែ យើង ត្រូវ ព្យាបាល រាល់ ការ ឈឺ ទ្រូង ដោយ ភាព ធ្ងន់ធ្ងរ បំផុត 
34	34	en	km	 but you're breathing all right right now right? 	ប៉ុន្តែឥឡូវនេះ អ្នកកំពុងដកដង្ហើមបានស្រួលធម្មតាមែនទេ?	CMU_1:46	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តែពេលនេះអ្នកកំពុងដកដង្ហើមអស់ស្ទះមែនទេ? 
35	35	en	km	 'cause of this chest pain i totally forgot 	ព្រោះតែការឈឺទ្រូងនេះ ធ្វើឱ្យខ្ញុំភ្លេចឈឹង	CMU_1:47	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	"["" ' មូលហេតុ នៃ ការ ឈឺ ទ្រូង នេះ ខ្ញុំ ភ្លេច ទាំង ស្រុង ""]"
36	36	en	km	 does it feel like somebody squeezing your chest 	អ្នកមានអារម្មណ៍ដូចជាមាននរណាម្នាក់កំពុងច្របាច់ទ្រូងរបស់អ្នកទេ	CMU_1:49	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តើ វា មាន អារម្មណ៍ ថា នរណា ម្នាក់ បង្ខិត ទ្រូង របស់ អ្នក ដែរ ឬ ទេ 
37	37	en	km	 do still feel like shortness of breath 	នៅតែមានអារម្មណថាថប់ដង្ហើម	CMU_1:50	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តើ អ្នក នៅ តែ មាន អារម្មណ៍ ថា ខ្លី នៃ ការ ដក ដង្ហើម 
38	38	en	km	 do they complain of being sick similar symptoms? 	តើពួកគេត្អូញត្អែរថាឈឺដោយមានរោគសញ្ញានានាស្រដៀងគ្នាដែរឬទេ?	CMU_1:51	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តើ ពួកគេ ត្អូញត្អែរ ថា មាន រោគ សញ្ញា ស្រដៀង គ្នា នេះ ឬ ទេ ? 
39	39	en	km	 do you have any other chronic like high blood pressure or anything like that? 	តើអ្នកមានជំងឺរ៉ាំរ៉ៃដូចជាជំងឺលើសឈាម ឬជំងឺអ្វីផ្សេងទៀតដែរទេ?	CMU_1:53	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	kmUEg=	 តើ អ្នក មាន រ៉ាំរ៉ៃ ផ្សេង ទៀត ដូច ជា សម្ពាធ ឈាម ខ្ពស់ ឬ អ្វី ផ្សេង ទៀត បែប នេះ ដែរ ឬ ទេ ? 
