	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	0	en	ms	about how long have these symptoms been going on?	agak-agak sudah berapa lamakah simptom ini berterusan?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	Berapa lamakah gejala-gejala ini berlaku?
1	1	en	ms	and all chest pain should be treated this way especially with your age	dan semua sakit dada perlu dirawat dengan cara ini terutamanya pada usia anda	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan semua sakit dada perlu dirawat dengan cara ini terutamanya dengan usia anda
2	2	en	ms	and along with a fever	dan berserta demam	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan bersama-sama dengan demam
3	3	en	ms	and also needs to be checked your cholesterol blood pressure	dan yang perlu diperiksa juga ialah tekanan darah kolesterol anda	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan juga perlu diperiksa tekanan darah kolesterol anda
4	4	en	ms	and are you having a fever now?	dan adakah anda sedang mengalami demam sekarang?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	Dan adakah anda mengalami demam sekarang?
5	5	en	ms	and are you having this chest pain now?	dan adakah anda sedang mengalami sakit dada sekarang?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan adakah anda mengalami sakit dada sekarang?
6	6	en	ms	and besides do you have difficulty breathing	dan selain itu adakah anda mengalami kesukaran untuk bernafas	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan selain itu adakah anda mengalami kesukaran bernafas
7	7	en	ms	and can you tell me what other symptoms are you having along with this?	dan bolehkah anda beritahu saya simptom lain yang anda alami bersama-sama simptom ini?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan bolehkah anda memberitahu saya apa gejala lain yang anda alami bersama-sama dengan ini?
8	8	en	ms	and how high has your fever been	dan setinggi mana suhu demam anda	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan berapa tinggi demam anda
9	9	en	ms	and i have a cough too	dan saya juga batuk	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	Dan saya juga mempunyai batuk
10	10	en	ms	and i have a little cold and a cough	dan saya mengalami sedikit selesema dan batuk	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	Dan saya mempunyai sedikit selsema dan batuk
11	11	en	ms	and i'm really having some bad chest pain today	dan dada saya benar-benar sakit hari ini	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	Dan saya benar-benar mengalami sakit dada yang teruk hari ini
12	12	en	ms	and is this the right time for your hay fever	dan adakah ini masa yang tepat untuk demam alergi anda	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan inilah masa yang sesuai untuk demam hay anda
13	13	en	ms	and it get the chest pain	dan ia mendapat sakit dada	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan ia mendapat sakit dada
14	14	en	ms	and i think i have a little bit of a fever	dan saya rasa saya demam sedikit	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	Dan saya fikir saya mempunyai sedikit demam
15	15	en	ms	and i want you to describe where the chest pain is	dan saya ingin anda gambarkan tempat sakit dada itu	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	Dan saya mahu anda menerangkan di mana sakit dada
16	16	en	ms	and they're having some fevers as well	dan mereka juga mengalami sedikit demam	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan mereka juga mengalami demam
17	17	en	ms	and with your history of diabetes	dan dengan sejarah diabetes anda	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan dengan sejarah diabetes anda
18	18	en	ms	and you know it feels like my chest is like gonna crush	dan anda tahu dada saya rasa seperti akan pecah	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan anda tahu rasanya dada saya seperti akan menghancurkan
19	19	en	ms	and you know people cough on me all the time	dan anda tahu orang batuk pada saya sepanjang masa	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan anda tahu orang batuk pada saya sepanjang masa
20	20	en	ms	and you're having chest pain	dan anda mengalami sakit dada	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan anda mengalami sakit dada
21	21	en	ms	and you said this is a pressure in your chest	dan anda katakan ada rasa menekan pada dada anda	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	dan anda berkata ini adalah tekanan di dada anda
22	22	en	ms	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	sesiapa dalam keluarga yang mengalami masalah jantung penyakit jantung serangan jantung kolesterol tinggi tekanan darah tinggi	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ms_0001	Sesiapa sahaja dalam keluarga mempunyai masalah jantung serangan jantung serangan jantung kolesterol tinggi tekanan darah tinggi
