	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_id	translated
0	0	en	prs	 about how long have these symptoms been going on? 	 این علایم برای چی مدتی وجود داشته است؟ 	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 در مورد چه مدت این علائم در جریان بوده است؟ 
1	1	en	prs	 and all chest pain should be treated this way especially with your age 	 و تمام درد قفس صدر باید به خصوص در سن شما به این شیوه تداوی شود 	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و تمام درد قفسه سینه باید به این ترتیب درمان شود به خصوص با سن شما 
2	2	en	prs	 and along with a fever 	 و همراه با تب 	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و همراه با تب 
3	3	en	prs	 and also needs to be checked your cholesterol blood pressure 	 و همچنان فشار خون و کلسترول شما باید بررسی شود 	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و همچنین نیاز به بررسی فشار خون کلسترول خود را 
4	4	en	prs	 and are you having a fever now? 	 و آیا شما الان درد قفس صدر دارید؟ 	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و حالا تب داري؟ 
5	5	en	prs	 and are you having this chest pain now? 	 و آیا شما الان این درد قفس صدر را دارید؟ 	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و آیا شما این درد قفسه سینه در حال حاضر؟ 
6	6	en	prs	 and besides do you have difficulty breathing 	 و برعلاوه، آیا شما در تنفس مشکل دارید 	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و علاوه بر این آیا شما مشکل تنفس 
7	7	en	prs	 and can you tell me what other symptoms are you having along with this? 	 و می توانید برایم گفته کنید که برعلاوه این چه علائم دیگری دارید؟ 	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و آیا می توانید به من بگویید که چه علائم دیگری همراه با این دارید؟ 
8	8	en	prs	 and how high has your fever been 	 و تب شما چقدر بلند بوده است 	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و تب شما چقدر بالا بوده است 
9	9	en	prs	 and i have a cough too 	 و من سرفه هم می کنم 	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	prsRkE=	 و من هم سرفه دارم 
