	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	0	en	pt-BR	about how long have these symptoms been going on?	por aproximadamente quanto tempo esses sintomas tem ocorrido?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	Há quanto tempo esses sintomas acontecem?
1	1	en	pt-BR	and all chest pain should be treated this way especially with your age	e a dor no peito deve ser tratada assim, principalmente na sua idade	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e toda dor no peito deve ser tratada dessa forma, especialmente com a sua idade
2	2	en	pt-BR	and along with a fever	e junto com a febre	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e junto com uma febre
3	3	en	pt-BR	and also needs to be checked your cholesterol blood pressure	e também é necessário verificar seu colesterol e sua pressão sanguínea	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e também precisa ser verificado o seu colesterol pressão arterial
4	4	en	pt-BR	and are you having a fever now?	e você está com febre agora?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	E você está com febre agora?
5	5	en	pt-BR	and are you having this chest pain now?	e está com dor no peito agora?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	E você está tendo essa dor no peito agora?
6	6	en	pt-BR	and besides do you have difficulty breathing	e, além disso, você tem dificuldade para respirar?	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e além disso você tem dificuldade para respirar
7	7	en	pt-BR	and can you tell me what other symptoms are you having along with this?	e pode me dizer quais outros sintomas você está tendo além desse?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e você pode me dizer que outros sintomas você está tendo junto com isso?
8	8	en	pt-BR	and how high has your fever been	e quanto mede a sua febre?	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e quão alta tem sido a sua febre
9	9	en	pt-BR	and i have a cough too	e estou tossindo também	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e eu tenho uma tosse também
10	10	en	pt-BR	and i have a little cold and a cough	e estou um pouco resfriado e tossindo	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e eu tenho um pouco de resfriado e uma tosse
11	11	en	pt-BR	and i'm really having some bad chest pain today	e estou com muita dor no peito hoje	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	E eu realmente estou tendo algumas dores no peito hoje
12	12	en	pt-BR	and is this the right time for your hay fever	e esse é o momento certo para a rinite alérgica	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e é este o momento certo para a sua febre do feno
13	13	en	pt-BR	and it get the chest pain	e tem a dor no peito	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	e fica com dor no peito
14	14	en	pt-BR	and i think i have a little bit of a fever	e acho que estou meio febril	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_pt-BR_0001	E acho que tenho um pouco de febre
