	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	0	en	so	about how long have these symptoms been going on?	muddo intee dhan ayay calaamadahan socdeen?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	"[""intee in le'eg ayey socdeen calaamadahaas?""]"
1	1	en	so	and all chest pain should be treated this way especially with your age	dhamaan feera xanuunka waa in loo daweeyo sidan gaar ahaan da'daada oo kale	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	"[""dhamaan laab xanuunka waa in sidaan loo daweeyo khaas ahaan da'daada""]"
2	2	en	so	and along with a fever	iyo ay weheliso qandho	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo ay weheliyaan qandho ay weheliyaan
3	3	en	so	and also needs to be checked your cholesterol blood pressure	sidoo kale waxaad u baahanyahay in lagaa hubiyo kolesteroolka dhiig karka	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	sidoo kale waxa loo baahan yahay in la hubiyo kolesteroolka dhiig karka dhiigga
4	4	en	so	and are you having a fever now?	hadda qandho miyaad leedahay?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo hadda ma qandho ayaa ku qabtaa?
5	5	en	so	and are you having this chest pain now?	miyaad leedahay feera xanuunkan hadda?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	Miyaad leedahay hadda xannun-xanuunkan laabta ah?
6	6	en	so	and besides do you have difficulty breathing	intaa ka sokow dhib maku qabtaa neefsashada	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	intaa ka sokow dhib maku qabtaa neefsashada
7	7	en	so	and can you tell me what other symptoms are you having along with this?	oo ma ii sheegi kartaa calaamadaha kale ee aad la leedahay tan?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo ma ii sheegi kartaa calaamadaha kale ee aad la leedahay tan?
8	8	en	so	and how high has your fever been	siday ahayd qandhadaada	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	iyo inta ay sarrayso qandhadaaduna ay sarrayso
9	9	en	so	and i have a cough too	waxaan leeyahay qufac sidoo kale	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	aniguna qufac ayaan leeyahay sidoo kale
10	10	en	so	and i have a little cold and a cough	waxaan leeyahay xoggaa hargab ah iyo qufac	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waxaan leeyahay in yar oo hargab iyo qufac
11	11	en	so	and i'm really having some bad chest pain today	runtiina maanta waxaan leeyahay xoogaa feera xanuun ba'an	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	runtiina maanta waxaan leeyahay xogo xun oo laab xanuun ah
12	12	en	so	and is this the right time for your hay fever	waa waqtigii ugu haboonaa ee samboorkaaga	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	tanina ma tahay waqtigii ugu haboonaa ee qandhadaada hay
13	13	en	so	and it get the chest pain	oo xanuun feeraha ah ayaa ku dhacay	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo ay ku dhici karto xanuunka laabta
14	14	en	so	and i think i have a little bit of a fever	waxaan u malaynayaa in aan leeyahay wax yar oo qandha ah	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waxaan u malaynayaa in aan leeyahay waxoogaa yar oo qandhada ah
15	15	en	so	and i want you to describe where the chest pain is	waxaan rabaa in aad qeexdo mesha feeraha ka xanuunayaan	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waxaan rabaa in aad sheeko ka bixiso halka feedha xanuunka kaga jiro
16	16	en	so	and they're having some fevers as well	sidoo kale waxay leeyihiin xoggaa qandhaha sidoo kale	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo ay leeyihiin natiijo qandho ah sidoo kale
17	17	en	so	and with your history of diabetes	iyo la jiranka taariikhdaada sokorawga ah	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	iyo taarikhdaada sokorta ee ku aaddan
18	18	en	so	and you know it feels like my chest is like gonna crush	waad ogtahay waxaan dareemaa sidii in ay laabtu i dilaacayso	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waadna ogtahay waxa ay dareensantahay in laabtayda ay tahay sida ay u burburinayso
19	19	en	so	and you know people cough on me all the time	waad ogtahay dadka way igu qufacaan xilli kasta	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waad ogtahay dadku way igu qufacaan waqti kasta
20	20	en	so	and you're having chest pain	ma waxaad leedahay feera xanuun	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	adna waxaad leedahay xanuun laabta ah
