	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	0	en	ur	about how long have these symptoms been going on?	یہ علامات کتنے عرصے سے جاری ہیں؟	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	یہ علامات کتنے عرصے سے چل رہی ہیں؟
1	1	en	ur	and all chest pain should be treated this way especially with your age	اور سینے کی تمام تکالیف کا ایسے ہی علاج ہونا چاہیے خاص طور پر آپ کی عمر میں	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور تمام سینے کے درد کا علاج اس طرح کیا جانا چاہئے خاص طور پر آپ کی عمر کے ساتھ
2	2	en	ur	and along with a fever	اور بخار کے ساتھ	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور بخار کے ساتھ
3	3	en	ur	and also needs to be checked your cholesterol blood pressure	اور آپ کا کولیسٹرول بلڈ پریشر چیک کرنے کی بھی ضرورت ہے	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور آپ کے کولیسٹرول بلڈ پریشر کو بھی چیک کرنے کی ضرورت ہے
4	4	en	ur	and are you having a fever now?	اور کیا آپ کو اب بھی بخار ہو رہا ہے؟	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	کیا آپ کو اب بخار ہے؟
5	5	en	ur	and are you having this chest pain now?	اور کیا آپ کو اب سینے میں یہ درد ہو رہا ہے؟	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور کیا آپ کو اب سینے میں درد ہو رہا ہے؟
6	6	en	ur	and besides do you have difficulty breathing	اور اس کے علاوہ بھی آپ کو سانس لینے میں مشکل ہوتی ہے	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور اس کے علاوہ آپ کو سانس لینے میں دشواری ہوتی ہے
7	7	en	ur	and can you tell me what other symptoms are you having along with this?	اور کیا آپ مجھے بتا سکتے ہیں کہ اس کے ساتھ آپ کو دیگر اور کون سی علامات کا سامنا ہے؟	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور کیا آپ مجھے بتا سکتے ہیں کہ اس کے ساتھ آپ میں اور کیا علامات ہیں؟
8	8	en	ur	and how high has your fever been	اور آپ کو کتنا زیادہ بخار ہوا ہے	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور آپ کا بخار کتنا تیز ہے
9	9	en	ur	and i have a cough too	اور مجھے کھانسی بھی ہے	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور مجھے کھانسی بھی ہے
10	10	en	ur	and i have a little cold and a cough	اور مجهے ہلکا سا نزلہ اور کهانسی ہے	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور مجھے تھوڑا سا سردی اور کھانسی ہے
11	11	en	ur	and i'm really having some bad chest pain today	اور آج واقعی مجھے سینے میں کچھ زیادہ ہی درد ہو رہا ہے	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور آج واقعی میرے سینے میں درد ہو رہا ہے
12	12	en	ur	and is this the right time for your hay fever	اور کیا یہ آپ کی ناک میں الرجی کا صحیح وقت ہے	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور کیا یہ آپ کے گھاس بخار کے لئے صحیح وقت ہے
13	13	en	ur	and it get the chest pain	اور اس سے سینے میں درد ہوتا ہے	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور اس سے سینے میں درد ہوتا ہے
14	14	en	ur	and i think i have a little bit of a fever	مجھے لگتا ہے مجھے تھوڑا سا بخار ہے	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور مجھے لگتا ہے کہ مجھے تھوڑا سا بخار ہے
15	15	en	ur	and i want you to describe where the chest pain is	اور میں آپ کو یہ بتانا چاہتا ہوں کہ سینے میں درد کہاں ہوتا ہے	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور میں چاہتا ہوں کہ آپ بیان کریں کہ سینے میں درد کہاں ہے
16	16	en	ur	and they're having some fevers as well	اور انہیں کچھ بخار بھی ہو رہا ہے	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور انہیں کچھ بخار بھی ہو رہے ہیں
17	17	en	ur	and with your history of diabetes	اور آپ کی ذیابیطس کی تاریخ کے ساتھ	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور آپ کی ذیابیطس کی تاریخ کے ساتھ
18	18	en	ur	and you know it feels like my chest is like gonna crush	اور آپ جانتے ہیں کہ ایسا محسوس ہوتا ہے جیسے میرا سینہ کچلا جانے والا ہے	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور آپ جانتے ہیں کہ ایسا لگتا ہے جیسے میرا سینہ کچلنے جا رہا ہے
19	19	en	ur	and you know people cough on me all the time	اور آپ جانتے ہیں کہ لوگ ہر وقت مجھ پر کھانستے ہیں	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور تم جانتے ہو کہ لوگ ہر وقت مجھ پر کھانستے ہیں
20	20	en	ur	and you're having chest pain	اور آپ کو سینے میں درد ہو رہا ہے	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور آپ کو سینے میں درد ہو رہا ہے
21	21	en	ur	and you said this is a pressure in your chest	اور آپ کہہ رہے ہیں کہ آپ کو سینے پر دباؤ ہے	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	اور آپ نے کہا کہ یہ آپ کے سینے میں دباؤ ہے
22	22	en	ur	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	گھر میں کسی کو دل کی تکلیف دل کی بیماری دل کا دورہ ہائی کولیسٹرول ہائی بلڈ پریشر ہے	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	خاندان میں کسی بھی فرد کو دل کا مسئلہ دل کی بیماری دل کا دورہ ہائی کولیسٹرول ہائی بلڈ پریشر
23	23	en	ur	any other symptoms or problems that you notice with the muscle aches?	اور دیگر علامات یا مسائل جو آپ کو پٹھوں کے درد کے ساتھ محسوس ہوتے ہیں؟	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_ur_0001	کوئی اور علامات یا مسائل جو آپ پٹھوں کے درد کے ساتھ محسوس کرتے ہیں؟
