	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated	trans_seg	target_seg
0	0	0	0	en	zh	 about how long have these symptoms been going on? 	 这些症状已持续多长时间？ 	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	这些症状持续了多久？	这些 症状 持续 了 多久 ？	  这些 症状 已 持续 多长时间 ？  
1	1	1	1	en	zh	 and all chest pain should be treated this way especially with your age 	 各种胸痛均应采取这种方法进行治疗，尤其要考虑年龄因素 	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	所有的胸痛都应该这样治疗，特别是随着你的年龄	所有 的 胸痛 都 应该 这样 治疗 ， 特别 是 随着 你 的 年龄	  各种 胸痛 均 应 采取 这种 方法 进行 治疗 ， 尤其 要 考虑 年龄 因素  
2	2	2	2	en	zh	 and along with a fever 	 并伴有发热症状 	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	并伴有发烧	并 伴有 发烧	  并 伴有 发热 症状  
3	3	3	3	en	zh	 and also needs to be checked your cholesterol blood pressure 	 还需要检查一下胆固醇和血压 	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	还需要检查您的胆固醇血压	还 需要 检查 您 的 胆固醇 血压	  还 需要 检查一下 胆固醇 和 血压  
4	4	4	4	en	zh	 and are you having a fever now? 	 您现在有发热吗？ 	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你现在发烧了吗？	你 现在 发烧 了 吗 ？	  您 现在 有 发热 吗 ？  
5	5	5	5	en	zh	 and are you having this chest pain now? 	 现在您有这种胸痛症状吗？ 	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你现在胸痛吗？	你 现在 胸痛 吗 ？	  现在 您 有 这种 胸痛 症状 吗 ？  
6	6	6	6	en	zh	 and besides do you have difficulty breathing 	 另外您有呼吸困难吗 	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	除此之外，你呼吸困难	除此之外 ， 你 呼吸困难	  另外 您 有 呼吸困难 吗  
7	7	7	7	en	zh	 and can you tell me what other symptoms are you having along with this? 	 您能描述一下除此之外还有什么其他症状吗？ 	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你能告诉我你还有什么其他症状吗？	你 能 告诉 我 你 还有 什么 其他 症状 吗 ？	  您 能 描述 一下 除此之外 还有 什么 其他 症状 吗 ？  
8	8	8	8	en	zh	 and how high has your fever been 	 您发热达到多少度 	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你的发烧有多高	你 的 发烧 有 多 高	  您 发热 达到 多少度  
9	9	9	9	en	zh	 and i have a cough too 	 我还有咳嗽症状 	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我也咳嗽了	我 也 咳嗽 了	  我 还有 咳嗽 症状  
