	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	am	 about how long have these symptoms been going on? 	እነዚህ ምልክቶች ለምን ያህል ጊዜ ቆይተዋል?	How long have these symptoms lasted?
1	en	am	 and all chest pain should be treated this way especially with your age 	እና ሁሉም የደረት ህመሞች መታከም ያለባቸው በዚህ መንገድ ነው በተለይም በእርስዎ እድሜ	And this is how all chest pains should be treated, especially at your age
2	en	am	 and along with a fever 	እና ትኩሳትም አለው	And he has a fever
3	en	am	 and also needs to be checked your cholesterol blood pressure 	እና የኮሌስትሮልዎ የደም ግፊትም ሊመረመር ይገባል	And your cholesterol and blood pressure should also be checked
4	en	am	 and are you having a fever now? 	እና አሁን በዚህ ጊዜ ትኩሳት አለዎት?	And now you have a fever this time?
5	en	am	 and are you having this chest pain now? 	አሁን ይሄን የደረት ህመም አለዎት?	Do you have this chest pain now?
6	en	am	 and besides do you have difficulty breathing 	እና በተጨማሪስ የመተንፈስ ችግር አለብዎት	And you also have trouble breathing
7	en	am	 and can you tell me what other symptoms are you having along with this? 	እና ከዚህ ጋር በተያያዘ ሌላ ምን ዓይነት ምልክቶች እንዳለዎት ሊነግሩኝ ይችላሉ?	And can you tell me what other symptoms you have in relation to this?
8	en	am	 and how high has your fever been 	እና ትኩሳትዎ ምን ያህል ከፍ ብሎ ነበር	And how high was your fever
9	en	am	 and i have a cough too 	እና ሳልም አለኝ	And I have a cough
10	en	am	 and i have a little cold and a cough 	እና መጠነኛ ጉንፋን እና ሳል አለኝ	And I have a mild cold and cough
11	en	am	 and i'm really having some bad chest pain today 	እና ዛሬ የእውነት መጥፎ የሆነ የደረት ህመም እያጋጠመኝ ነው	And today I&#39;m having really bad chest pain
12	en	am	 and is this the right time for your hay fever 	እና ለእርስዎ ከፍተኛ ትኩሳት ትክክለኛው ጊዜ አሁን ነው	And now is the right time for your high fever
13	en	am	 and it get the chest pain 	እና የደረት ህመሙን ያገኛል	And he gets the chest pain
14	en	am	 and i think i have a little bit of a fever 	እና ትንሽ ትኩሳት እንዳለብኝ ይሰማኛል	And I feel like I have a little fever
15	en	am	 and i want you to describe where the chest pain is 	እና የደረቱ ህመም የቱ ጋር እንደሆነ እንዲያስረዱኝ እፈልጋለሁ	And I want you to explain to me what the chest pain is with
16	en	am	 and they're having some fevers as well 	እና እነሱም የተወሰነ ትኩሳት አለባቸው	And they have some fever
17	en	am	 and with your history of diabetes 	እና እርስዎ የስኳር በሽታ ታሪክ ስላለዎት	And because you have a history of diabetes
18	en	am	 and you know it feels like my chest is like gonna crush 	እና ያውቃሉ ደረቴ እንደሚደቅ ዓይነት ስሜት ነው የሚሰማኝ	And you know, I feel like my chest is crushing
19	en	am	 and you know people cough on me all the time 	እና ሰዎች ሁልጊዜ እኔ ላይ እንደሚያስሉ ያውቃሉ	And people know that they always cough on me
20	en	am	 and you're having chest pain 	እና በዚህ ሰዓት የደረት ህመም እየተሰማዎት ነው	And at this time you are feeling chest pain
21	en	am	 and you said this is a pressure in your chest 	እና ይሄ ደረትዎ ውስጥ ያለ ግፊት እንደሆነ ተናግረዋል	And you said this is a pressure in your chest
22	en	am	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	በቤተሰብዎ ውስጥ የልብ ችግር፣ የልብ በሽታ፣ የልብ ድካም፣ ከፍተኛ ኮሌስትሮል እና ከፍተኛ የደም ግፊት ያለበት ማንኛውም ሰው አለ	Anyone in your family with heart problems, heart disease, heart failure, high cholesterol and high blood pressure
23	en	am	 any other symptoms or problems that you notice with the muscle aches? 	ከጡንቻ ህመም ጋር በተያያዘ ያስተዋሉት ሌላ ማንኛውም ምልክቶች ወይም ችግሮች አሉ?	Are there any other symptoms or problems you&#39;ve noticed related to muscle pain?
24	en	am	 are there other people sick as you at home with your same symptoms? 	እንደእርስዎ ተመሳሳይ ምልክቶች ያላቸው የታመሙ ሰዎች በቤት ውስጥ አሉ?	Are there sick people at home with the same symptoms as you?
25	en	am	 are you having any other symptoms? 	ሌላ ማንኛውም አይነት ምልክቶች አሉብዎት?	Do you have any other symptoms?
26	en	am	 are you having any shortness of breath? 	ማንኛውም ዓይነት የትንፋሽ ማጠር አለብዎት?	Do you have any type of shortness of breath?
27	en	am	 are you still having the chest pain 	አሁንም የደረት ህመም አልዎት	You still have chest pain
28	en	am	 because this is flu season 	ምክንያቱም ይሄ የጉንፋን ወቅት ነው	Because this is flu season
29	en	am	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	ነገር ግን የልብ መነሻን የደረት ህመምንም ወደ ጎን ማድረግ አይገባንም	But we should not ignore heart-related chest pain
30	en	am	 but a more important problem now is this chest pain 	ነገር ግን አሁን የበለጠው ዋናው ችግር የደረት ህመም ነው	But now the main problem is chest pain
31	en	am	 but i have difficulty breathing 	ነገር ግን የመተንፈስ ችግር አለብኝ	But I have trouble breathing
32	en	am	 but i know lot of people cough on me 	ነገር ግን ብዙ ሰዎች እንደሚያስሉብኝ አውቃለው	But I know that many people think of me
33	en	am	 but we need to treat every chest pain with the utmost seriousness 	ነገር ግን እያንዳንዱን የደረት ህመም በከፍተኛ ትኩረት ማከም ይኖርብናል	But we need to treat every chest pain with great attention
34	en	am	 but you're breathing all right right now right? 	ነገር ግን በአሁኑ ሰአት በጥሩ ሁኔታ እየተነፈሱ ነው አይደል?	But you&#39;re breathing just fine right now, aren&#39;t you?
35	en	am	 'cause of this chest pain i totally forgot 	በዚህ የደረት ህመም ምክንያት በአጠቃላይ ረስቼዋለሁ	I completely forgot about this chest pain
36	en	am	 does it feel like somebody squeezing your chest 	የሆነ ሰው ደረትዎን እየጨመቅዎት ያለ አይነት ስሜት ነው የሚሰማዎት	You feel like someone is squeezing your chest
37	en	am	 do still feel like shortness of breath 	አሁንም የትንፋሽ ማጠር ይሰማዎታል	You still feel short of breath
38	en	am	 do they complain of being sick similar symptoms? 	ተመሳሳይ የሕመም ምልክቶች እንዳሉባቸው ይገልጻሉ?	Do you report having similar symptoms?
39	en	am	 do you have any other chronic like high blood pressure or anything like that? 	ከፍተኛ የደም ግፊት ወይም ተመሳሳይ የሆነ ማንኛውም ዓይነት ስር የሰደደ በሽታ አለብዎት?	Do you have high blood pressure or any similar chronic disease?
40	en	am	 do you have any other diseases chronic medical problems like diabetes? 	እንደ ስኳር በሽታ ያለ ሌላ ስር የሰደደ የጤና ችግር አለብዎት?	Do you have another chronic health condition, such as diabetes?
41	en	am	 do you have any shortness of breath with that chest pain? 	ከደረት ህመም ጋር ማንኛውም ዓይነት የትንፋሽ ማጠር አለብዎት?	Do you have any type of shortness of breath with chest pain?
42	en	am	 do you have high blood pressure? 	ከፍተኛ የደም ግፊት አለዎት?	Do you have high blood pressure?
43	en	am	 do you have some shortness of breath goes with that? 	ከዚያ ጋር አብሮ የሚሄድ የትንፋሽ ማጠር አለዎት?	Do you have shortness of breath that goes along with that?
44	en	am	 do you know what symptoms she was having? 	ምን ዓይነት ምልክቶች እንደነበራት ያውቃሉ?	Do you know what symptoms she had?
45	en	am	 do you see the image? 	ምስሉን እያዩት ነው?	Do you see the picture?
46	en	am	 drink plenty of fluids today 	ዛሬ የበዛ ፈሳሽ ይጠጡ	Drink plenty of fluids today
47	en	am	 however i take tests for the diabetes 	ሆኖም ግን ለስኳር በሽታ ምርመራ አድርጌያለሁ	However, I have been diagnosed with diabetes
48	en	am	 however she has symptoms quite similar to mine 	ሆኖም ግን ከእኔ ጋር የሚመሳሰል ምልክቶች አሉቧት	However, she has symptoms similar to mine
49	en	am	 how high is your fever? 	የትኩሳትዎ መጠን ስንት ነው?	What is your fever?
50	en	am	 how' s your blood pressure? 	የደም ግፊትዎ እንዴት ነው?	How is your blood pressure?
51	en	am	 if you continue to have high fevers 	ከፍ ያለ ትኩሳትዎ ከቀጠለ	If your high fever persists
52	en	am	 if you have a fever of a hundred and two or higher 	ከአንድ መቶ ሁለት ወይም ከዛ በላይ የሆነ ትኩሳት ካለዎት	If you have a fever of one hundred and two or more
53	en	am	 if you think that your symptoms or problems warrant a better look 	ምልክቶችዎ እና ችግሮችዎ ለመታየት የበለጠ ዋስትና እንደሚያስፈልጋቸው ካሰቡ	If you think your symptoms and problems need more insurance to be seen
54	en	am	 i got a fever yesterday 	ትናንት ትኩሳት ነበረብኝ	I had a fever yesterday
55	en	am	 i got a slight fever too 	ትንሽ ትኩሳትም አለኝ	I also have a slight fever
56	en	am	 i had a fever yesterday 	ትናንት ትኩሳት ነበረኝ	I had a fever yesterday
57	en	am	 i have a sharp pain here in the chest 	የጠነከረ ህመም እዚህ ደረቴ ላይ አለብኝ	I have a severe pain in my chest
58	en	am	 i have some difficulty breathing too 	የመተንፈስ ችግርም አለኝ	I also have breathing problems
59	en	am	 i'll send you an image 	ምስል እልክልዎታለሁ	I will send you a picture
60	en	am	 i'm having some chest pain today 	ዛሬ የተወሰነ የደረት ህመም አለኝ	I have some chest pain today
61	en	am	 i'm just having some headaches and some fever today 	ዛሬ የተወሰኑ ራስ ምታቶች እና ትኩሳት አለኝ	Today I have some headaches and fever
62	en	am	 in my opinion it is flu 	በእኔ አስተያየት ጉንፋን ነው	In my opinion it is the flu
63	en	am	 in my opinion this is a little flu 	በእኔ አመለካከት ይሄ መጠነኛ ጉንፋን ነው	In my opinion, this is a mild flu
64	en	am	 is it like some heavy heavy person sitting on your chest? 	ከባድ የሆነ ሰው ደረትዎ ላይ እንደተቀመጠ ዓይነት ነው?	Is it like someone heavy is sitting on your chest?
65	en	am	 it all started with the headaches and with the fever about the same time 	ሁሉም የጀመረው ራስ ምታት እና ትኩሳት በአንድ ጊዜ ነው	It all started with a headache and fever at the same time
66	en	am	 it hurts in the middle of my chest 	በደረቴ መካከል ላይ ህመም አለው	I have a pain in the middle of my chest
67	en	am	 it is a pressure like chest pain 	ልክ እንደ ደረት ህመም ያለ ግፊት ነው	It&#39;s like chest pain without pressure
68	en	am	 it is in my chest 	ደረቴ ውስጥ ነው	It&#39;s in my chest
69	en	am	 it is in the center of my chest 	በደረቴ መካከል ላይ ነው	It is in the middle of my chest
70	en	am	 it is in the center of the chest 	በደረት መካከል ላይ ነው	It is in the middle of the chest
71	en	am	 i've got pain in my chest 	ደረቴ ውስጥ ህመም አለኝ	I have a pain in my chest
72	en	am	 i've very concerned of this chest pain 	በጣም የሚያሰጋ ይሄ የደረት ህመም አለኝ	I have this terrible chest pain
73	en	am	 i want you to tell me in describing this chest pain 	ይህ የደረት ህመም አብራርተው እንዲነግሩኝ እፈልጋለሁ	I want you to explain this chest pain
74	en	am	 like high blood pressure or diabetes 	እንደ ከፍተኛ የደም ግፊት ወይም የስኳር በሽታዎች	Diseases such as high blood pressure or diabetes
75	en	am	 like right in the center of the chest 	ልክ ቀጥታ በደረቴ መሃከል	Right in the middle of my chest
76	en	am	 now for the fever you can take a tachipirina sweet 	አሁን ለትኩሳትዎ የታቺፒሪና ጣፋጭን መውሰድ ይችላሉ	Now you can take tachipirina dessert for your fever
77	en	am	 now mary how many days have you had the symptoms 	አሁን ሜሪ እነዚህን ምልክቶች ማየት ከጀመሩ ስንት ቀናት ሆነዎት	Now, Mary, how many days has it been since you started seeing these symptoms?
78	en	am	 now you said you have a chest pain 	አሁን የደረት ህመም እንዳለዎት ተናግረዋል	You said you have chest pain now
79	en	am	 occasionally i have some chest pain 	አንዳንዴ የተወሰነ የደረት ህመም አለኝ	Sometimes I have some chest pain
80	en	am	 okay are you having any other symptoms along with this other than just the pain 	እሺ ከህመሙ በስተቀር ከዚህ ጋር ጎን ለጎን የሚሄድ ማንኛውም አይነት ምልክቶች አሉብዎት	Well, except for the pain, do you have any symptoms that go along with this
81	en	am	 or somebody sitting on your chest? 	ወይም የሆነ ሰው ደረትዎ ላይ እንደ ተቀመጠ አይነት ስሜት?	Or feeling like someone is sitting on your chest?
82	en	am	 pretty much the same with the fever and the cough headache and muscle pains 	ከትኩሳት እና ከሳል ራስ ምታት እና ከጡንቻ ህመሞች ጋር አንድ ዓይነት ነው	It is the same with fever and cough headache and muscle aches
83	en	am	 right in the middle of my chest 	ቀጥታ በደረቴ መካከል	Directly in the middle of my chest
84	en	am	 show me on this image where you feel the pain 	የቱ ጋር ህመም እንደሚሰማዎት እዚህ ምስል ላይ ያሳዩኝ	Show me in this picture with which you feel pain
85	en	am	 since you have a fever 	ትኩሳት ስላለዎት	Because you have a fever
86	en	am	 so do you think that some of these symptoms could be related to being pregnant? 	ስለዚህ ከእነዚህ ውስጥ አንዳንዶቹ ምልክቶች እርጉዝ ከመሆን ጋር የሚገናኙ ይመስልዎታል?	So do you think some of these symptoms are related to being pregnant?
87	en	am	 so your children are having some of the same symptoms? 	ስለዚህ፣ ልጆችዎም ከዚህ ጋር ተመሳሳይ የሆኑ ምልክቶች እያሳዩ ነው?	So, are your kids showing similar symptoms?
88	en	am	 tell me about your chest pain 	ስለ ደረት ህመምዎ ይንገሩኝ	Tell me about your chest pain
89	en	am	 the fever increases at night 	ማታ ላይ ትኩሳቱ ይጨምራል	The fever increases at night
90	en	am	 the fever i've had for the last two days 	ላለፉት ሁለት ቀናት የነበረኝ ትኩሳት	I have had a fever for the past two days
91	en	am	 the fever started to increase last night 	ትኩሳቱ ትናንት ማታ መጨመር ጀምሯል	The fever started to rise last night
92	en	am	 this is doctor porter in the emergency room triage center 	ይሄ በትሪያጅ ማዕከል ድንገተኛ ክፍል የሚገኝ ፖርተር የሚባል ሃኪም ነው	This is a doctor named Porter in the emergency room of the triage center
93	en	am	 well can you tell me a little bit more about your chest pain? 	ጥሩ ስለ ደረትዎ ህመም ትንሽ የበለጠ ሊነግሩኝ ይችላሉ?	Well can you tell me a little more about your chest pain?
94	en	am	 well i feel a pain in the front of my body here in my chest 	እንግዲህ በፊት ለፊተኛው ሰውነቴ ላይ እዚህ ደረቴ ውስጥ ህመም ይሰማኛል	So, I feel pain in my chest in front of my body
95	en	am	 well i've been having a strong pain in my chest 	እንግዲህ ደረቴ ላይ ጠንካራ ህመም ነበረብኝ	Then I had a strong pain in my chest
96	en	am	 well when i have that pain in my chest 	እንግዲህ ያህመም ደረቴ ውስጥ ሲኖረኝ	So when I have pain in my chest
97	en	am	 what kinda pain do you have in your chest? 	ምን አይነት ህመም ነው ደረትዎ ላይ ያለው?	What kind of pain do you have in your chest?
98	en	am	 when this chest pain started? 	ይሄ የደረት ህመም መቼ ነው የጀመረው?	When did this chest pain start?
99	en	am	 where do you have the pain in the chest? 	ደረትዎ ላይ የትኛው ቦታ ላይ ነው ህመም ያለዎት?	Where on your chest do you have pain?
100	en	am	 where you feel this chest pain eel this chest t 	ይህ የደረት ህመም የሚሰማዎት የቱ ጋር ነው	This is the one with which you feel chest pain
101	en	am	 you feel like tightness on your chest 	ደረትዎ ላይ የጥብቅነት ዓይነት ስሜት ይሰማዎታል	You will feel a kind of tightness in your chest
102	en	am	 you know i got diabetes and stuff 	የስኳር በሽታ እና እንደዛ ነገር እንዳለኝ ያውቃሉ አይደል	You know I have diabetes and stuff like that, right?
103	en	am	 you said you're having this chest pain 	ይህን የደረት ህመም እንዳለብዎት ተናግረዋል	You said you have this chest pain
104	en	am	 Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020 	ከጃንዋሪ 1-ማርች 15፣ 2020 ባለው ጊዜ ውስጥ የኮሮናቫይረስ በሽታ (COVID-19) በአጠቃላይ የክስተት መጠን አውሮፓ ሕብረት/የአውሮፓ ኢኮኖሚያዊ ቀጠና ውስጥ በፍጥነት እያደገ ነበር።	During the period January 1-March 15, 2020, the overall incidence rate of coronavirus disease (COVID-19) was rapidly increasing in the European Union/European Economic Area.
105	en	am	 The cumulative incidence of coronavirus disease (COVID-19) cases is showing similar trends in European Union/European Economic Area countries and the United Kingdom confirming that, while at a different stage depending on the country, the COVID-19 pandemic is progressing rapidly in all countries. 	የኮሮናቫይረስ በሽታ (COVID-19) ኬዞች አጠቃላይ ክስተት መጠን በአውሮፓ ሕብረት/የአውሮፓ ኢኮኖሚያዊ ቀጠና ሃገራት እና በዩናይትድ ኪንግደም ውስጥ ተመሳሳይ ዝንባሌዎችን እያሳየ ሲሆን፣ ይህም የሚያረጋግጠው እንደየሃገሩ በተለያየ ደረጃ ላይ ቢገኝም የ COVID-19 ዓለም አቀፍ ወረርሽኝ በሁሉም ሃገራት ውስጥ በፍጥነት እየተስፋፋ መሆኑን ነው።	The overall incidence rate of coronavirus disease (COVID-19) cases is showing similar trends in the European Union/European Economic Area countries and the United Kingdom, which confirms that the global epidemic of COVID-19 is spreading rapidly in all countries, albeit at different levels from country to country.
106	en	am	 Based on the experience from Italy, countries, hospitals and intensive care units should increase their preparedness for a surge of patients with COVID-19 who will require healthcare, and in particular intensive care. 	ከጣሊያን በተገኘው ልምድ መሰረት፣ ሃገራት፣ ሆስፒታሎችና የከፍተኛ ክትትል መስጫ ክፍሎች የጤና እንክብካቤና በተለይም ከፍተኛ ክትትል የሚያስፈልጋቸው የ COVID-19 ታማሚዎች ቁጥር በከፍተኛ ሁኔታ እንደሚያሻቅብ በመጠበቅ ዝግጁነታቸውን መጨመር አለባቸው።	Based on the experience from Italy, countries, hospitals and intensive care units should increase their preparedness in anticipation of a significant increase in the number of patients with COVID-19 requiring healthcare, especially intensive care.
107	en	am	 On 31 December 2019, a cluster of pneumonia cases of unknown aetiology was reported in Wuhan, Hubei Province, China. 	ዲሴምበር 31/2019፣ መንስኤያቸው የማይታወቅ የሳምባ ምች ኬዞች በውሃን፣ ሁቤይ ግዛት፣ ቻይና ውስጥ ሪፖርት ተደርገዋል።	On December 31, 2019, cases of pneumonia of unknown etiology were reported in Wen, Hubei Province, China.
108	en	am	 On 9 January 2020, the China Center for Disease Control and Prevention reported the causative agent as being a novel coronavirus now referred to as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). 	ጃንዋሪ 9/2020፣ የቻይና የበሽታ ቁጥጥርና መከላከያ ማዕከል መንስኤው ኤጄንት ኖቭል ኮሮናቫይረስ መሆኑን ሪፖርት ያደረገ ሲሆን፣ ይህም ከባድ የመተንሸሻ አካል ሲንድረም ኮሮናቫይረስ 2 (ሳርስ-ኮቭ-2) ተብሎ የሚጠራው ነው።	On January 9, 2020, China&#39;s Centers for Disease Control and Prevention reported that the causative agent was a novel coronavirus, also known as severe respiratory syndrome coronavirus 2 (SARS-CoV-2).
109	en	am	 Since, the illness resulting from SARS-CoV-2 infection has been named coronavirus disease (COVID-19). 	ከዚያ ጊዜ ጀምሮ፣ በ ሳርስ-CoV-2 ኢንፌክሽን ምክንያት የሚከሰተው ሕመም የኮሮናቫይረስ በሽታ (COVID-19) የሚል ስያሜ ተሰጠው።	Since then, the illness caused by SARS-CoV-2 infection has been named coronavirus disease (COVID-19).
110	en	am	 Evidence to date is that ca 80% of individuals with COVID-19 have a mild disease, i.e. a respiratory tract infection with or without pneumonia, and most of these recover. 	እስካሁን ያሉት ማስረጃዎች የሚያሳዩት COVID-19 ካለባቸው ታማሚዎች መካከል 80% የሚሆኑት መጠነኛ በሽታ፣ ማለትም የመተንፈሻ አካለ ኢንፌክሽን ከሳምባ ምች ጋር ወይም ከሳምባ ምች ውጭ አለባቸው፤ አብዛኞቹ ደግሞ ያገግማሉ።	Evidence so far suggests that 80% of patients with COVID-19 have mild disease, that is, a respiratory infection with or without pneumonia; And most will recover.
111	en	am	 In ca 14% cases, COVID-19 develops into a more severe disease requiring hospitalisation while the remaining 6% cases experience critical illness requiring intensive care. 	ካንሰር ባለባቸው 14% ኬዞች ውስጥ COVID-19 ይበልጥ ከባድ ወደሆነ ደረጃ በማደግ ሆስፒታል ውስጥ ተኝቶ መታከም የሚያስፈልገው ሲሆን ቀሪዎቹ 6% ኬዞች ደግሞ ከፍተኛ የሕክምና ክትትል የሚያስፈልጋቸው ከባድ ሕመም ያጋጥማቸዋል።	In 14% of cases with cancer, COVID-19 progresses to a more severe stage requiring hospitalization, and the remaining 6% of cases develop severe illness requiring intensive care.
112	en	am	 The mortality of patients hospitalised due to COVID-19 is ca 4%. 	በ COVID-19 ምክንያት ሆስፒታል ውስጥ ተኝተው ከሚታከሙ ታማሚዎች መካከለ የሞቱት 4% የሚሆኑት ናቸው።	About 4% of all hospitalized patients due to COVID-19 have died.
113	en	am	 In this study, we assess the trends in the cumulative incidence of COVID-19 in each European Union/European Economic Area (EU/EEA) country and the United Kingdom (UK) and compare them to that of Hubei Province, China. 	በዚህ ጥናት፣ COVID-19 በእያንዳነዱ የአውሮፓ ሕብረት/የአውሮፓ ኢኮኖሚያዊ ቀጠና ሃገራት እና ዩናይትድ ኪንግደም (ዩኬ) ውስጥ ያለውን አጠቃላይ ክስተት አዝማሚያ በመመዘን ከቻይናዋ የሁቤይ ግዛት ጋር እናነጻጽራለን።	In this study, we measure overall incidence trends of COVID-19 in each of the European Union/European Economic Area countries and the United Kingdom (UK) and compare it to the Hubei province of China.
114	en	am	 We also compare the current number of COVID-19 cases in EU/EEA countries and the UK with that in Italy during 31 January–15 March 2020. 	በአሁኑ ጊዜ በአውሮፓ ሕብረት/የአውሮፓ ኢኮኖሚያዊ ቀጠና ሃገራትና በዩኬ ውስጥ ያሉትን የ COVID-19 ኬዞች ብዛት ከጃንዋሪ 31–ማርች 15፣ 2020 ድረስ ጣሊያን ውስጥ ካለው ኬዝ ጋር አነጻጽረናል።	We have compared the current number of COVID-19 cases in the EU/EEA countries and the UK with the number of cases in Italy from January 31–March 15, 2020.
115	en	am	 COVID-19 cases in EU/EEA countries and the UK 	የአውሮፓ ሕብረት/የአውሮፓ ኢኮኖሚያዊ ቀጠና ሃገራትና ዩኬ ውስጥ ያሉ የ COVID-19 ኬዞች	Cases of COVID-19 in the European Union/European Economic Area countries and the UK
116	en	am	 Subsequent to China, COVID-19 underwent further geographical spread and the dynamic of the COVID-19 pandemic in the rest of the world currently follows that of this country. 	COVID-19 ከቻይና በመቀጠል ወደ ተጨማሪ መልክዓ ምድራዊ ክልሎች የተሰራጨ ሲሆን የ COVID-19 ወረርሽኝ በአሁኑ ጊዜ በዓለም ላይ የሚያሳየው ሃገሪቱን የተከተለ ነው።	After China, COVID-19 has spread to more geographical regions, and the current outbreak of COVID-19 in the world follows the country.
117	en	am	 On 11 March 2020, the Director General of the World Health Organization (WHO) declared COVID-19 a pandemic. 	ማርች 11፣ 2020 ላይ፣ የዓለም ጤና ድርጅት (WHO) ዋና ዳይሬክተር COVID-19 አለም አቀፍ ወረርሽኝ መሆኑን አወጁ።	On March 11, 2020, the Director-General of the World Health Organization (WHO) declared COVID-19 a global pandemic.
118	en	am	 In the 5 March issue of Eurosurveillance 2020, Spiteri et al. reported on the first European confirmed COVID-19 cases according to the WHO case definition. 	ማርች 5 በታተመው Eurosurveillance 2020 ላይ የጻፉት Spiteri et al. በ WHO የኬዝ ፍቺ መሰረት የመጀመሪያዎቹን የአውሮፓ የተረጋገጡ የ COVID-19 ኬዞች ሪፖርት አደረጉ።	Writing in Eurosurveillance 2020 published on March 5, Spiteri et al. They reported the first European confirmed cases of COVID-19 according to the WHO case definition.
119	en	am	 In the EU/EEA, the first three confirmed cases were reported by France on 24 January 2020 in persons returning from Wuhan, Hubei Province, China. 	የአውሮፓ ሕብረት/የአውሮፓ ኢኮኖሚያዊ ቀጠና ውስጥ፣ የመጀመሪያዎቹ ሶስት የተረጋገጡ ኬዞችን ጃንዋሪ 24/2020 ሪፖርት ያደረገችው ፈረንሳይ ስትሆን ሰዎቹም ከውሃን፣ ሁቤይ ክፍለ ሃገር፣ ቻይና የመጡ ነበሩ።	In the European Union/European Economic Area, France reported the first three confirmed cases on January 24, 2020, and the people were from Wuhan, Hubei Province, China.
