	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ar	 about how long have these symptoms been going on? 	منذ متى لا تزال هذه الأعراض مستمرة تقريبًا؟	Approximately how long have these symptoms been going on?
1	en	ar	 and all chest pain should be treated this way especially with your age 	وينبغي علاج كل آلام الصدر بهذه الطريقة خاصة في عمرك	All chest pain should be treated this way, especially at your age
2	en	ar	 and along with a fever 	وبالإضافة إلى الحمى	In addition to fever
3	en	ar	 and also needs to be checked your cholesterol blood pressure 	ويلزم أيضًا فحص ضغط كوليسترول الدم لديك	Your blood cholesterol pressure should also be checked
4	en	ar	 and are you having a fever now? 	وهل تعاني من الحمى الآن؟	Do you have a fever now?
5	en	ar	 and are you having this chest pain now? 	وهل تشعر بهذا الألم في الصدر الآن؟	Do you feel this pain in the chest now?
6	en	ar	 and besides do you have difficulty breathing 	وبالإضافة إلى ذلك هل لديك صعوبة في التنفس	In addition do you have difficulty breathing
7	en	ar	 and can you tell me what other symptoms are you having along with this? 	وهل يمكنك إخباري بالأعراض الأخرى التي لديك بالإضافة إلى هذا؟	And can you tell me what other symptoms you have in addition to this?
8	en	ar	 and how high has your fever been 	وما مدى ارتفاع درجة الحرارة الذي أصابك	How high is your temperature?
9	en	ar	 and i have a cough too 	وأعاني من السعال أيضًا	I also have a cough
10	en	ar	 and i have a little cold and a cough 	وأعاني من القليل من البرد والسعال	And I have a little bit of a cold and a cough
11	en	ar	 and i'm really having some bad chest pain today 	وأعاني من بعض آلام الصدر الشديدة اليوم	I am having some severe chest pains today
12	en	ar	 and is this the right time for your hay fever 	وهل هذا هو الوقت الصحيح لحمى القش التي تصيبك	And is this the right time for your hay fever
13	en	ar	 and it get the chest pain 	ويحدث ألم في الصدر	Chest pain occurs
14	en	ar	 and i think i have a little bit of a fever 	وأعتقد أن لدي قدرًا بسيطًا من الحمى	I think I have a little bit of a fever
15	en	ar	 and i want you to describe where the chest pain is 	وأريد منك وصف مكان الشعور بألم في الصدر	And I want you to describe where you feel the chest pain
16	en	ar	 and they're having some fevers as well 	ويعانون كذلك من بعض الحمى	They also suffer from some fever
17	en	ar	 and with your history of diabetes 	ومع تاريخ إصابتك بمرض السكري	and with a history of diabetes
18	en	ar	 and you know it feels like my chest is like gonna crush 	وكما تعلم أشعر كأن صدري سيتحطم	And you know, I feel like my chest is going to shatter
19	en	ar	 and you know people cough on me all the time 	وكما تعلم يسعل الأشخاص تجاهي طوال الوقت	And, you know, people cough at me all the time
20	en	ar	 and you're having chest pain 	وأنت تشعر بألم في الصدر	And you feel chest pain
21	en	ar	 and you said this is a pressure in your chest 	وقلت إن هذا ضغط في صدرك	And you said that this is pressure in your chest
22	en	ar	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	يعاني أي فرد في العائلة من مشكلة بالقلب، أو مرض قلبي، أو نوبة قلبية، أو ارتفاع الكوليسترول، أو ارتفاع ضغط الدم.	Anyone in the family has a heart problem, heart disease, heart attack, high cholesterol or high blood pressure.
23	en	ar	 any other symptoms or problems that you notice with the muscle aches? 	هل هناك أي أعراض أو مشكلات أخرى لاحظتها بالإضافة إلى ألم العضلات؟	Are there any other symptoms or problems that you&#39;ve noticed in addition to the muscle pain?
24	en	ar	 are there other people sick as you at home with your same symptoms? 	هل يوجد أفراد آخرون في المنزل مصابون بالأعراض نفسها التي لديك؟	Are there other people in the house with the same symptoms as you?
25	en	ar	 are you having any other symptoms? 	هل تشعر بأي أعراض أخرى؟	Do you feel any other symptoms?
26	en	ar	 are you having any shortness of breath? 	هل تشعر بأي ضيق في التنفس؟	Do you feel any shortness of breath?
27	en	ar	 are you still having the chest pain 	هل لا تزال تشعر بألم في الصدر	Do you still feel chest pain
28	en	ar	 because this is flu season 	لأن هذا موسم الإصابة بالإنفلونزا	Because this is flu season
29	en	ar	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	لكن لا ينبغي علينا أيضًا تجاهل ألم الصدر الناجم عن مرض القلب	But we also shouldn&#39;t ignore chest pain caused by heart disease
30	en	ar	 but a more important problem now is this chest pain 	 لكن المشكلة الأهم الآن هي ألم الصدر هذا 	But the most important problem now is this chest pain
31	en	ar	 but i have difficulty breathing 	 لكن أعاني من صعوبة في التنفس 	But I&#39;m having trouble breathing
32	en	ar	 but i know lot of people cough on me 	 لكن أعرف كثيرين يسعلون تجاهي 	But I know a lot of people who cough at me
33	en	ar	 but we need to treat every chest pain with the utmost seriousness 	 لكن نحتاج إلى التعامل مع كل ألم بالصدر بأقصى قدر من الجدية 	But we need to take every chest pain with the utmost seriousness
34	en	ar	 but you're breathing all right right now right? 	 لكن تتنفس بشكل سليم الآن، أليس كذلك؟ 	But you&#39;re breathing properly now, aren&#39;t you?
35	en	ar	 'cause of this chest pain i totally forgot 	 نسيت تمامًا بسبب ألم الصدر هذا 	I completely forgot about that chest pain
36	en	ar	 does it feel like somebody squeezing your chest 	 هل تشعر كما لو أن أحدهم يضغط على صدرك 	Do you feel as if someone is pressing on your chest?
37	en	ar	 do still feel like shortness of breath 	 هل لا يزال لديك شعور بما يشبه ضيق التنفس 	Do you still have a feeling of shortness of breath?
38	en	ar	 do they complain of being sick similar symptoms? 	 هل يشتكون من أعراض مرضية مماثلة؟ 	Do they complain of similar symptoms?
39	en	ar	 do you have any other chronic like high blood pressure or anything like that? 	 هل لديك أي مرض مزمن آخر مثل ارتفاع ضغط الدم أو أي مما يشبه ذلك؟ 	Do you have any other chronic disease such as high blood pressure or something similar?
40	en	ar	 do you have any other diseases chronic medical problems like diabetes? 	 هل لديك أي أمراض أخرى مشكلات طبية مزمنة مثل مرض السكري؟ 	Do you have any other chronic medical conditions such as diabetes?
41	en	ar	 do you have any shortness of breath with that chest pain? 	 هل تشعر بأي ضيق تنفس مع ألم الصدر ذلك؟ 	Do you feel any shortness of breath with that chest pain?
42	en	ar	 do you have high blood pressure? 	 هل لديك ارتفاع في ضغط الدم؟ 	Do you have high blood pressure?
