	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ckb	about how long have these symptoms been going on?	ئەم نیشانانه لە کەیەوە بوونیان هەیە؟	Since when have these symptoms existed?
1	en	ckb	and all chest pain should be treated this way especially with your age	وه لەگەڵ هەموو ئازارێکی سنگ دەبێت بەم شێوەیە مامەڵه بکرێت بەتایبەت لە تەمەنی تۆدا	This is how all chest pain should be treated, especially at your age
2	en	ckb	and along with a fever	وه لەگەڵ تا	and with fever
3	en	ckb	and also needs to be checked your cholesterol blood pressure	وه هەروەها پێویسته کۆلسترۆڵ و پەستانی خوێنت بپشکێندرێت	You should also have your cholesterol and blood pressure checked
4	en	ckb	and are you having a fever now?	وه ئایا ئێستا هەست بە تا دەکەی؟	And do you have a fever now?
5	en	ckb	and are you having this chest pain now?	و ئایا ئێستا ئازاری سنگت هەیە؟	and do you have chest pain now?
6	en	ckb	and besides do you have difficulty breathing	و لەگەڵ ئەمانەشدا ئایا هەست بە دژواری هەناسەدان دەکەیت	And with these do you feel difficulty breathing
7	en	ckb	and can you tell me what other symptoms are you having along with this?	و ئایا دەتوانی پێم بڵێی لەگەڵ ئەمەدا چ نیشانەگەلێکی دیکەت هەیە؟	And can you tell me what other symptoms you have with this?
8	en	ckb	and how high has your fever been	وه ئایا تاکەت چەندە بەرز دەبێتەوه	And how much your individual will rise
9	en	ckb	and i have a cough too	وه هەروەها دەکۆکم	And I also agree
10	en	ckb	and i have a little cold and a cough	وه تۆزێک هەست بە هەڵامەت و کۆکه دەکەم	And I feel a little cold and cough
11	en	ckb	and i'm really having some bad chest pain today	وە بەڕاستی ئەمڕۆ ئازارێکی زۆرم هەبوو لە سنگمدا	And I had a really bad chest pain today
12	en	ckb	and is this the right time for your hay fever	وە ئایا ئەمە ئەو کاتەیە کە تووشی پووشە تا دەبی	And is this when you get a fever?
13	en	ckb	and it get the chest pain	وه ئایا تووشی ئازاری سنگت دەکات	And does it cause chest pain
14	en	ckb	and i think i have a little bit of a fever	وە هەست دەکەم کەمێک تام هەیە	And I feel like there’s a little taste
15	en	ckb	and i want you to describe where the chest pain is	وە دەمەوێ پێت بڵێم کە ئازاری سنگ لە کوێدایه	And I want to tell you where the chest pain is
16	en	ckb	and they're having some fevers as well	وە ئەوانیش تایان هەیە	And they have a fever, too
17	en	ckb	and with your history of diabetes	وە لەگەڵ پێشینەی نەخۆشی شەکرەت	And with a history of diabetes
18	en	ckb	and you know it feels like my chest is like gonna crush	وە دەزانی هەستەکەی وەکوو ئەوە وایه کە سنگم دەیەوێ وردوخاش ببێت	And you know it feels like my chest wants to crumble
19	en	ckb	and you know people cough on me all the time	وە دەزانی خەڵک بەردەوام دەکۆکن لە ڕوومدا	And you know, people cough in my face all the time
20	en	ckb	and you're having chest pain	وه ئایا ئێستا ئازاری سنگت هەیە	And do you have chest pain now
21	en	ckb	and you said this is a pressure in your chest	وە تۆ وتت ئەمە وەکوو گوشارێکه لەسەر سنگت	And you said it was like pressure on your chest
22	en	ckb	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	ئایا کەسێک لە ناو خێزانەکەتدا کێشەی دڵ نەخۆشی دڵ جەڵتەی دڵ بەرزی رێژەی چەوری یان بەرزی پەستانی خوێنی هەیە	Does anyone in your family have heart problems heart disease heart attack high cholesterol or high blood pressure
23	en	ckb	any other symptoms or problems that you notice with the muscle aches?	ئایا هەست بە هیچ ئازارێک یان نیشانەی ئازاری ماسوولکەکانت دەکەیت؟	Do you feel any pain or signs of muscle pain?
24	en	ckb	are there other people sick as you at home with your same symptoms?	ئایا لەناو ماڵەکەتان کەسی دیکه هەیە نەخۆش بێت و هەمان نیشانەکانی تۆی هەبێت؟	Is there anyone else in your household who is sick and has the same symptoms as you?
25	en	ckb	are you having any other symptoms?	ئایا هیچ لە نیشانەکانی دیکەت هەیە؟	Do you have any of the other symptoms?
26	en	ckb	are you having any shortness of breath?	ئایا هەست بە هەناسه تەنگی دەکەیت؟	Do you feel short of breath?
27	en	ckb	are you still having the chest pain	ئایا هێشتا ئازاری سنگت هەیە	Do you still have chest pain
28	en	ckb	because this is flu season	چونکە ئەمە وەرزی ئەنفلەوەنزایه	Because this is flu season
29	en	ckb	but also we shouldn't be put aside for the heart cardiac origin chest pain	بەڵام نابێت نیگەرانی ئازاری سنگ بە بۆنەی سەرچاوەی نەخۆشی دڵەوە بین	However, we should not worry about chest pain due to the source of heart disease
30	en	ckb	but a more important problem now is this chest pain	بەڵام کیشەی گرنگتر ئێستا ئازاری سنگه	But the more important problem now is chest pain
31	en	ckb	but i have difficulty breathing	بەڵام هەناسەم توندە	But my breathing is tight
32	en	ckb	but i know lot of people cough on me	بەڵام دەزانم زۆر کەس دەکۆکن بە ڕوومدا	But I know many people will cough at me
33	en	ckb	but we need to treat every chest pain with the utmost seriousness	بەڵام دەبێ بە ئەوپەڕی جددیەتەوه مامەڵە لەگەڵ هەموو ئازارێکی سنگ بکەین	But we must treat every chest pain with the utmost seriousness
34	en	ckb	but you're breathing all right right now right?	بەڵام ئێستا زۆر بە باشی هەناسه دەدەی، وایه؟	But you&#39;re breathing pretty well now, right?
35	en	ckb	cause of this chest pain i totally forgot	بەهۆی ئەم ئازاری سنگەوە بە تەواوەتی لەبیرم کرد	I completely forgot about it because of this chest pain
36	en	ckb	does it feel like somebody squeezing your chest	ئایا وەکوو ئەوە وایه کەسێک سنگت بگووشێت	Is it like someone rubbing your chest?
37	en	ckb	do still feel like shortness of breath	ئایا هێشتا هەست بە هەناسه تەنگی دەکەیت	Do you still feel short of breath
38	en	ckb	do they complain of being sick similar symptoms?	ئایا سکاڵا له نەخۆشبوون بە هەمان نیشانەکانەوه دەکەن؟	Do they complain of being sick with the same symptoms?
39	en	ckb	do you have any other chronic like high blood pressure or anything like that?	ئایا هیچ نەخۆشیەکی درێژخایەنی دیکه وەکوو بەرزی پەستانی خوێن یان نەخۆشی دیکەی لەم شێوەیەت هەیە؟	Do you have any other chronic illnesses such as high blood pressure or other similar illnesses?
40	en	ckb	do you have any other diseases chronic medical problems like diabetes?	ئایا هیچ کێشەی پزیشکی نەخۆشی درێژخایەنی دیکەی وەکوو شەکرەت هەیە؟	Do you have any medical problems with other chronic diseases such as diabetes?
41	en	ckb	do you have any shortness of breath with that chest pain?	ئایا لەگەڵ ئازاری سنگ هەناسه تەنگیشت هەیە؟	Do you have shortness of breath with chest pain?
42	en	ckb	do you have high blood pressure?	ئایا بەرزی پەستان خوێنت هەیە؟	Do you have high blood pressure?
43	en	ckb	do you have some shortness of breath goes with that?	ئایا لەگەڵ ئەوەدا هەناسه تەنگیشت هەیە؟	Do you have shortness of breath with that?
44	en	ckb	do you know what symptoms she was having?	ئایا دەزانی نیشانەکانی ئەو چین؟	Do you know what his symptoms are?
45	en	ckb	do you see the image?	ئایا ئەم وێنەیە دەبینی؟	Do you see this picture?
46	en	ckb	drink plenty of fluids today	ئەمڕۆ شلەی زۆر بخۆرەوە	Drink plenty of fluids today
47	en	ckb	however i take tests for the diabetes	بە هەرحاڵ من پشکنینی شەکرە دەکەم	Anyway, I&#39;m getting a diabetes test
48	en	ckb	however she has symptoms quite similar to mine	نیشانەکانی بە تەواوەتی وەکوو ئەوانەی من وان	His symptoms are exactly like mine
49	en	ckb	how high is your fever?	پلەی گەرمیت تا چەندە لەسەرەوەیە؟	How high is your temperature?
50	en	ckb	how' s your blood pressure?	پەستانی خوێنت چەنده؟	what is your blood pressure
51	en	ckb	if you continue to have high fevers	ئەگەر تاکەت بەردەوامبوو	If your individual continues
52	en	ckb	if you have a fever of a hundred and two or higher	ئەگەر بەرزی پلەی گەرمیت له سەد و دوو پلەی فارنهایت زیاتر بێت	If your temperature is higher than 120 degrees Fahrenheit
53	en	ckb	if you think that your symptoms or problems warrant a better look	ئەگەر پێت وایه که نیشانەکانت یان کێشەکەت ڕوو له باشتربوونه	If you think your symptoms or problem are improving
54	en	ckb	i got a fever yesterday	دوێنی تام هەبوو	I had a taste yesterday
55	en	ckb	i got a slight fever too	هەروەها کەمێک تام هەبوو	There was also a bit of flavor
56	en	ckb	i had a fever yesterday	دوێنێ تام هەبوو	I had a taste yesterday
57	en	ckb	i have a sharp pain here in the chest	ئازارێکی توندم هەیە لێرەی سنگمدا	I have severe pain here in my chest
58	en	ckb	i have some difficulty breathing too	هەروەها هەناسەم تونده	I also have shortness of breath
59	en	ckb	i'll send you an image	وێنەیەکت بۆ دەنێرم	I&#39;ll send you a picture
60	en	ckb	i'm having some chest pain today	ئەمڕۆ هەست بە ئازاری سنگم دەکەم	I feel chest pain today
61	en	ckb	i'm just having some headaches and some fever today	ئەمڕۆ کەمێک سەرئێشه و تام هەیە	There is a bit of a headache and taste today
62	en	ckb	in my opinion it is flu	بە ڕای من ئەنفلەوەنزایه	I think it&#39;s the flu
63	en	ckb	in my opinion this is a little flu	بەڕای من ئەنفلەوەنزایەکی سووکه	I think it&#39;s a mild flu
64	en	ckb	is it like some heavy heavy person sitting on your chest?	ئایا وەکوو ئەوە وایه کەسێکی زۆر قورس لەسەر سنگت دانیشتبێت؟	Does it feel like someone very heavy is sitting on your chest?
65	en	ckb	it all started with the headaches and with the fever about the same time	بە سەرئێشەوه دەستی پێکرد و لە هەمان کاتیشدا هەستم بە تا کرد	It started with a headache and I felt feverish at the same time
66	en	ckb	it hurts in the middle of my chest	هەست بە ئازار دەکەم لە ناوەڕاستی سنگمدا	I feel pain in the middle of my chest
67	en	ckb	it is a pressure like chest pain	گوشارێکه وەکوو ئازاری سنگ وایه	It is a pressure like chest pain
68	en	ckb	it is in my chest	ئەوه لە سنگمدایه	It&#39;s in my chest
69	en	ckb	it is in the center of my chest	لە ناوەڕاستی سنگمدایه	It&#39;s in the middle of my chest
70	en	ckb	it is in the center of the chest	لە ناوەڕاستی سنگدایه	It is in the middle of the chest
71	en	ckb	i've got pain in my chest	هەست بە ئازارێک دەکەم لە سنگمدا	I feel a pain in my chest
72	en	ckb	i've very concerned of this chest pain	زۆر نیگەرانی ئەم ئازاری سنگە بووم	I was very worried about this chest pain
73	en	ckb	i want you to tell me in describing this chest pain	دەمەوێ ئەم ئازاری سنگەم بۆ وەسف بکەیت	I want you to describe this chest pain
74	en	ckb	like high blood pressure or diabetes	وەکوو بەرزی پەستانی خوێن یان شەکره	such as high blood pressure or diabetes
75	en	ckb	like right in the center of the chest	ڕاست وەکوو لە ناوەڕاستی سنگ	right as in the middle of the chest
76	en	ckb	now for the fever you can take a tachipirina sweet	ئێستا بۆ تایەکەت دەتوانی تاچیپیرینا وەربگری	Now you can get tachypyrina for your fever
77	en	ckb	now mary how many days have you had the symptoms	ماری ئێستا چەند ڕۆژه ئەم نیشانانەت هەیە	Marie, you have had these symptoms for several days now
78	en	ckb	now you said you have a chest pain	ئێستا وتت ئازاری سنگت هەیە	Now you said you have chest pain
79	en	ckb	occasionally i have some chest pain	جاروبار کەمێک ئازاری سنگم هەیە	I have a little chest pain from time to time
80	en	ckb	okay are you having any other symptoms along with this other than just the pain	باشه ئایا هیچ نیشانەیەکی دیکەت هەیە بێجگه له ئازارەکە	Well, do you have any other symptoms besides the pain?
