	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	es-419	about how long have these symptoms been going on?	¿cuánto hace más o menos que tiene estos síntomas?	How long have you had these symptoms?
1	en	es-419	and all chest pain should be treated this way especially with your age	y siempre el dolor de pecho debe tratarse de esta manera, en especial a su edad	and chest pain should always be treated this way, especially at your age
2	en	es-419	and along with a fever	y también fiebre	and also fever
3	en	es-419	and also needs to be checked your cholesterol blood pressure	y también debe controlarse su colesterol y presión arterial	and your cholesterol and blood pressure should also be checked
4	en	es-419	and are you having a fever now?	¿y tiene fiebre ahora?	and do you have a fever now?
5	en	es-419	and are you having this chest pain now?	¿y siente este dolor de pecho ahora?	and do you feel this chest pain now?
6	en	es-419	and besides do you have difficulty breathing	y también tiene dificultad para respirar	and also has difficulty breathing
7	en	es-419	and can you tell me what other symptoms are you having along with this?	¿y puede decirme qué otros síntomas tiene además de este?	and can you tell me what other symptoms you have besides this?
8	en	es-419	and how high has your fever been	y cuánto ha tenido de fiebre	and how much fever has he had
9	en	es-419	and i have a cough too	y también tengo tos	and I also have a cough
10	en	es-419	and i have a little cold and a cough	y tengo un poco de resfriado y tos	and i have a bit of a cold and cough
11	en	es-419	and i'm really having some bad chest pain today	y hoy realmente tengo un dolor de pecho bastante fuerte	and today I really have a pretty strong chest pain
12	en	es-419	and is this the right time for your hay fever	y es este el momento indicado para su alergia al polen	and is this the right time for your pollen allergy
13	en	es-419	and it get the chest pain	y aparece el dolor de pecho	and the chest pain appears
14	en	es-419	and i think i have a little bit of a fever	y creo que tengo un poco de fiebre	and i think i have a little fever
15	en	es-419	and i want you to describe where the chest pain is	y quiero que describa dónde siente el dolor de pecho	and I want you to describe where you feel the chest pain
16	en	es-419	and they're having some fevers as well	y están teniendo algo de fiebre también	and they are having some fever too
17	en	es-419	and with your history of diabetes	y con sus antecedentes de diabetes	and with his history of diabetes
18	en	es-419	and you know it feels like my chest is like gonna crush	y sabes, siento como que el pecho se me estruja	and you know, I feel like my chest is squeezing
19	en	es-419	and you know people cough on me all the time	y sabes, la gente me tose encima todo el tiempo	and you know, people cough on me all the time
20	en	es-419	and you're having chest pain	y siente dolor de pecho	and feel chest pain
21	en	es-419	and you said this is a pressure in your chest	y dijo que es una presión en el pecho	and said that it is a pressure in the chest
22	en	es-419	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	alguien de la familia tiene un problema cardíaco, enfermedad cardíaca, ataque cardíaco, colesterol alto, presión arterial alta	someone in the family has a heart problem, heart disease, heart attack, high cholesterol, high blood pressure
23	en	es-419	any other symptoms or problems that you notice with the muscle aches?	¿algún otro síntoma o problema que note además del dolor muscular?	Any other symptoms or problems you notice besides muscle pain?
24	en	es-419	are there other people sick as you at home with your same symptoms?	¿hay otras personas enfermas como usted con los mismos síntomas en su casa?	Are there other sick people like you with the same symptoms in your house?
25	en	es-419	are you having any other symptoms?	¿tiene algún otro síntoma?	do you have any other symptoms?
26	en	es-419	are you having any shortness of breath?	¿tiene algo de falta de aire?	Do you have shortness of breath?
27	en	es-419	are you still having the chest pain	todavía siente dolor en el pecho	still have chest pain
28	en	es-419	because this is flu season	porque esta es la temporada de gripe	because this is flu season
29	en	es-419	but also we shouldn't be put aside for the heart cardiac origin chest pain	pero, además, no deberían ignorarnos por el dolor de pecho de origen cardíaco	but, in addition, they should not ignore us for chest pain of cardiac origin
30	en	es-419	but a more important problem now is this chest pain	pero ahora un problema más importante es este dolor de pecho	but now a bigger problem is this chest pain
31	en	es-419	but i have difficulty breathing	pero tengo dificultad para respirar	but i have trouble breathing
32	en	es-419	but i know lot of people cough on me	pero sé que muchas personas me tosen encima	but I know that many people cough on me
33	en	es-419	but we need to treat every chest pain with the utmost seriousness	pero siempre debemos tratar el dolor de pecho con la máxima seriedad	but we should always treat chest pain with the utmost seriousness
34	en	es-419	but you're breathing all right right now right?	¿pero ahora estás respirando bien, no?	but now you&#39;re breathing well, right?
