	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	fa	about how long have these symptoms been going on?	تقریباً چه مدت است که این علایم ادامه دارد؟	Approximately how long have these symptoms lasted?
1	en	fa	and all chest pain should be treated this way especially with your age	و به خصوص با توجه به سن شما، باید با تمام دردهای قفسه سینه به این شکل رفتار شود	And especially as you age, all chest pain should be treated this way
2	en	fa	and along with a fever	و همراه با تب	and accompanied by fever
3	en	fa	and also needs to be checked your cholesterol blood pressure	و همچنین نیاز است که کلسترول و فشار خون شما بررسی شود	And you also need to check your cholesterol and blood pressure
4	en	fa	and are you having a fever now?	و آیا شما اکنون تب دارید؟	And do you have a fever now?
5	en	fa	and are you having this chest pain now?	و آیا الان هم قفسه سینه شما درد می‌کند؟	And does your chest still hurt?
6	en	fa	and besides do you have difficulty breathing	و علاوه بر این، آیا در تنفس مشکل دارید	And besides, do you have trouble breathing?
7	en	fa	and can you tell me what other symptoms are you having along with this?	و می‌توانید به من بگویید که در کنار این مشکل، چه علایم دیگری دارید؟	And can you tell me what other symptoms you have besides this problem?
8	en	fa	and how high has your fever been	و تب شما چقدر بالا بوده است	And how high was your fever?
9	en	fa	and i have a cough too	و سرفه هم می‌کنم	And I cough too
10	en	fa	and i have a little cold and a cough	و کمی سرماخوردگی دارم و سرفه می‌کنم	And I have a little cold and cough
11	en	fa	and i'm really having some bad chest pain today	و امروز درد واقعاً شدیدی در قفسه سینه‌ام دارم	And today I have a really bad pain in my chest
12	en	fa	and is this the right time for your hay fever	و آیا الان زمان حساسیت فصلی شماست	And is it time for your seasonal allergies?
13	en	fa	and it get the chest pain	و درد قفسه سینه شروع شد	And the chest pain started
14	en	fa	and i think i have a little bit of a fever	و فکر می‌کنم کمی تب دارم	And I think I have a little fever
15	en	fa	and i want you to describe where the chest pain is	و من از شما می‌خواهم توضیح دهید کجای قفسه سینه درد می‌کند	And I want you to describe where the chest hurts
16	en	fa	and they're having some fevers as well	و آنها قدری هم تب دارند	And they have a bit of a fever
17	en	fa	and with your history of diabetes	و با توجه به سابقه دیابت شما	And according to your history of diabetes
18	en	fa	and you know it feels like my chest is like gonna crush	و اینگونه احساس می‌کنم که انگار قفسه سینه‌ام دارد خرد می‌شود	And I feel like my chest is going to collapse
19	en	fa	and you know people cough on me all the time	و افراد همیشه رو به من سرفه می‌کنند	And people always cough on me
20	en	fa	and you're having chest pain	و شما درد قفسه سینه دارید	And you have chest pain
21	en	fa	and you said this is a pressure in your chest	و شما گفتید که این، فشاری به قفسه سینه شما وارد می‌کند	And you said it puts pressure on your chest
22	en	fa	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	کسی در خانواده مشکل قلبی، بیماری قلبی، حمله قلبی، کلسترول بالا، فشار خون بالا دارد	Someone in the family has a heart problem, heart disease, heart attack, high cholesterol, high blood pressure
23	en	fa	any other symptoms or problems that you notice with the muscle aches?	آیا همراه با این دردهای عضلانی، متوجه هر گونه علایم یا مشکل دیگری شده‌اید؟	Have you noticed any other symptoms or problems along with these muscle pains?
24	en	fa	are there other people sick as you at home with your same symptoms?	آیا افراد مریض دیگری در خانه شما هستند که همین علایم شما را داشته باشند؟	Are there other sick people in your house who have the same symptoms as you?
25	en	fa	are you having any other symptoms?	آیا هر گونه علایم دیگری دارید؟	Do you have any other symptoms?
26	en	fa	are you having any shortness of breath?	آیا اکنون تنگی نفس دارید؟	Are you short of breath now?
27	en	fa	are you still having the chest pain	آیا هنوز هم در قفسه سینه خود احساس درد دارید	Do you still feel pain in your chest?
28	en	fa	because this is flu season	چون الان فصل آنفولانزا است	Because now is the flu season
29	en	fa	but also we shouldn't be put aside for the heart cardiac origin chest pain	همچنین ما نباید به دردهای قفسه سینه که منشأ قلبی دارند، بی توجه باشیم	Also, we should not ignore chest pains that are of heart origin
30	en	fa	but a more important problem now is this chest pain	اما مشکل بزرگتر در حال حاضر، همین درد قفسه سینه است	But the bigger problem right now is the chest pain
31	en	fa	but i have difficulty breathing	اما من در تنفس مشکل دارم	But I have trouble breathing
32	en	fa	but i know lot of people cough on me	اما من افراد زیادی را می‌شناسم که رو به من سرفه می‌کنند	But I know a lot of people who cough on me
33	en	fa	but we need to treat every chest pain with the utmost seriousness	اما ما باید با هر دردی در قفسه سینه با جدیت کامل برخورد کنیم	But we should take any chest pain seriously
34	en	fa	but you're breathing all right right now right?	اما در حال حاضر تنفس شما خوب است، درست است؟	But now your breathing is fine, right?
35	en	fa	cause of this chest pain i totally forgot	به دلیل این درد قفسه سینه، کاملاً فراموش کردم	I completely forgot because of this chest pain
36	en	fa	does it feel like somebody squeezing your chest	آیا احساس می‌کنید که کسی قفسه سینه شما را فشار می‌دهد	Do you feel like someone is squeezing your chest?
37	en	fa	do still feel like shortness of breath	آیا هنوز هم احساس می‌کنید تنگی نفس دارید	Do you still feel short of breath?
38	en	fa	do they complain of being sick similar symptoms?	آیا آنها هم بیمار هستند و علایم مشابهی دارند؟	Are they also sick and have similar symptoms?
39	en	fa	do you have any other chronic like high blood pressure or anything like that?	آیا هر گونه بیماری مزمن دیگری مانند فشار خون بالا یا چیزی مشابه آن دارید؟	Do you have any other chronic diseases such as high blood pressure or something similar?
40	en	fa	do you have any other diseases chronic medical problems like diabetes?	آیا هر گونه مشکل پزشکی یا بیماری مزمن دیگری مانند دیابت دارید؟	Do you have any medical problems or other chronic conditions such as diabetes?
