	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ha	 about how long have these symptoms been going on? 	kusan tsawon lokacin ne waɗannan alamun ke gudana?	How long do these symptoms last?
1	en	ha	 and all chest pain should be treated this way especially with your age 	kuma ya kamata a yi jiyya ga duk ciwon ƙirji ta wannan hanyar, musamman saboda shekarun ku	and all chest pains should be treated in this way, especially because of your age
2	en	ha	 and along with a fever 	kuma tare da zazzabi	and with fever
3	en	ha	 and also needs to be checked your cholesterol blood pressure 	sannan kuma yana bukatar a binciki hawan jini na cholesterol	and he needs to check his blood cholesterol level
4	en	ha	 and are you having a fever now? 	kuma kuna da zazzabi yanzu	and you have a fever now
5	en	ha	 and are you having this chest pain now? 	kuma kuna jin zafin wannan kirji yanzu?	and do you feel the pain in this chest now?
6	en	ha	 and besides do you have difficulty breathing 	kuma bayan haka kuna samun wahalar yin numfashi	and after that you find it difficult to breathe
7	en	ha	 and can you tell me what other symptoms are you having along with this? 	kuma zaku iya fada mini wasu nau'ikan cututtukan da kuke da su tare da wannan?	and can you tell me what kind of diseases you have with this?
8	en	ha	 and how high has your fever been 	kuma yaya ne zafin zazzabin yake?	and how hot is the fever?
9	en	ha	 and i have a cough too 	kuma ina da tari ma	and I have a cough too
10	en	ha	 and i have a little cold and a cough 	kuma ina da sanyi kadan da tari	and I have a little cold and cough
11	en	ha	 and i'm really having some bad chest pain today 	kuma ina fama da mummunan ciwon kirji a yau	and I have a bad chest pain today
12	en	ha	 and is this the right time for your hay fever 	kuma wannan shine lokacin da ya dace da zazzabin ku	and this is the right time for your fever
13	en	ha	 and it get the chest pain 	kuma yana jin zafin kirji	and he feels chest pain
14	en	ha	 and i think i have a little bit of a fever 	kuma ina tsammanin ina da zazzabi kaɗan	and I think I have a slight fever
15	en	ha	 and i want you to describe where the chest pain is 	kuma ina so ka bayana inda ciwon kirjin yake	and I want you to tell me where the chest pain is
16	en	ha	 and they're having some fevers as well 	kuma suna da ciwon zazzabi shima	and they have fever too
17	en	ha	 and with your history of diabetes 	kuma tare da tarihin ciwon sukari	and with a history of diabetes
18	en	ha	 and you know it feels like my chest is like gonna crush 	Kuma ka san yadda yake ji kirjina kamar zai murkushe	And you know how it feels like my chest is going to crush
19	en	ha	 and you know people cough on me all the time 	kuma ka san mutane suna tari ko da yaushe a kai na	and you know people are always coughing on me
20	en	ha	 and you're having chest pain 	kuma kana fama da ciwon kirji	and you are suffering from chest pain
21	en	ha	 and you said this is a pressure in your chest 	kuma kun ce wannan matsin lamba ne a kirjin ku	and you said this is pressure in your chest
22	en	ha	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	akwai wani a danginku dake da matsalar zuciya ko cutar zuciya ko ciwon zuciya ko idan daskararren maiƙon cholesterol ya yi sama ko hawon jini?	Does anyone in your family have heart problems, heart disease, heart attack, high cholesterol or high blood pressure?
23	en	ha	 any other symptoms or problems that you notice with the muscle aches? 	akwai kuma wasu alamomin cututtuka ko matsaloli da kuka lura da ciwon ƙwayar tsokar?	Are there any other symptoms or problems you have noticed with muscle pain?
24	en	ha	 are there other people sick as you at home with your same symptoms? 	akwai wasu mutanen da ba su da lafiya kamar yadda kuke a gida tare da alamomin ku iri ɗaya?	Are there other people who are as sick as you at home with the same symptoms as you?
25	en	ha	 are you having any other symptoms? 	shin kana da wasu alamomi ciwo?	Do you have any symptoms?
26	en	ha	 are you having any shortness of breath? 	kana jin wani ƙarancin numfashi?	Do you feel any shortness of breath?
27	en	ha	 are you still having the chest pain 	shin har yanzu kana jin ciwo a kirjinka	Do you still feel pain in your chest?
28	en	ha	 because this is flu season 	sabo da wannan lokacin mura ne	new this season is the flu
29	en	ha	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	amma kuma bai kamata a sanya mu ba a gefe don ciwon kirjin zuciya	but we should not be put aside for chest pain
30	en	ha	 but a more important problem now is this chest pain 	amma matsala mafi mahimmanci yanzu shine wannan ciwon kirji	but the most important problem now is this chest pain
31	en	ha	 but i have difficulty breathing 	amma ina da wahalar numfashi	but I have difficulty breathing
32	en	ha	 but i know lot of people cough on me 	amman na san mutane da yawa wanda suke min tari	but I know many people who cough on me
33	en	ha	 but we need to treat every chest pain with the utmost seriousness 	amma ya kamata mubu dauke kowane ciwon kirji da matuƙar mahimmanci	but we should take every chest pain very seriously
34	en	ha	 but you're breathing all right right now right? 	amman yanzu kuna ninfashi lafiya haka ko?	But are you breathing well now?
35	en	ha	 'cause of this chest pain i totally forgot 	na manta da sanadin wannan ciwon kirji	I forgot the cause of this chest pain
36	en	ha	 does it feel like somebody squeezing your chest 	shin kana jin kamar wani yana matse kirjin ka	Do you feel like someone is squeezing your chest?
37	en	ha	 do still feel like shortness of breath 	har yanzu kana jin kamar karancin numfashi	you still feel short of breath
38	en	ha	 do they complain of being sick similar symptoms? 	Shin suna gunagunin rashin lafiya irin wannan alamu?	Do they complain of illness such symptoms?
39	en	ha	 do you have any other chronic like high blood pressure or anything like that? 	Shin kana da wani ciwo mai tsanani kamar na cutar hawan jini ko wani abu makamancin haka?	Do you have any serious illness like high blood pressure or something similar?
40	en	ha	 do you have any other diseases chronic medical problems like diabetes? 	kuna dauke da wani cuta mai tsanani damuwar asibiti kammar ciwon sukari?	Do you have a serious medical condition such as diabetes?
41	en	ha	 do you have any shortness of breath with that chest pain? 	kuna da rashin numfashi tare da wannan zafin kirji?	do you have shortness of breath with this chest pain?
42	en	ha	 do you have high blood pressure? 	kuna da hawan jini?	do you have high blood pressure?
