	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	id	about how long have these symptoms been going on?	sudah berapa lama gejala-gejala ini berlangsung?	how long have these symptoms lasted?
1	en	id	and all chest pain should be treated this way especially with your age	dan semua nyeri dada harus ditangani dengan cara ini terutama di usia Anda	and all chest pain should be treated this way especially at your age
2	en	id	and along with a fever	dan bersama dengan demam	and along with fever
3	en	id	and also needs to be checked your cholesterol blood pressure	dan tekanan darah serta kolesterol Anda juga perlu diperiksa	and your blood pressure and cholesterol should also be checked
4	en	id	and are you having a fever now?	dan apakah Anda sedang demam sekarang?	and do you have a fever now?
5	en	id	and are you having this chest pain now?	dan apakah Anda merasakan nyeri dada ini sekarang?	and do you feel this chest pain now?
6	en	id	and besides do you have difficulty breathing	dan apakah Anda juga kesulitan bernapas?	and are you also having trouble breathing?
7	en	id	and can you tell me what other symptoms are you having along with this?	dan bisakah Anda ceritakan gejala lain yang Anda alami bersama dengan gejala ini?	and can you tell me about other symptoms that you experience along with these symptoms?
8	en	id	and how high has your fever been	dan pernah sampai berapa tinggi demam Anda?	and how high was your fever?
9	en	id	and i have a cough too	dan saya juga batuk	and I also cough
10	en	id	and i have a little cold and a cough	dan saya sedikit pilek dan batuk	and I have a little cold and cough
11	en	id	and i'm really having some bad chest pain today	dan saya merasakan nyeri dada berat hari ini	and I feel severe chest pain today
12	en	id	and is this the right time for your hay fever	dan ini musim alergi rhinitis	and it&#39;s allergic rhinitis season
13	en	id	and it get the chest pain	dan terasa nyeri dada	and feel chest pain
14	en	id	and i think i have a little bit of a fever	dan saya rasa saya juga sedikit demam	and I think I also have a little fever
15	en	id	and i want you to describe where the chest pain is	dan saya ingin Anda menjelaskan tempat nyeri dada Anda	and I want you to describe where your chest pain is
16	en	id	and they're having some fevers as well	dan mereka juga demam	and they also have a fever
17	en	id	and with your history of diabetes	dan dengan riwayat diabetes Anda	and with your history of diabetes
18	en	id	and you know it feels like my chest is like gonna crush	dan tahukah Anda, dada saya rasanya seperti akan remuk	and you know, my chest feels like it&#39;s going to crush
19	en	id	and you know people cough on me all the time	dan tahukah Anda, orang selalu batuk ke arah saya	and you know, people always cough on me
20	en	id	and you're having chest pain	dan Anda merasa nyeri dada	and you feel chest pain
21	en	id	and you said this is a pressure in your chest	dan Anda katakan bahwa ada tekanan di dada Anda	and you say that there is pressure in your chest
22	en	id	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	siapa pun di keluarga yang memiliki masalah jantung, penyakit jantung, serangan jantung, kolesterol tinggi, tekanan darah tinggi	anyone in the family with heart problems, heart disease, heart attack, high cholesterol, high blood pressure
23	en	id	any other symptoms or problems that you notice with the muscle aches?	apakah ada gejala atau masalah lain yang Anda perhatikan bersama dengan nyeri otot?	Are there any other symptoms or problems you&#39;ve noticed along with muscle pain?
24	en	id	are there other people sick as you at home with your same symptoms?	apakah ada orang lain yang sakit seperti Anda di rumah dengan gejala yang sama?	is there anyone else at home as sick as you with the same symptoms?
25	en	id	are you having any other symptoms?	apakah Anda merasakan gejala lain?	do you have any other symptoms?
26	en	id	are you having any shortness of breath?	apakah Anda pernah merasa sesak napas?	have you ever felt short of breath?
27	en	id	are you still having the chest pain	apakah Anda masih merasa nyeri dada?	do you still have chest pain?
28	en	id	because this is flu season	karena ini musim flu	because it&#39;s flu season
29	en	id	but also we shouldn't be put aside for the heart cardiac origin chest pain	tetapi kita juga tidak boleh mengesampingkan nyeri dada yang berasal dari jantung	but neither should we rule out chest pain of cardiac origin
30	en	id	but a more important problem now is this chest pain	tetapi masalah yang lebih penting sekarang adalah nyeri dada ini	but the more important problem now is this chest pain
