	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ln	 about how long have these symptoms been going on? 	basymptomi oyo ewumeli mikolo boni?	how many days do these symptoms last?
1	en	ln	 and all chest pain should be treated this way especially with your age 	mpe bampasi nyonso ya ntolo esengeli esalisama mpona kobika lolenge oyo mpona mibu na yo	and all chest pains must be treated to survive this way for your age
2	en	ln	 and along with a fever 	mpe elongo na fefele	and with the flower
3	en	ln	 and also needs to be checked your cholesterol blood pressure 	mpe esengeli kotala tansio ya cholesterole na yo	and your cholesterol levels should be checked
4	en	ln	 and are you having a fever now? 	mpe yo ozali na fefele sikoyo?	and you have a flower now?
5	en	ln	 and are you having this chest pain now? 	mpe ozali na mpasi na ntolo sikoyo?	and do you have chest pain now?
6	en	ln	 and besides do you have difficulty breathing 	mpe ozali na mpasi ya kopema	and you have difficulty breathing
7	en	ln	 and can you tell me what other symptoms are you having along with this? 	mpe okoki koyebisa ngai basymptomi misusu ozali na yango elongo na oyo?	and can you tell me any other symptoms you have along with this?
8	en	ln	 and how high has your fever been 	mpe fefele na yo ezalaki makasi ndenge nini	and how strong was your flower
9	en	ln	 and i have a cough too 	mpe nazali lisusu na kosukosu	and i have a cough again
10	en	ln	 and i have a little cold and a cough 	mpe nazali na malili moke na kosukosu	and I have a mild cold with a cough
11	en	ln	 and i'm really having some bad chest pain today 	mpe lelo nazali komona mpasi makasi na ntolo	and today I am experiencing severe chest pain
12	en	ln	 and is this the right time for your hay fever 	pe oyo tango ekoki pona fievre nayo ya foin	and this time it&#39;s time for your hay fever
13	en	ln	 and it get the chest pain 	mpe ekomi na ntolo	and it reaches the chest
14	en	ln	 and i think i have a little bit of a fever 	mpe nakanisi nazali nan fefele moke	and I think I am nan little flower
15	en	ln	 and i want you to describe where the chest pain is 	mpe nalingi yo olimbola ngai esika mpasi ya ntolo ezali	and I want you to explain to me where the chest pain is
16	en	ln	 and they're having some fevers as well 	mpe bazali na fefele moke mpe	and they have a little flower too
17	en	ln	 and with your history of diabetes 	mpe na lisolo na yo ya diabeti	and in your history of diabetes
18	en	ln	 and you know it feels like my chest is like gonna crush 	mpe oyebi ezali kosala lekola ntolo na ngai ekobukana	and you know it&#39;s like my chest is going to break
19	en	ln	 and you know people cough on me all the time 	mpe oyobe bato bazali kokosola likolo na ngai bangona nyonso	and whatever people are testifying against me they are all
20	en	ln	 and you're having chest pain 	mpe ozali na mpasi na ntolo	and you have chest pain
21	en	ln	 and you said this is a pressure in your chest 	mpe olobi oyo ezali kilo na tolo	and you say this is heavy on the chest
22	en	ln	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	moto na libota azali kobela motema, motema ya kokangama tansio ya komata	family member has heart disease, heart attack high blood pressure
23	en	ln	 any other symptoms or problems that you notice with the muscle aches? 	yo omoni basymptomi misusu to mikakatano na mpasi ya misisa?	have you noticed any other symptoms or problems with muscle pain?
24	en	ln	 are there other people sick as you at home with your same symptoms? 	bato misusu na ndako na yo bazali kobela na basymptomi moko oyo ya yo?	are other people in your household suffering from the same symptoms as you?
25	en	ln	 are you having any other symptoms? 	yo ozali na basymptomi misusu?	you have other symptoms?
26	en	ln	 are you having any shortness of breath? 	ozali kokata mpema?	are you cutting your breath?
27	en	ln	 are you still having the chest pain 	ozali kaka na mpasi na ntolo	you just have a chest pain
28	en	ln	 because this is flu season 	mpo oyo ezali ntango ya grippe	because this is flu season
29	en	ln	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	mpe esengeli te totiama mpembeni bokono ya motema oyo etumboli mpasi ya ntolo	and we should not ignore the heart disease that causes chest pain
30	en	ln	 but a more important problem now is this chest pain 	 kasi mokakatano ya makasi sik’oyo eza pasi na tolo 	but the biggest problem now is the pain in the neck
31	en	ln	 but i have difficulty breathing 	 kasi na pasi ya kopema	but with difficulty in breathing
32	en	ln	 but i know lot of people cough on me 	 kasi nayebi bato ebele bazo kosolela nga	but I know a lot of people are talking to me
33	en	ln	 but we need to treat every chest pain with the utmost seriousness 	 kasi esengeli totala likambo ya pasi na tolo na boyoki motema pasi penza 	but we must look at the pain in the chest with great sadness
34	en	ln	 but you're breathing all right right now right? 	 kasi nde sik’oyo ozo pema nayo malamu eza boye? 	but now you&#39;re breathing well is this?
35	en	ln	 'cause of this chest pain i totally forgot 	 ntina ya pasi ya tolo na bosani mobimba na yango	the cause of chest pain in complete oblivion of it
36	en	ln	 does it feel like somebody squeezing your chest 	 eza sala lokola moto azo fina yo nakati ya tolo nayo	it feels like someone is kissing you in the middle of your chest
37	en	ln	 do still feel like shortness of breath 	 ezo monana kaka lokola pema mokuse	it just looks like a short breath
38	en	ln	 do they complain of being sick similar symptoms? 	 bazo lela kobela na basymptomi ya ndenge moko? 	are they crying sick with the same symptoms?
39	en	ln	 do you have any other chronic like high blood pressure or anything like that? 	 oza na kobela mosusu ya chroniki lokola tension ya makila to eloko ya ndenge wana? 	do you have any other chronic illness like high blood pressure or something like that?
40	en	ln	 do you have any other diseases chronic medical problems like diabetes? 	 oza na mabela mosusu ya chroniki pona monganga lokola mokakatano ya diabeti? 	do you have any other chronic breasts for the doctor like diabetes problem?
41	en	ln	 do you have any shortness of breath with that chest pain? 	 oza na boyoki pema mokusa elongo na pasi wana ya tolo? 	do you feel short of breath with that chest pain?
42	en	ln	 do you have high blood pressure? 	 oza na tension ya makila emata? 	do you have high blood pressure?
43	en	ln	 do you have some shortness of breath goes with that? 	 oza na pema kamwa mokuse elongo na oyo wana? 	do you have a surprisingly short breath with that one?
44	en	ln	 do you know what symptoms she was having? 	 oyebi basymptomi ya ndenge nini azalaki na yango? 	do you know what kind of symptoms he had?
45	en	ln	 do you see the image? 	 ozo mona elili ? 	do you see the shadow ?
46	en	ln	 drink plenty of fluids today 	 mela biloko ya mayi mingi lelo	drink plenty of liquids today
47	en	ln	 however i take tests for the diabetes 	 kasi nde salisa tesite pona diabeti	but treat tesite for diabetes
48	en	ln	 however she has symptoms quite similar to mine 	 kasi nde aza basymptomi ekokani kamwa na yanga	but he has symptoms surprisingly similar to mine
49	en	ln	 how high is your fever? 	 fievre nayo emati na niveau nini ? 	what level has your fever gone up to ?
50	en	ln	 how' s your blood pressure? 	 tansion nayo ya makila eza ndenge nini? 	what is your blood pressure like?
51	en	ln	 if you continue to have high fevers 	 soki ozo landela kaka koyoka bafievre emata 	if you keep just hearing the fevers go up
52	en	ln	 if you have a fever of a hundred and two or higher 	 soki ozali na fievre ya kama na mibale to likolo	if you have a fever of two hundred or higher
53	en	ln	 if you think that your symptoms or problems warrant a better look 	 soki okanisi ete basymptomi nayo ekomi mikakatano ezo senga batala yango malamu	if you think your symptoms are becoming problems it needs to be looked at carefully
54	en	ln	 i got a fever yesterday 	 nazalaki na fievre lobi loleki 	i had a fever yesterday
55	en	ln	 i got a slight fever too 	 naza na fievre moke lisusu 	i have a little fever again
56	en	ln	 i had a fever yesterday 	 nazalaki na fievre lobi loleki 	i had a fever yesterday
57	en	ln	 i have a sharp pain here in the chest 	 naza na pasi ya songe awa na kati ya tolo 	i have a songe pain here in the chest
58	en	ln	 i have some difficulty breathing too 	 naza na kamwa pasi pe pona kopema	i&#39;m surprisingly painful and to breathe
59	en	ln	 i'll send you an image 	 na kotindela yo elili	by sending you a shadow
60	en	ln	 i'm having some chest pain today 	 nazo yoka kamwa pasi na tolo mokolo ya lelo 	i feel strange pain in my chest today
61	en	ln	 i'm just having some headaches and some fever today 	 nazo yoka moto kobeta kamwa na fievre mokolo ya lelo	i feel fire beating amazing with fever today
62	en	ln	 in my opinion it is flu 	 na ndenge nazo monela eza grippe	and the way I see it&#39;s the flu
63	en	ln	 in my opinion this is a little flu 	 na ndenge nazo monela oyo eza grippe moke	and as far as I&#39;m concerned this is a minor flu
64	en	ln	 is it like some heavy heavy person sitting on your chest? 	 ezo sala neti moto ya monene afandeli yo na tolo nayo? 	does it feel like a big person is sitting on your lap?
65	en	ln	 it all started with the headaches and with the fever about the same time 	 nionso ebandaki na moto pasi pe na fievre elongo tango moko	it all started with hot flashes and fever together at the same time
66	en	ln	 it hurts in the middle of my chest 	 ezo swa na kati-kati ya tolo nanga	it swallows in the middle of my neck
67	en	ln	 it is a pressure like chest pain 	 eza compression lokola pasi ya tolo	it&#39;s compression like chest pain
68	en	ln	 it is in my chest 	 eza nakati ya tolo nanga	it&#39;s in the middle of my chest
69	en	ln	 it is in the center of my chest 	 eza na kati-kati ya tolo nanga	it&#39;s in the middle of my chest
70	en	ln	 it is in the center of the chest 	 eza na kati-kati ya tolo 	it’s in the middle of the chest
71	en	ln	 i've got pain in my chest 	 nazo yoka pasi na kati ya tolo nanga	i feel pain in my chest
