	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ms	about how long have these symptoms been going on?	agak-agak sudah berapa lamakah simptom ini berterusan?	How long have these symptoms been going on?
1	en	ms	and all chest pain should be treated this way especially with your age	dan semua sakit dada perlu dirawat dengan cara ini terutamanya pada usia anda	and all chest pains should be treated this way especially at your age
2	en	ms	and along with a fever	dan berserta demam	and accompanied by fever
3	en	ms	and also needs to be checked your cholesterol blood pressure	dan yang perlu diperiksa juga ialah tekanan darah kolesterol anda	and what needs to be checked is your cholesterol blood pressure
4	en	ms	and are you having a fever now?	dan adakah anda sedang mengalami demam sekarang?	and are you running a fever now?
5	en	ms	and are you having this chest pain now?	dan adakah anda sedang mengalami sakit dada sekarang?	and are you having chest pain right now?
6	en	ms	and besides do you have difficulty breathing	dan selain itu adakah anda mengalami kesukaran untuk bernafas	and besides do you have difficulty breathing
7	en	ms	and can you tell me what other symptoms are you having along with this?	dan bolehkah anda beritahu saya simptom lain yang anda alami bersama-sama simptom ini?	and can you tell me what other symptoms you are experiencing along with these?
8	en	ms	and how high has your fever been	dan setinggi mana suhu demam anda	and how high your fever is
9	en	ms	and i have a cough too	dan saya juga batuk	and I cough too
10	en	ms	and i have a little cold and a cough	dan saya mengalami sedikit selesema dan batuk	and I have a little cold and cough
11	en	ms	and i'm really having some bad chest pain today	dan dada saya benar-benar sakit hari ini	and my chest really hurts today
12	en	ms	and is this the right time for your hay fever	dan adakah ini masa yang tepat untuk demam alergi anda	and is this the right time for your allergic fever
13	en	ms	and it get the chest pain	dan ia mendapat sakit dada	and he got chest pain
14	en	ms	and i think i have a little bit of a fever	dan saya rasa saya demam sedikit	and I think I have a slight fever
15	en	ms	and i want you to describe where the chest pain is	dan saya ingin anda gambarkan tempat sakit dada itu	and I want you to describe the chest pain
16	en	ms	and they're having some fevers as well	dan mereka juga mengalami sedikit demam	and they also have a slight fever
17	en	ms	and with your history of diabetes	dan dengan sejarah diabetes anda	and with your history of diabetes
18	en	ms	and you know it feels like my chest is like gonna crush	dan anda tahu dada saya rasa seperti akan pecah	and you know my chest feels like it&#39;s going to burst
19	en	ms	and you know people cough on me all the time	dan anda tahu orang batuk pada saya sepanjang masa	and you know people cough on me all the time
20	en	ms	and you're having chest pain	dan anda mengalami sakit dada	and you have chest pain
21	en	ms	and you said this is a pressure in your chest	dan anda katakan ada rasa menekan pada dada anda	and you say you feel pressure in your chest
22	en	ms	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	sesiapa dalam keluarga yang mengalami masalah jantung penyakit jantung serangan jantung kolesterol tinggi tekanan darah tinggi	anyone in the family with heart problems heart disease heart attack high cholesterol high blood pressure
23	en	ms	any other symptoms or problems that you notice with the muscle aches?	sebarang simptom atau masalah lain yang anda perasan dengan sakit otot?	any other symptoms or problems you notice with muscle pain?
24	en	ms	are there other people sick as you at home with your same symptoms?	adakah terdapat orang lain yang sakit seperti anda di rumah dengan simptom yang sama seperti anda?	is there anyone else sick like you at home with the same symptoms as you?
25	en	ms	are you having any other symptoms?	adakah anda mengalami sebarang simptom lain?	are you experiencing any other symptoms?
26	en	ms	are you having any shortness of breath?	adakah anda mengalami sebarang sesak nafas?	do you have any shortness of breath?
27	en	ms	are you still having the chest pain	adakah anda masih mengalami sakit dada	Do you still have chest pain?
28	en	ms	because this is flu season	kerana ini musim flu	because this is flu season
29	en	ms	but also we shouldn't be put aside for the heart cardiac origin chest pain	tetapi kita juga tidak sepatutnya diketepikan untuk sakit dada yang berasal daripada kardium jantung	but we should also not be excluded for chest pain originating from the cardium of the heart
30	en	ms	but a more important problem now is this chest pain	tetapi masalah yang lebih penting sekarang ialah sakit dada ini	but the more important problem now is this chest pain
31	en	ms	but i have difficulty breathing	tetapi saya mengalami kesukaran bernafas	but I have difficulty breathing
32	en	ms	but i know lot of people cough on me	tetapi saya tahu ramai orang batuk pada saya	but I know many people cough on me
33	en	ms	but we need to treat every chest pain with the utmost seriousness	tetapi kita perlu merawat setiap sakit dada dengan penuh serius	but we need to treat every chest pain seriously
34	en	ms	but you're breathing all right right now right?	tetapi anda bernafas dengan baik sekarang bukan?	but you are breathing well now aren&#39;t you?
35	en	ms	cause of this chest pain i totally forgot	disebabkan sakit dada ini saya langsung terlupa	because of this chest pain I immediately forgot
36	en	ms	does it feel like somebody squeezing your chest	adakah anda terasa seperti seseorang menekan dada anda	Do you feel like someone is pressing on your chest?
37	en	ms	do still feel like shortness of breath	adakah masih terasa seperti sesak nafas	Do you still feel short of breath?
38	en	ms	do they complain of being sick similar symptoms?	adakah mereka mengadu mengalami sakit dengan simptom yang serupa?	Do they complain of pain with similar symptoms?
39	en	ms	do you have any other chronic like high blood pressure or anything like that?	adakah anda mempunyai sebarang masalah kronik lain seperti tekanan darah tinggi atau perkara seperti itu?	do you have any other chronic problems like high blood pressure or things like that?
