	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	om	 about how long have these symptoms been going on? 	Mallattooleen kun yeroo hammamiif mul’achaa jira?	How long have these symptoms been occurring?
1	en	om	 and all chest pain should be treated this way especially with your age 	Dhukkubbiin laphee hunduu kara kana yaalamuu qabu; keessumaa umuriikee waliin	All heart disease should be treated this way; especially with your age
2	en	om	 and along with a fever 	Ho’ina qaamaa waliin	With fever
3	en	om	 and also needs to be checked your cholesterol blood pressure 	Fi cholesterol kee ilaalamuu si barbaachisa	And you need your cholesterol checked
4	en	om	 and are you having a fever now? 	Amma ho’ina qaamaa qabdaa?	Do you have a fever now?
5	en	om	 and are you having this chest pain now? 	Dhukkubbiin laphee kun amma sitti in dhaga’amaa?	Do you feel this heartache now?
6	en	om	 and besides do you have difficulty breathing 	Kana malees, dhibee hargansuu jabaa qabdaa?	In addition, do you have severe asthma?
7	en	om	 and can you tell me what other symptoms are you having along with this? 	Mallattoowwan gara biroo kana waliin qabaachaa jirtus natti himuu dandeessa.	You can also tell me about the other symptoms you are having with this.
8	en	om	 and how high has your fever been 	Fi ho’inni qaamaaketii hagam ol ka’e	And how high your body temperature went
9	en	om	 and i have a cough too 	Akkasumas qufaa qaba	He also has a cough
10	en	om	 and i have a little cold and a cough 	Kana malees, ani qorra xiqqoo fi qufaan qaba.	In addition, I have a slight chill and cough.
11	en	om	 and i'm really having some bad chest pain today 	Har’a dhukkubbii qomaa cimaatu natti dhaga’amaa jira.	I am having severe neck pain today.
12	en	om	 and is this the right time for your hay fever 	Kunimmoo ho’ina qaamakee sanaaf yeroo sirriidhaa?	Is this the right time for your temperature?
13	en	om	 and it get the chest pain 	Ergasii laphee dhukkubbiin na jalqabe	Then I started having heartburn
14	en	om	 and i think i have a little bit of a fever 	ho’ina qaamaa xiqqoo nan qaba jedheen yaada.	i think i have a slight fever.
15	en	om	 and i want you to describe where the chest pain is 	Fi ani dhukkubbiin laphee sun eessa akka ta’e akka ati naaf ibsitun barbaade	And I wanted you to explain where the heartache was
16	en	om	 and they're having some fevers as well 	fi akkasumas isaan ho’ina qaamaa hamma ta’e qabu	and also they have a fair amount of warmth
17	en	om	 and with your history of diabetes 	Fi seenaa dhibee waa’ee sukkaaraakee waliin	And with a history of illness about your diabetes
18	en	om	 and you know it feels like my chest is like gonna crush 	Beektaa, Akka Waan lapheenkoo caccabaa jiruutti natti dhaga’amaam	You know, I feel like my heart is breaking
