	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ps	about how long have these symptoms been going on?	دغه علايم له څومره مودې راهيسې ادامه لري؟	How long have these symptoms lasted?
1	en	ps	and all chest pain should be treated this way especially with your age	په خاصه بیا ستاسو عمر ته په کتو سره د سینې د ټول درد باید پدې ډول درملنه وشي.	All chest pain should be treated this way, especially considering your age.
2	en	ps	and along with a fever	او له تبی سره	And with fever
3	en	ps	and also needs to be checked your cholesterol blood pressure	او ستاسو د کوليسترول او وینې فشار معاینه هم باید ترسره شی.	And your cholesterol and blood pressure should also be checked.
4	en	ps	and are you having a fever now?	او ایا تاسو اوس تبه لرئ ؟	And do you have a fever now?
5	en	ps	and are you having this chest pain now?	او آیا تاسو اوس هم د سینی دا درد لرئ؟	And do you still have this chest pain?
6	en	ps	and besides do you have difficulty breathing	او د هغه تر څنګ ایا تاسو په ساه اخیستلو کښی ستونزه لرئ؟	And besides, do you have trouble breathing?
7	en	ps	and can you tell me what other symptoms are you having along with this?	او ایا تاسو ويلی شئ چې د دې ترڅنګ نور کوم علایم لرئ؟	And can you tell if you have any other symptoms besides this?
8	en	ps	and how high has your fever been	او ستاسو تبه څومره شدیده ده	And how severe your fever is
9	en	ps	and i have a cough too	او زه ټوخی هم ورسره لرم	And I have a cough with it
10	en	ps	and i have a little cold and a cough	او زه لږ ټوخی او ساړه هم ورسره لرم	And I have a slight cough and cold with it
11	en	ps	and i'm really having some bad chest pain today	او زه نن واقعآ د سینی ډير سخت درد لرم	And I have a really bad chest pain today
12	en	ps	and is this the right time for your hay fever	او ایا دا ستاسو د وچی تبی لپاره مناسب وخت دی	And is it the right time for your dry cough?
13	en	ps	and it get the chest pain	او له دې سره د سینی درد هم پیدا کیږی	And it also causes chest pain
14	en	ps	and i think i have a little bit of a fever	او زه فکر کوم زه لږه تبه هم ورسره لرم	And I think I have a little fever too
15	en	ps	and i want you to describe where the chest pain is	او زه غواړم تاسو تشریح کړئ چې چیرته درد شتون لري	And I want you to describe where the pain is
16	en	ps	and they're having some fevers as well	او دوي يو څه تبه هم لري	And they have some fever
17	en	ps	and with your history of diabetes	او ستاسو د شکرې له مخینی سره	And in advance of your Thanksgiving
18	en	ps	and you know it feels like my chest is like gonna crush	او تاسو پوهیږئ دا داسې احساس کېږي لکه چې زما سینه به اوس وچوي	And you know it feels like my chest is going to dry out now
19	en	ps	and you know people cough on me all the time	او تاسو پوهیږئ چې هر وخت خلک په ما باندې ټوخي کوي	And you know all the time people cough on me
20	en	ps	and you're having chest pain	او تاسو د سینی درد لرئ	And you have chest pain
21	en	ps	and you said this is a pressure in your chest	او تاسو وویل چی دا ستاسو په سينه يو فشار دی	And you said it was a pressure on your chest
22	en	ps	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	ایا په کورنۍ کې کوم څوک د زړه ستونزه لري د زړه ناروغي د زړه حمله د د وینو لوړ کولیسټرول د وينې لوړ فشار	Does anyone in the family have heart problems, heart disease, heart attack, high blood cholesterol, high blood pressure
23	en	ps	any other symptoms or problems that you notice with the muscle aches?	کومې نور علايم یا ستونزې لري چې تاسو یې د عضلاتو درد سره احساسوئ؟	What other symptoms or problems are you experiencing with muscle pain?
24	en	ps	are there other people sick as you at home with your same symptoms?	ایا ستاسو په کورنۍ کی نور څوک هم په ورته علایمو ناروغه دي؟	Does anyone else in your family have the same symptoms?
25	en	ps	are you having any other symptoms?	ایا تاسو کوم نور علایم لرئ؟	Do you have any other symptoms?
26	en	ps	are you having any shortness of breath?	ایا تاسو ساه لنډي لرئ؟	Do you have asthma?
27	en	ps	are you still having the chest pain	ایا تاسو لا هم د سینی درد لري	Do you still have chest pain?
28	en	ps	because this is flu season	ځکه چی دا د زکام فصل دی	Because it&#39;s flu season
29	en	ps	but also we shouldn't be put aside for the heart cardiac origin chest pain	مګر دا هم باید موږ د زړه یا د اصلي سینې درد لپاره يو اړخ ته ونه ساتي	But this also should not keep us aside for heart or real chest pain
30	en	ps	but a more important problem now is this chest pain	اما د اوس لپاره ترټولو مهمه ستونزه د سینی درد دی	But the most important problem for now is chest pain
31	en	ps	but i have difficulty breathing	خو زه په ساه اخیستلو کی ستونزه لرم	But I have trouble breathing
32	en	ps	but i know lot of people cough on me	خو زه پوهیږم چی ډیر خلک په ما پوری توخي کوي	But I know that many people rely on me
33	en	ps	but we need to treat every chest pain with the utmost seriousness	مګر موږ اړتیا لرو د سينې د هر درد لپاره خورا جديت سره درملنه وکړو	But we need to treat any chest pain very seriously
34	en	ps	but you're breathing all right right now right?	مګر تاسو همدا اوس سم تنفس کوئ/ساه اخلئ سمه ده؟	But you&#39;re breathing right now right?
35	en	ps	cause of this chest pain i totally forgot	د سینی د درد لامل می ټول له یاده ووتل	I forgot all about the cause of the chest pain
36	en	ps	does it feel like somebody squeezing your chest	ایا داسی احساس کوئ چی سینی ته مو کوم څوک فشار ورکوي	Do you feel like someone is pressing on your chest?
37	en	ps	do still feel like shortness of breath	اوس هم د ساه لنډۍ په څیر احساس کوئ	Still feeling short of breath
38	en	ps	do they complain of being sick similar symptoms?	ایا هغوئ هم د ورته ناروغۍ د علایمو څخه شکایت لري؟	Do they also complain of symptoms of the same disease?
39	en	ps	do you have any other chronic like high blood pressure or anything like that?	ایا تاسو کوم بل اوږد فشار لکه د لوړ فشار یا ورته کوم څه لرئ؟	Do you have any other chronic stress such as high blood pressure or something similar?
40	en	ps	do you have any other diseases chronic medical problems like diabetes?	آیا تاسو کوم بل اوږد مهاله روغتیایی ستونزه لکه د شکرې ناروغی لرئ؟	Do you have any other long-term health problems, such as diabetes?
41	en	ps	do you have any shortness of breath with that chest pain?	ایا تاسو د سینی له درد سره ساه لنډۍ هم لرئ؟	Do you also have asthma with chest pain?
42	en	ps	do you have high blood pressure?	ایا تاسو د وینو لوړ فشار لرئ؟	Do you have high blood pressure?
