	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	pt-BR	about how long have these symptoms been going on?	por aproximadamente quanto tempo esses sintomas tem ocorrido?	for approximately how long have these symptoms been occurring?
1	en	pt-BR	and all chest pain should be treated this way especially with your age	e a dor no peito deve ser tratada assim, principalmente na sua idade	and chest pain should be treated like this, especially at your age
2	en	pt-BR	and along with a fever	e junto com a febre	and along with the fever
3	en	pt-BR	and also needs to be checked your cholesterol blood pressure	e também é necessário verificar seu colesterol e sua pressão sanguínea	and you also need to check your cholesterol and blood pressure
4	en	pt-BR	and are you having a fever now?	e você está com febre agora?	and you have a fever now?
5	en	pt-BR	and are you having this chest pain now?	e está com dor no peito agora?	and you have chest pain now?
6	en	pt-BR	and besides do you have difficulty breathing	e, além disso, você tem dificuldade para respirar?	and furthermore, do you have trouble breathing?
7	en	pt-BR	and can you tell me what other symptoms are you having along with this?	e pode me dizer quais outros sintomas você está tendo além desse?	and can you tell me what other symptoms are you having in addition to this one?
8	en	pt-BR	and how high has your fever been	e quanto mede a sua febre?	and how much is your fever?
9	en	pt-BR	and i have a cough too	e estou tossindo também	and I&#39;m coughing too
10	en	pt-BR	and i have a little cold and a cough	e estou um pouco resfriado e tossindo	and i have a little cold and coughing
11	en	pt-BR	and i'm really having some bad chest pain today	e estou com muita dor no peito hoje	and i have a lot of chest pain today
12	en	pt-BR	and is this the right time for your hay fever	e esse é o momento certo para a rinite alérgica	and that is the right time for allergic rhinitis
13	en	pt-BR	and it get the chest pain	e tem a dor no peito	and have chest pain
14	en	pt-BR	and i think i have a little bit of a fever	e acho que estou meio febril	and I think I&#39;m kind of feverish
15	en	pt-BR	and i want you to describe where the chest pain is	e quero que você descreva onde é a dor no peito	and I want you to describe where the chest pain is
16	en	pt-BR	and they're having some fevers as well	e eles estão com febre também	and they have a fever too
17	en	pt-BR	and with your history of diabetes	e com seu histórico de diabetes	and your history of diabetes
18	en	pt-BR	and you know it feels like my chest is like gonna crush	e, sabe, parece que meu peito vai explodir	and, you know, my chest feels like it&#39;s going to explode
19	en	pt-BR	and you know people cough on me all the time	e, sabe, as pessoas tossem em mim o tempo todo	and, you know, people cough on me all the time
20	en	pt-BR	and you're having chest pain	e você está com dor no peito	and you have chest pain
21	en	pt-BR	and you said this is a pressure in your chest	e você disse que é uma pressão no seu peito	and you said it&#39;s pressure in your chest
22	en	pt-BR	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	alguém na família tem problemas cardíacos, doença cardíaca, já teve ataques cardíacos, ou tem colesterol alto ou pressão alta?	does anyone in the family have heart problems, heart disease, have had heart attacks, or have high cholesterol or high blood pressure?
23	en	pt-BR	any other symptoms or problems that you notice with the muscle aches?	algum outro sintoma ou problema que você nota com as dores musculares?	any other symptoms or problems you notice with muscle pain?
24	en	pt-BR	are there other people sick as you at home with your same symptoms?	tem mais pessoas doentes na sua casa com os mesmos sintomas que você?	Do you have more sick people in your house with the same symptoms as you?
25	en	pt-BR	are you having any other symptoms?	está com algum outro sintoma?	Do you have any other symptoms?
26	en	pt-BR	are you having any shortness of breath?	está com falta de ar?	are you short of breath?
27	en	pt-BR	are you still having the chest pain	ainda está com a dor no peito?	Are you still having chest pain?
28	en	pt-BR	because this is flu season	porque é a estação da gripe	because it&#39;s flu season
29	en	pt-BR	but also we shouldn't be put aside for the heart cardiac origin chest pain	mas também não podemos descartar a dor no peito de origem cardíaca	but we also cannot rule out chest pain of cardiac origin
30	en	pt-BR	but a more important problem now is this chest pain	mas o problema mais significativo agora é essa dor no peito	but the most significant problem right now is this chest pain
31	en	pt-BR	but i have difficulty breathing	mas estou com dificuldade para respirar	but i&#39;m having trouble breathing
32	en	pt-BR	but i know lot of people cough on me	mas sei que muitas pessoas tossiram em mim	but I know that many people coughed on me
33	en	pt-BR	but we need to treat every chest pain with the utmost seriousness	mas precisamos tratar toda dor no peito com a maior seriedade	but we need to treat all chest pain very seriously
34	en	pt-BR	but you're breathing all right right now right?	mas você consegue respirar bem agora, não consegue?	but you can breathe just fine now, can&#39;t you?
35	en	pt-BR	cause of this chest pain i totally forgot	por causa dessa dor no peito eu me esqueci completamente	because of this chest pain i completely forgot
36	en	pt-BR	does it feel like somebody squeezing your chest	parece que seu peito está sendo comprimido?	Does it feel like your chest is being squeezed?
37	en	pt-BR	do still feel like shortness of breath	ainda sinto falta de ar	I still feel short of breath
38	en	pt-BR	do they complain of being sick similar symptoms?	eles reclamam de estar doentes com sintomas parecidos?	do they complain about being sick with similar symptoms?
39	en	pt-BR	do you have any other chronic like high blood pressure or anything like that?	você tem outra condição crônica, como pressão alta?	do you have another chronic condition such as high blood pressure?
40	en	pt-BR	do you have any other diseases chronic medical problems like diabetes?	você tem alguma condição ou doença crônica além da diabetes?	Do you have any chronic conditions or illnesses other than diabetes?
41	en	pt-BR	do you have any shortness of breath with that chest pain?	você teve falta de ar, além dessa dor no peito?	did you have shortness of breath in addition to this chest pain?
42	en	pt-BR	do you have high blood pressure?	você tem pressão alta?	Do you have high blood pressure?
43	en	pt-BR	do you have some shortness of breath goes with that?	você sente alguma falta de ar junto com isso?	do you feel any shortness of breath along with that?
44	en	pt-BR	do you know what symptoms she was having?	você sabe quais sintomas ela tinha?	do you know what symptoms she had?
45	en	pt-BR	do you see the image?	você vê a imagem?	do you see the picture?
46	en	pt-BR	drink plenty of fluids today	beba muito líquido hoje	drink a lot of fluids today
47	en	pt-BR	however i take tests for the diabetes	entretanto, faço testes para diabetes	however, I get tested for diabetes
