	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ru	 about how long have these symptoms been going on? 	о том, как долго присутствуют эти симптомы?	How long have these symptoms been present?
1	en	ru	 and all chest pain should be treated this way especially with your age 	и все боли в грудной клетке должны лечиться таким образом, особенно с учетом вашего возраста	and all chest pains should be treated in this way, especially considering your age
2	en	ru	 and along with a fever 	и вместе с высокой температурой	and together with high temperature
3	en	ru	 and also needs to be checked your cholesterol blood pressure 	и также требуется проверить уровень вашего холестерина и артериального давления	and you also need to check your cholesterol and blood pressure levels
4	en	ru	 and are you having a fever now? 	и есть ли у вас сейчас высокая температура?	and do you have a high temperature now?
5	en	ru	 and are you having this chest pain now? 	и испытываете ли вы сейчас эту боль в грудной клетке?	and are you experiencing this pain in your chest right now?
6	en	ru	 and besides do you have difficulty breathing 	и, кроме того, тяжело ли вам дышать	and besides, is it hard for you to breathe
7	en	ru	 and can you tell me what other symptoms are you having along with this? 	и можете ли вы рассказать мне, какие у вас имеются другие симптомы помимо этих?	and can you tell me what other symptoms you have besides these?
8	en	ru	 and how high has your fever been 	и насколько высокой была ваша температура	and how high was your temperature
9	en	ru	 and i have a cough too 	и ещё у меня кашель	and i have a cough
10	en	ru	 and i have a little cold and a cough 	и у меня небольшая простуда с кашлем	and I have a small cold with a cough
11	en	ru	 and i'm really having some bad chest pain today 	и у меня сегодня действительно сильная боль в грудной клетке	and i have really bad chest pain today
12	en	ru	 and is this the right time for your hay fever 	и соответствует ли это время проявлению сенной лихорадки, которой вы подвержены	and whether this time corresponds to the manifestation of hay fever, to which you are prone
13	en	ru	 and it get the chest pain 	и возникает боль в грудной клетке	and chest pain
14	en	ru	 and i think i have a little bit of a fever 	и я думаю, что у меня немного поднялась температура	and i think i got a little fever
15	en	ru	 and i want you to describe where the chest pain is 	и я хочу, чтобы вы описали, в каком месте грудной клетки вы испытываете боль	and I want you to describe where in your chest you are experiencing pain
16	en	ru	 and they're having some fevers as well 	и у них также немного повышенная температура	and they also have a slightly elevated temperature
17	en	ru	 and with your history of diabetes 	и с вашей историей диабета	and with your history of diabetes
