	sourceLang	targetLang	F1_rescaled	precision_rescaled	recall_rescaled	F1	precision	recall
0	fa	en	0.7428154349327087	0.7287040948867798	0.7572981715202332	0.9565938711166382	0.9542881846427917	0.9591033458709717
1	ps	en	0.7228913307189941	0.7183972597122192	0.7276731133460999	0.953231155872345	0.9525516033172607	0.9541113376617432
2	es-419	en	0.8191400766372681	0.8030123114585876	0.8358152508735657	0.9694754481315613	0.9668087363243103	0.9723339080810547
3	om	en	0.6476618647575378	0.6497659683227539	0.6453548073768616	0.9405343532562256	0.9409875869750977	0.940240204334259
4	zu	en	0.7738174200057983	0.7640411853790283	0.784013032913208	0.9618262052536011	0.9602423310279846	0.9636049270629883
5	ms	en	0.8341948986053467	0.8235892057418823	0.845425009727478	0.9720163941383362	0.9702757596969604	0.9739532470703125
6	so	en	0.3945390284061432	0.38968050479888916	0.39986419677734375	0.8978137373924255	0.8971647024154663	0.8988735675811768
7	sw	en	0.7564027905464172	0.7472217679023743	0.7659794092178345	0.9588870406150818	0.9574083089828491	0.9605661630630493
8	ru	en	0.72910076379776	0.7105928063392639	0.7479925751686096	0.9542791843414307	0.9512364864349365	0.9575352668762207
9	ckb	en	0.6651045680046082	0.6683446168899536	0.6619204878807068	0.9434782862663269	0.9441180229187012	0.9430316686630249
10	ne	en	0.8087161779403687	0.8004554510116577	0.8175395131111145	0.9677162170410156	0.966377854347229	0.9692543745040894
11	id	en	0.8114097714424133	0.7998970150947571	0.823380172252655	0.9681708216667175	0.9662838578224182	0.9702385067939758
12	ar	en	0.7700785398483276	0.7547460794448853	0.7859287261962891	0.961195170879364	0.9586760997772217	0.9639276266098022
13	ur	en	0.7348843216896057	0.7255493402481079	0.7446717023849487	0.9552553296089172	0.9537566900253296	0.9569756388664246
14	bn	en	0.7878265380859375	0.7768361568450928	0.7992962002754211	0.9641906023025513	0.9623981714248657	0.9661802053451538
15	my	en	0.6788086891174316	0.6660764813423157	0.6917709708213806	0.9457912445068359	0.9437358379364014	0.9480615854263306
16	ha	en	0.671886682510376	0.6701765656471252	0.6737232804298401	0.9446229934692383	0.9444266557693481	0.9450204372406006
17	ta	en	0.7082679867744446	0.6878531575202942	0.7292575240135193	0.9507631063461304	0.9474051594734192	0.9543782472610474
18	am	en	0.6915016770362854	0.6874994039535522	0.6958993673324585	0.9479334354400635	0.947345495223999	0.9487572312355042
19	mr	en	0.7487478256225586	0.741594135761261	0.7563141584396362	0.9575951099395752	0.9564600586891174	0.9589374661445618
20	pt-BR	en	0.8248252868652344	0.810224175453186	0.8402112722396851	0.9704350233078003	0.9680238962173462	0.9730746746063232
21	fr	en	0.6929826736450195	0.6873475313186646	0.6989111304283142	0.9481833577156067	0.9473198652267456	0.9492647647857666
22	km	en	0.6976104974746704	0.6948323845863342	0.700517475605011	0.9489644169807434	0.9485810995101929	0.9495354294776917
23	zh	en	0.7270804047584534	0.7141372561454773	0.7405608296394348	0.9539382457733154	0.9518337845802307	0.9562830328941345
24	hi	en	0.8166095614433289	0.8040997982025146	0.8297680616378784	0.9690484404563904	0.9669919610023499	0.9713149070739746
25	ti-er	en	0.6006405353546143	0.6013375520706177	0.5998570919036865	0.932598352432251	0.9328276515007019	0.9325736165046692
26	ln	en	0.607528030872345	0.6083819270133972	0.60686194896698	0.9337608814239502	0.9340146780014038	0.9337539672851562
27	ti	en	0.6667631268501282	0.6686403155326843	0.6649033427238464	0.9437581300735474	0.9441678524017334	0.943534255027771
