	Unnamed: 0	targetLang	system score
0	0	fa	0.8836195670423054
1	1	ps	0.8630652460597811
2	2	es-LA	0.8961729633382388
3	3	ms	0.9032403551893576
4	4	so	0.6831285472569012
5	5	ru	0.8633156869525002
6	6	ne	0.9162142523129782
7	7	id	0.9032336008832568
8	8	ar	0.877700355223247
9	9	ur	0.8770225825125263
10	10	bn	0.9046068381127856
11	11	am	0.8690572637887228
12	12	mr	0.8858435864391782
13	13	pt-BR	0.9001715790373939
14	14	fr	0.8333083665796689
15	15	zh	0.8755387322675614
16	16	hi	0.9094133565539404
0	0	sw	0.8587830856442451
