	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	so	about how long have these symptoms been going on?	muddo intee dhan ayay calaamadahan socdeen?	How long have these symptoms lasted?
1	en	so	and all chest pain should be treated this way especially with your age	dhamaan feera xanuunka waa in loo daweeyo sidan gaar ahaan da'daada oo kale	All arthritis should be treated this way, especially at your age
2	en	so	and along with a fever	iyo ay weheliso qandho	along with fever
3	en	so	and also needs to be checked your cholesterol blood pressure	sidoo kale waxaad u baahanyahay in lagaa hubiyo kolesteroolka dhiig karka	You also need to be checked for high blood cholesterol
4	en	so	and are you having a fever now?	hadda qandho miyaad leedahay?	do you have a fever now?
5	en	so	and are you having this chest pain now?	miyaad leedahay feera xanuunkan hadda?	Do you have rib pain now?
6	en	so	and besides do you have difficulty breathing	intaa ka sokow dhib maku qabtaa neefsashada	Besides, I have no problem breathing
7	en	so	and can you tell me what other symptoms are you having along with this?	oo ma ii sheegi kartaa calaamadaha kale ee aad la leedahay tan?	And can you tell me what other symptoms you have with this?
8	en	so	and how high has your fever been	siday ahayd qandhadaada	how was your fever
9	en	so	and i have a cough too	waxaan leeyahay qufac sidoo kale	I have a cough too
10	en	so	and i have a little cold and a cough	waxaan leeyahay xoggaa hargab ah iyo qufac	I have a cold and cough
11	en	so	and i'm really having some bad chest pain today	runtiina maanta waxaan leeyahay xoogaa feera xanuun ba'an	I actually have some severe rib pain today
12	en	so	and is this the right time for your hay fever	waa waqtigii ugu haboonaa ee samboorkaaga	it&#39;s the perfect time for your sambo
13	en	so	and it get the chest pain	oo xanuun feeraha ah ayaa ku dhacay	and he got a rib pain
14	en	so	and i think i have a little bit of a fever	waxaan u malaynayaa in aan leeyahay wax yar oo qandha ah	I think I have a little fever
15	en	so	and i want you to describe where the chest pain is	waxaan rabaa in aad qeexdo mesha feeraha ka xanuunayaan	I want you to describe where the ribs hurt
16	en	so	and they're having some fevers as well	sidoo kale waxay leeyihiin xoggaa qandhaha sidoo kale	They also have information about fever as well
17	en	so	and with your history of diabetes	iyo la jiranka taariikhdaada sokorawga ah	and your history of diabetes
18	en	so	and you know it feels like my chest is like gonna crush	waad ogtahay waxaan dareemaa sidii in ay laabtu i dilaacayso	You know I feel like my chest is going to explode
19	en	so	and you know people cough on me all the time	waad ogtahay dadka way igu qufacaan xilli kasta	you know people cough on me all the time
20	en	so	and you're having chest pain	ma waxaad leedahay feera xanuun	Do you have rib pain?
21	en	so	and you said this is a pressure in your chest	waxaad na dhahdey waxaa ku leedahay cadaadis laabtaada	You told us you have chest compressions
22	en	so	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	qof kasta oo qoyska kamid oo qaba wadne xanuun cudduradda wadnaha dhibatooyin wadnaha ah kolesterool sare dhiig karka oo sare	Anyone in the family with heart disease, coronary artery disease, heart problems, high cholesterol, high blood pressure
23	en	so	any other symptoms or problems that you notice with the muscle aches?	calaamado ama dhibaatooyin kale oo aad ku aragto muruq xanuunka?	What other symptoms or problems do you experience with muscle pain?
24	en	so	are there other people sick as you at home with your same symptoms?	majiraan dad kale oo u xanuunsan sidaada oo kale oo gurigaaga kula joogo oo leh calaamadahaaga oo kale?	Are there other sick people in your home with the same symptoms as you?
25	en	so	are you having any other symptoms?	miyaad leedahay wax calaamado oo kale?	Do you have any other symptoms?
26	en	so	are you having any shortness of breath?	miyaad leedahay wax neefshada oo yaraata ah?	Do you have shortness of breath?
27	en	so	are you still having the chest pain	wali miyaad leedahay xanuunkii feeraha	Do you still have the rib pain?
28	en	so	because this is flu season	sababtoo ah waa xilli hargabeed	because it&#39;s flu season
29	en	so	but also we shouldn't be put aside for the heart cardiac origin chest pain	lakiin sidoo kale waa in aan dhinac iska dhigin laab xanuun  ka dhashay wadna xanuunka	But we should also not put aside chest pain caused by heart attack
30	en	so	but a more important problem now is this chest pain	lakiin dhibaato kale oo aad uga muhiimsan hadda waa feedha xanuunkan	But another more important problem now is chest pain
31	en	so	but i have difficulty breathing	lakiin waxaan dhibaato ku qabaa neefshadada	But I have trouble breathing
32	en	so	but i know lot of people cough on me	lakiin waan ogahay dad badan ayaa igu qufucay	But I know many people have laughed at me
33	en	so	but we need to treat every chest pain with the utmost seriousness	lakiin waxaa la inooga baahanyahay in aan udaawayno feedha xanuun kasta daacadnimo midii ugu saraysay	But we need to treat every pain with the utmost sincerity
34	en	so	but you're breathing all right right now right?	lakiin si fiican ayaad u neefsanaysaa hadda sax?	But you&#39;re breathing better now, right?
35	en	so	cause of this chest pain i totally forgot	feedha xanuunkan sababtiis gabi ahaanba waan hilmaamay	Because of this pain in my chest I completely forgot
36	en	so	does it feel like somebody squeezing your chest	miyay dareentaa sidii qof ku hindhisaya laabtaada	Does it feel like someone is sneezing on your chest?
37	en	so	do still feel like shortness of breath	wali dareema sidii in ay neefsashadu ku yartahay	still feels short of breath
38	en	so	do they complain of being sick similar symptoms?	miyay ka cabtaan in ay la xanuunsanyihiin calaamadaha la midka ah?	Do they complain that they are suffering from similar symptoms?
39	en	so	do you have any other chronic like high blood pressure or anything like that?	miyaad leedahay wax xanuun daba-dheeraday oo kale  sida dhiig kar ama wax k?kasta oo kale oo la mid ah	Do you have any chronic conditions such as high blood pressure or anything else like that?
40	en	so	do you have any other diseases chronic medical problems like diabetes?	miyaad qabtaa wax xanuun kale ah oo dhibaatadiisa daaweynd daba-dheeratay  sida skorow?	Do you have any other chronic medical problems such as scrofula?
41	en	so	do you have any shortness of breath with that chest pain?	miyaad qabtaa wax neefsasho la'aan ah la jiranka feedha xanuunkaas?	Do you have any shortness of breath with chest pain?
42	en	so	do you have high blood pressure?	miyaad qabtaa dhiig kar?	do you have high blood pressure?
43	en	so	do you have some shortness of breath goes with that?	miyaad leedahay neefsasho yaraan oo taas la socota?	Do you have shortness of breath with it?
44	en	so	do you know what symptoms she was having?	miyaad ogtahay waxa ay tahay calaamadaha ay qabtay?	Do you know what the signs are?
45	en	so	do you see the image?	ma aragtaa muqaalka?	do you see the video?
46	en	so	drink plenty of fluids today	cab dareere badan maanta	drink plenty of fluids today
47	en	so	however i take tests for the diabetes	si kasta ha ahaate waxaan qaadani baadhitaanada sokorow	However, we do not take diabetes tests
48	en	so	however she has symptoms quite similar to mine	si kasta ha ahaate waxay leedahay calaamado la mid ah xoggaa kuwayga	anyway it has the same symptoms as your data and mine
49	en	so	how high is your fever?	intee  in dhan ayay qandhadaada saraysaa?	How high is your fever?
50	en	so	how' s your blood pressure?	waa sidee dhiig karkaaga?	how is your blood pressure?
51	en	so	if you continue to have high fevers	haddii ay sii socoto in aad qabto qandho sareysa	if you continue to have a high fever
52	en	so	if you have a fever of a hundred and two or higher	haddii aad qabto qandho ah boqol iyo labo ama ka kore	if you have a fever of one hundred and two or above
53	en	so	if you think that your symptoms or problems warrant a better look	haddii aad u malayso in ay calaamadahaaga ama dhibaatooyinkaaga mudanyihiin fiiro gaar ah	if you think that your symptoms or problems deserve special attention
54	en	so	i got a fever yesterday	shalay qandho ayaan lahaa	I had a fever yesterday
