	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	sw	about how long have these symptoms been going on?	je, dalili hizi zimekuwa zikiendelea kwa takriban muda gani sasa?	approximately how long have these symptoms been going on now?
1	en	sw	and all chest pain should be treated this way especially with your age	na maumivu ya kifua yanapaswa kutibiwa hivi hasa umri wako ukizingatiwa	and chest pain should be treated like this, especially considering your age
2	en	sw	and along with a fever	pamoja na joto jingi mwilini	with a lot of heat in the body
3	en	sw	and also needs to be checked your cholesterol blood pressure	na pia kiwango chako cha kolesteroli na shinikizo la damu linapaswa kupimwa	and also your cholesterol level and blood pressure should be checked
4	en	sw	and are you having a fever now?	na je, una joto jingi mwilini sasa?	and are you hot now?
5	en	sw	and are you having this chest pain now?	na je, una maumivu haya ya kifua sasa?	and do you have this chest pain now?
6	en	sw	and besides do you have difficulty breathing	kando na hayo, je una matatizo ya kupumua	besides that, do you have breathing problems?
7	en	sw	and can you tell me what other symptoms are you having along with this?	na unaweza kuniambia ni dalili zipi zingine ulizo nazo pamoja na hizi?	and can you tell me what other symptoms you have besides these?
8	en	sw	and how high has your fever been	na umekuwa na joto jingi mwilini lililo kali kiasi gani	and how severe a fever you have had
9	en	sw	and i have a cough too	na nina kikohozi pia	and I have a cough too
10	en	sw	and i have a little cold and a cough	ninahisi mafua kidogo na kikohozi	I feel a little cold and cough
11	en	sw	and i'm really having some bad chest pain today	na nina maumivu mabaya sana ya kifua leo	and I have a really bad chest pain today
12	en	sw	and is this the right time for your hay fever	na huu ndio wakati mwafaka wa homa yako ya mzio	and this is the perfect time for your allergic fever
13	en	sw	and it get the chest pain	na ninapata maumivu ya kifua	and I get chest pain
14	en	sw	and i think i have a little bit of a fever	na ninafikiri nina joto mwilini kiasi	and I think I&#39;m quite warm
15	en	sw	and i want you to describe where the chest pain is	na ninataka ufafanue mahali ambapo pana maumivu ya kifua	and I want you to describe where the chest pain is
16	en	sw	and they're having some fevers as well	na ana joto mwilini pia	and he has body heat too
17	en	sw	and with your history of diabetes	na kwa historia yako ya kisukari	and for your history of diabetes
18	en	sw	and you know it feels like my chest is like gonna crush	na unajua ninahisi kana kwamba kifua changu kitapasuka	and you know I feel as if my chest would burst
19	en	sw	and you know people cough on me all the time	na unafahamu kuwa watu hunikoholea kila wakati	and you know that people yell at me all the time
20	en	sw	and you're having chest pain	na una maumivu ya kifua	and you have chest pain
21	en	sw	and you said this is a pressure in your chest	na ulisema kwamba hili ni shinikizo kwenye kifua chako	and you said that this is pressure on your chest
22	en	sw	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	mtu yeyote katika familia ana tatizo la moyo, ugongwa wa moyo,mshtuko wa moyo, kiwango cha juu cha kolesteroli, shinikizo la damu	anyone in the family has a heart problem, heart attack, heart attack, high cholesterol, blood pressure
23	en	sw	any other symptoms or problems that you notice with the muscle aches?	kuna dalili zozote zingine au matatizo unayoona pamoja kwa maumivu ya misuli?	Are there any other symptoms or problems you are seeing along with the muscle pain?
24	en	sw	are there other people sick as you at home with your same symptoms?	je, kuna watu wengine ambao ni wagonjwa kama wewe walio nyumbani na dalili sawa na zako?	are there other people who are sick like you at home with the same symptoms as you?
25	en	sw	are you having any other symptoms?	je, una dalili zozote zingine?	do you have any other symptoms?
26	en	sw	are you having any shortness of breath?	je, unahisi kukatika kwa pumzi?	do you feel short of breath?
27	en	sw	are you still having the chest pain	je, bado una maumivu ya kifua	Do you still have chest pain?
28	en	sw	because this is flu season	kwa sababu huu ni msimu wa homa ya mafua	because this is flu season
29	en	sw	but also we shouldn't be put aside for the heart cardiac origin chest pain	lakini pia hatupaswi kutengwa kwa ajili ya maumivu ya kifua yanayotokana na mshtuk wa moyo	but we should also not be excluded for chest pain caused by a heart attack
30	en	sw	but a more important problem now is this chest pain	lakini tatizo muhimu zaidi sasa ni maumivu haya ya kifua	but the most important problem now is this chest pain
31	en	sw	but i have difficulty breathing	lakini ni ugumu wa kupumua	but it is difficult to breathe
32	en	sw	but i know lot of people cough on me	lakini ninajua watu wengi kuhokoa kwangu	but I know a lot of people who cough to me
33	en	sw	but we need to treat every chest pain with the utmost seriousness	lakini tunapaswa kuchukulia kila maumivu ya kifua kwa umakini mkubwa	but we should take every chest pain very seriously
34	en	sw	but you're breathing all right right now right?	lakini kwa sasa unapumua vizuri kabisa sio?	but right now you&#39;re breathing very well, aren&#39;t you?
35	en	sw	cause of this chest pain i totally forgot	nimesahau kabisa kilichosababisha maumivu haya ya kifua	I have completely forgotten what caused this chest pain
36	en	sw	does it feel like somebody squeezing your chest	je, unahisi kana kwamba mtu anakama kifua chako	Do you feel as if someone is squeezing your chest?
37	en	sw	do still feel like shortness of breath	je bado unahisi kukatika pumzi	do you still feel short of breath?
