	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ta	 about how long have these symptoms been going on? 	இந்த அறிகுறிகள் எவ்வளவு காலமாக இருந்து வருகின்றன?	How long have these symptoms been present?
1	en	ta	 and all chest pain should be treated this way especially with your age 	அனைத்து மார்பு வலிகளுக்கும் இந்த வழியில் தான் சிகிச்சை அளிக்கப்பட வேண்டும், குறிப்பாக உங்கள் வயதில்	All chest pains should be treated this way, especially at your age
2	en	ta	 and along with a fever 	மேலும், காய்ச்சலுடன்	Also, with fever
3	en	ta	 and also needs to be checked your cholesterol blood pressure 	உங்கள் இரத்தக் கொழுப்பும், இரத்த அழுத்தமும் சோதிக்கப்பட வேண்டும்	Your blood cholesterol and blood pressure should be checked
4	en	ta	 and are you having a fever now? 	மேலும், உங்களுக்கு தற்போது காய்ச்சல் உள்ளதா?	Also, do you currently have a fever?
5	en	ta	 and are you having this chest pain now? 	மேலும், உங்களுக்கு தற்போது மார்பு வலி உள்ளதா?	Also, do you currently have chest pain?
6	en	ta	 and besides do you have difficulty breathing 	மேலும் இதைத் தவிர உங்களுக்கு மூச்சு விடுவதில் சிரமம் உள்ளதா	And apart from this do you have difficulty in breathing?
7	en	ta	 and can you tell me what other symptoms are you having along with this? 	மேலும் இதனுடன் சேர்ந்து உங்களுக்கு வேறு என்ன அறிகுறிகள் தென்படுகின்றன என்று என்னிடம் நீங்கள் சொல்ல முடியுமா?	And can you tell me what other symptoms you are experiencing along with this?
8	en	ta	 and how high has your fever been 	மேலும், உங்கள் காய்ச்சல் எந்தளவு அதிகமாக இருந்து வருகிறது	Also, how high is your fever?
9	en	ta	 and i have a cough too 	மேலும், எனக்கு இருமலும் உள்ளது	Also, I have a cough
10	en	ta	 and i have a little cold and a cough 	மேலும், எனக்கு மிதமான சளி மற்றும் இருமல் உள்ளது	Also, I have a mild cold and cough
11	en	ta	 and i'm really having some bad chest pain today 	மேலும், எனக்கு இன்று கொஞ்சம் மோசமாகவே மார்பு வலி உள்ளது	Also, I have a bit of a bad chest pain today
12	en	ta	 and is this the right time for your hay fever 	இது உங்களுக்கு தூசியால் வரும் சளிக்காய்ச்சல் ஏற்படக்கூடிய நேரமா	Is this the time when you might get a cold from dust?
13	en	ta	 and it get the chest pain 	மேலும், மார்பு வலி வருகிறது	Also, chest pain is coming
14	en	ta	 and i think i have a little bit of a fever 	மேலும், எனக்கு மிதமான காய்ச்சல் இருப்பதாக நான் நினைக்கிறேன்	Also, I think I have a mild fever
15	en	ta	 and i want you to describe where the chest pain is 	மேலும், மார்பு வலி எங்கே ஏற்படுகிறது என்பதையும் என்னிடம் நீங்கள் விவரிக்க வேண்டும்	Also, you should describe to me where the chest pain occurs
16	en	ta	 and they're having some fevers as well 	மேலும், அவர்களுக்கு சிறிது காய்ச்சலும் உள்ளது	Also, they have a slight fever
17	en	ta	 and with your history of diabetes 	மற்றும், உங்களுடைய நீரிழிவு நோய் வரலாற்றுடன்	And, with your history of diabetes
18	en	ta	 and you know it feels like my chest is like gonna crush 	மேலும், என் மார்பே நொறுங்கப் போவது போல உணர்வேன் என்பது உங்களுக்குத் தெரியும்	And you know my chest feels like it&#39;s going to collapse
19	en	ta	 and you know people cough on me all the time 	அத்தோடு, உங்களுக்கே தெரியும், எல்லா நேரங்களிலும் மக்கள் என் மீது இருமுகிறார்கள்	Also, you know, people cough on me all the time
