	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ti-er	 about how long have these symptoms been going on? 	እዞም ምልክታት ካብ መዓስ ጀሚሮም ይቅጽሉ ኣለዉ፥	Since when have these symptoms continued:
1	en	ti-er	 and all chest pain should be treated this way especially with your age 	ከምኡ’ውን ኩሉ ናይ ኣፍልቢ ቃንዛታት በዚ መንገዲ ክሕከም/ክንክን ክረክብ ኣለዎ፡ ኣብ ናትካ ክሊ ዕድመ	And all chest pains should be treated this way, in your age range
2	en	ti-er	 and along with a fever 	ከምኡ’ውን ምስ ረስኒ	and with a cough
3	en	ti-er	 and also needs to be checked your cholesterol blood pressure 	ከምኡ’ውን ናይ ኮለስትሮል ጸቅጢ ደምካ ክትምርመር የድልየካ ኢዩ	You also need to have your blood cholesterol checked
4	en	ti-er	 and are you having a fever now? 	ከምኡ’ውን ሕጂ ረስኒ ኣለካ ዲዩ፥	And do you have a fever now,
5	en	ti-er	 and are you having this chest pain now? 	ከምኡ’ውን ሕጂ እዚ ናይ ኣፍልቢ ቃንዛ ኣሎካ ዲዩ፥	And do you have this chest pain now,
6	en	ti-er	 and besides do you have difficulty breathing 	ጎኒ ጎኒ ድማ ዝኾነ ጸገም ናይ ምስትንፋስ ኣሎካ ዲዩ፥	Alongside, do you have any breathing problems,
7	en	ti-er	 and can you tell me what other symptoms are you having along with this? 	ምስዚ ዝተሓሓዝ ካእ እንታይ ምልክታት ከም ዘሎካ ምነገርካኒዶ፥	Would you tell me what symptoms you have related to this:
8	en	ti-er	 and how high has your fever been 	ከምኡ’ውን ክሳብ ክንደይ ኢዩ ረስንኻ ልዕሉ ኔሩ፥	And how high your fever was,
9	en	ti-er	 and i have a cough too 	ከምኡ’ውን ሰዓል/ጉንፋዕ ኣሎኒ	And I have a cold/flu
10	en	ti-er	 and i have a little cold and a cough 	ከምኡ’ውን ቁሩብ ዛሕሊ ይስመዓኒ ኣሎ፡ ሰዓል`ውን ኣሎኒ	I`m also feeling a little cold, and I have a fever
11	en	ti-er	 and i'm really having some bad chest pain today 	ከምኡ’ውን፡ ሎሚ ብሓቂ፡ ሕማቅ ናይ ኣፍልቢ ቃንዛ ኣሎኒ	And, today actually, I have a bad chest pain
12	en	ti-er	 and is this the right time for your hay fever 	ኸምኡውን እዚ ግዜ ነቲ ናይ ሃይ ረስኒኻ ቅኑዕ ግዜ ዲዩ	And is this the right time for your high fever
13	en	ti-er	 and it get the chest pain 	ከምኡ’ውን ነቲ ናይ ኣፍልቢ ቃንዛ ይትንክፍ	It also touches on the chest pain
14	en	ti-er	 and i think i have a little bit of a fever 	ከምኡ’ውን ኩሩብ ረስኒ ዘሎኒ ኮይኑ ይስመዓኒ ኣሎ	I also feel like I have a little fever
15	en	ti-er	 and i want you to describe where the chest pain is 	እቲ ናይ ኣፍልቢ ቃንዛ ኣበይ ይስመዓካ ከም ዘሎ ክትገልጸለይ ምደለኹ	I would like you to explain where you are experiencing the chest pain
16	en	ti-er	 and they're having some fevers as well 	ከምኡ’ውን፡ ንሳቶም ረስኒ ኣለዎም	And, they&#39;re itchy
17	en	ti-er	 and with your history of diabetes 	ከምኡ’ውን ምስቲ ናይ ሕማም ሽኮር ታሪኽካ	And with your diabetes history
18	en	ti-er	 and you know it feels like my chest is like gonna crush 	ኣፍልበይ ክስበር ክመስል ከምዝስመዓኒ ትፈልጥ ፈሊጥካ ኣለኻ	You know I feel like my chest is going to break, you know
19	en	ti-er	 and you know people cough on me all the time 	ትፈልጥ ኢካ ሰባት ኣባይ ኩሉ ግዜ ከም ዝስዕሉ	You know people draw on me all the time
20	en	ti-er	 and you're having chest pain 	ከምኡ’ውን ናይ ኣፍልቢ ቃንዛ ኣሎካ	And you have chest pain
21	en	ti-er	 and you said this is a pressure in your chest 	እዚ ትብሎ ዘለኻ ኣብ ኣፍልብኻ ዘሎ ጸቕጢ ኢዩ	This is the pressure in your chest
22	en	ti-er	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	ካብዞም ኣባላት ስድራቤት ዝኾነ፡ ናይ ልቢ ጸገም፡ መጥቃዕቲ ልቢ፡ ልዑል ኮለስትሮል፡ ልዑል ጸቅጢ ደም ፡ ጸገም ዘለዎ ኣለኩም ዲዩ	Do you have any of these family members with heart problems, heart attacks, high cholesterol, high blood pressure
23	en	ti-er	 any other symptoms or problems that you notice with the muscle aches? 	ዝኾነ ካልእ ቃንዛ ወይ ጸገማት ምስቲ ናይ ጭዋዳ ቃንዛ ዘስተውዓልካዮ ኣሎ ዲዩ፥	Are there any other pains or problems you have noticed with the muscle pain:
24	en	ti-er	 are there other people sick as you at home with your same symptoms? 	ካልኦት ልክዕ ከምዚ ናትካ ሕማም ዝሓመሙ ሰባት ኣብ ገዛኻ ኣለዉዶ	Are there other people in your household who have the same illness as you?
25	en	ti-er	 are you having any other symptoms? 	ዝኾነ ካልእ ምልክታት ኣሎካዶ፥	Do you have any other symptoms:
26	en	ti-er	 are you having any shortness of breath? 	ዝኾነ ሕጽረት ምስትንፋስ ኣሎካ ዲዩ፥	Do you have any shortness of breath:
27	en	ti-er	 are you still having the chest pain 	እቲ ቃንዛ ኣብ ኣፍልብካ ክሳብ ሕጂ ኣሎካ ዲዩ	Do you still have the pain in your chest
28	en	ti-er	 because this is flu season 	ምኽንያት ናይ ሰዓል/ጉንፋዕ ወቅቲ ስለ ዝኾነ	Because it is cold/flu season
29	en	ti-er	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	ግን፡ ካብቲ ኣብ ኣፍ ልቢ ዘሎ መበሲ ናይ ልቢ ቃንዛ ክንእለ ኣይንኽእልን ኢና።	But, we cannot get rid of the source of heartache in the mouth of the heart.
30	en	ti-er	 but a more important problem now is this chest pain 	እንተኾነ፡ ሕጂ እቲ ቀንዲ ጸገም ናይ ኣፍልቢ ቃንዛ ኢዩ	However, the main problem now is chest pain
31	en	ti-er	 but i have difficulty breathing 	እንተኾነ ኣብ ምስትንፋስ ጸገማት ኣሎኒ	However, I have problems breathing
32	en	ti-er	 but i know lot of people cough on me 	እንተኾነ ብዙሓት ሰባት ናባይ ገጾም ከም ዝሰዓሉ ይፈልጥ ኢየ	But I know that many people have turned to me
33	en	ti-er	 but we need to treat every chest pain with the utmost seriousness 	እንተኾነ ን ነፍሲ ወከፍ ናይ ኣፍልቢ ቃንዛ ኣተኪርና ክንሕዞ ኣሎና	However, we must pay attention to each chest pain
34	en	ti-er	 but you're breathing all right right now right? 	እንተኾነ ግን ሕጂ ጽቡቕ ተስተንፍስ ኣሎኻ ሓቀይ	However, you are breathing well now, right
35	en	ti-er	 'cause of this chest pain i totally forgot 	ብሰንኪ እዚ ናይ ኣፍልቢ ቃንዛ ሙሉእ ብሙሉእ ረሲዐይ	Because of this chest pain, I completely forgot
36	en	ti-er	 does it feel like somebody squeezing your chest 	ከምዚ ሰብ ኣፍልብኻ ዝጸቕጠካ ዘሎ ኮይኑዶ ይስመዓካ ኣሎ፥	Do you feel like someone is pressing your chest,
37	en	ti-er	 do still feel like shortness of breath 	ዝኾነ ሕጽረት ምስትንፋስ ይስመዓካ ኣሎ ዲዩ፥	Are you feeling any shortness of breath:
38	en	ti-er	 do they complain of being sick similar symptoms? 	ሓደ ዓይነት ዝምልክቱ ሕማም ምሕማሞም ኣዕዘምዚሞም ዲዮም፥	Have they complained of having the same symptoms:
39	en	ti-er	 do you have any other chronic like high blood pressure or anything like that? 	ዝኾነ ሕዱር ሕማም ከም ልዑል ጻቕጢ ደም ወይ ንዕኡ ዝመሳሰል፡ ኣሎካ ዲዩ፥	Do you have any chronic illnesses such as high blood pressure or similar:
40	en	ti-er	 do you have any other diseases chronic medical problems like diabetes? 	ስለዚ ዝኾነ ካልእ ዓይነት ነዊሕ ዝቅጽል ሕማም ፡ከም ሕማም ሽኮር፡ ኣሎካ ዲዩ፥	So do you have any other type of chronic disease ,like diabetes,
41	en	ti-er	 do you have any shortness of breath with that chest pain? 	ምስዚ ናይ ኣፍልቢ ቃንዛ ዝኾነ ሕጽረት ምስትንፋስ ኣሎካ ዲዩ፥	Do you have any shortness of breath with this chest pain:
42	en	ti-er	 do you have high blood pressure? 	ልዑል ጸቕጢ ደም ኣሎካ ዲዩ፥	Do you have high blood pressure:
43	en	ti-er	 do you have some shortness of breath goes with that? 	ምስዚ ዝኸይድ ሕጽረት ምስትንፋስ ኣሎካ ዲዩ፥	Do you have shortness of breath that goes with this:
44	en	ti-er	 do you know what symptoms she was having? 	እንታይ ዓይነት ምልክታት ከም ዘለዋ ፈሊጥካ ዲኻ፥	Do you know what the symptoms are:
