	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ti	 about how long have these symptoms been going on? 	 እዞም ምልክታት ካብ ዝጅምሩ ክንደይ ጊዜ ኮይኑዎም? 	How long have these symptoms been on?
1	en	ti	 and all chest pain should be treated this way especially with your age 	 ኩሉ ዓይነት ናይ ደረት ቃንዛ ብኸምዚ ዓይነቱ እዩ ክሕከም ዝግብኦ፣ ብተለይ ብናትካ/ኪ ዕድመ 	This is how all types of chest pain should be treated, especially at your age
2	en	ti	 and along with a fever 	 ምስ ረስኒ ብሓደ 	together with fever
3	en	ti	 and also needs to be checked your cholesterol blood pressure 	 ብተወሳኺ ናይ ኮሌስትሮልካን ናይ ደም ጸቕጢኻን እውን ክልካዕ ኣለዎ 	Your cholesterol and blood pressure should also be measured
4	en	ti	 and are you having a fever now? 	 ሐዚ ረስኒ ኣለካ/ኪ ዶ? 	Do you have a fever now?
5	en	ti	 and are you having this chest pain now? 	 እሞ ሐዚ እዚ ናይ ደረት ቃንዛ ኸ ይስመዓካ/ኪ ዶ ኣሎ? 	So are you feeling this chest pain now?
6	en	ti	 and besides do you have difficulty breathing 	 ብተወሳኺ ናይ ምትንፋስ ጸገም ከ ኣለካ/ኪ ዶ? 	Do you also have breathing problems?
7	en	ti	 and can you tell me what other symptoms are you having along with this? 	 እሞ ምስ እዚ ካላኦት እተርእዮም ምልክታት እንተሃልዮም ዶ ክትነግረኒ/ርኒ? 	So can you tell me/me if there are any other symptoms you show with this?
8	en	ti	 and how high has your fever been 	 እቲ ረስኒኻ/ኺ ኸ ክሳብ ክንደይ ከይዱ ነይሩ 	How far had your cough gone?
9	en	ti	 and i have a cough too 	 ስዓል እውን ኣለኒ 	I also have a cough
10	en	ti	 and i have a little cold and a cough 	 ንእሽተይ ጉንፋዕን ሰዓልን እውን ኣለኒ 	I also have a little flu and a cold
11	en	ti	 and i'm really having some bad chest pain today 	 ሎሚ ብጣዕሚ ሓያል ናይ ደረት ቃንዛ እውን ይስመዓኒ ኣሎ 	I am also experiencing very strong chest pain today
12	en	ti	 and is this the right time for your hay fever 	 እሞ ሐዚ እዚ ን ናይ ሃይ ረስኒኻ ትኽክለኛ ጊዜ ድዩ 	So now is this the right time for your high fever
13	en	ti	 and it get the chest pain 	 ካብኡ ናይ ደረት ቃንዛ ረኸበ 	He got chest pain from it
14	en	ti	 and i think i have a little bit of a fever 	 ንእሽተይ ረስኒ ዘለኒ እውን ይመስለኒ 	I also think I have a little nausea
15	en	ti	 and i want you to describe where the chest pain is 	 እቲ ናይ ደረት ቃንዛ ኣበይ ከምዘሎ እውን ክትገልጸለይ/ጽለይ ይድሊ እዬ 	I also need you to explain/pray for me where the chest pain is
16	en	ti	 and they're having some fevers as well 	 ንሳቶም እውን ዝተወሰነ ረስኒ ኣለዎም 	They have a certain rust too
17	en	ti	 and with your history of diabetes 	 ምስ ናይ ሽኮርያ ታሪኽካ/ኪ እውን 	Also with your diabetes history
18	en	ti	 and you know it feels like my chest is like gonna crush 	 ትፈልጥ ዲኻ ደረተይ ክፍንድእ ዝበለ ዓይነት ኮይኑ እዩ ዝስመዓኒ 	You know, I kind of feel like my chest is going to explode
19	en	ti	 and you know people cough on me all the time 	 ሰባት ኩልሻብ ከምዝስዕሉለይ ትፈልጥ ኢኻ/ኺ 	You know that people draw me all the time
20	en	ti	 and you're having chest pain 	 ናይ ደረት ቃንዛ እውን ኣልካ/ኪ 	You also have chest pain
21	en	ti	 and you said this is a pressure in your chest 	 እዚ ጸቕጢ ኣብ ደረት እዩ ኢልካ ኣለኻ/ኺ 	You have said that this pressure is at the limit
