	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ur	about how long have these symptoms been going on?	یہ علامات کتنے عرصے سے جاری ہیں؟	How long have these symptoms been going on?
1	en	ur	and all chest pain should be treated this way especially with your age	اور سینے کی تمام تکالیف کا ایسے ہی علاج ہونا چاہیے خاص طور پر آپ کی عمر میں	And all chest pains should be treated like this, especially at your age
2	en	ur	and along with a fever	اور بخار کے ساتھ	And with fever
3	en	ur	and also needs to be checked your cholesterol blood pressure	اور آپ کا کولیسٹرول بلڈ پریشر چیک کرنے کی بھی ضرورت ہے	And also need to check your cholesterol blood pressure
4	en	ur	and are you having a fever now?	اور کیا آپ کو اب بھی بخار ہو رہا ہے؟	And do you still have a fever?
5	en	ur	and are you having this chest pain now?	اور کیا آپ کو اب سینے میں یہ درد ہو رہا ہے؟	And are you having this chest pain now?
6	en	ur	and besides do you have difficulty breathing	اور اس کے علاوہ بھی آپ کو سانس لینے میں مشکل ہوتی ہے	And also you find it difficult to breathe
7	en	ur	and can you tell me what other symptoms are you having along with this?	اور کیا آپ مجھے بتا سکتے ہیں کہ اس کے ساتھ آپ کو دیگر اور کون سی علامات کا سامنا ہے؟	And can you tell me what other symptoms you are experiencing with this?
8	en	ur	and how high has your fever been	اور آپ کو کتنا زیادہ بخار ہوا ہے	And how high a fever you have
9	en	ur	and i have a cough too	اور مجھے کھانسی بھی ہے	And I have a cough too
10	en	ur	and i have a little cold and a cough	اور مجهے ہلکا سا نزلہ اور کهانسی ہے	And I have a slight cold and cough
11	en	ur	and i'm really having some bad chest pain today	اور آج واقعی مجھے سینے میں کچھ زیادہ ہی درد ہو رہا ہے	And today I&#39;m actually having a bit more chest pain
12	en	ur	and is this the right time for your hay fever	اور کیا یہ آپ کی ناک میں الرجی کا صحیح وقت ہے	And is this the right time for your nasal allergies?
13	en	ur	and it get the chest pain	اور اس سے سینے میں درد ہوتا ہے	And it causes chest pain
14	en	ur	and i think i have a little bit of a fever	مجھے لگتا ہے مجھے تھوڑا سا بخار ہے	I think I have a little fever
15	en	ur	and i want you to describe where the chest pain is	اور میں آپ کو یہ بتانا چاہتا ہوں کہ سینے میں درد کہاں ہوتا ہے	And I want to tell you where the chest pain is
16	en	ur	and they're having some fevers as well	اور انہیں کچھ بخار بھی ہو رہا ہے	And they are also getting some fever
17	en	ur	and with your history of diabetes	اور آپ کی ذیابیطس کی تاریخ کے ساتھ	And with your history of diabetes
18	en	ur	and you know it feels like my chest is like gonna crush	اور آپ جانتے ہیں کہ ایسا محسوس ہوتا ہے جیسے میرا سینہ کچلا جانے والا ہے	And you know it feels like my chest is going to be crushed
19	en	ur	and you know people cough on me all the time	اور آپ جانتے ہیں کہ لوگ ہر وقت مجھ پر کھانستے ہیں	And you know people cough on me all the time
20	en	ur	and you're having chest pain	اور آپ کو سینے میں درد ہو رہا ہے	And you have chest pains
21	en	ur	and you said this is a pressure in your chest	اور آپ کہہ رہے ہیں کہ آپ کو سینے پر دباؤ ہے	And you&#39;re saying you have chest tightness
22	en	ur	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	گھر میں کسی کو دل کی تکلیف دل کی بیماری دل کا دورہ ہائی کولیسٹرول ہائی بلڈ پریشر ہے	Someone at home has a heart problem, heart disease, heart attack, high cholesterol, high blood pressure
23	en	ur	any other symptoms or problems that you notice with the muscle aches?	اور دیگر علامات یا مسائل جو آپ کو پٹھوں کے درد کے ساتھ محسوس ہوتے ہیں؟	And what other symptoms or problems do you experience with muscle pain?
24	en	ur	are there other people sick as you at home with your same symptoms?	کیا گھر کے دوسرے افراد بھی آپ جیسی علامات کے ساتھ بیمار ہیں؟	Are other household members sick with the same symptoms as you?
25	en	ur	are you having any other symptoms?	کیا آپ کو کوئی اور علامات ہیں؟	Do you have any other symptoms?
26	en	ur	are you having any shortness of breath?	کیا آپ کو سانس لینے میں تکلیف ہو رہی ہے؟	Are you having trouble breathing?
27	en	ur	are you still having the chest pain	کیا آپ کو اب بھی سینے میں درد ہے	Do you still have chest pain?
28	en	ur	because this is flu season	کیونکہ یہ زکام کا موسم ہے	Because it&#39;s flu season
29	en	ur	but also we shouldn't be put aside for the heart cardiac origin chest pain	لیکن سینے میں دل سے متعلقہ شروع ہونے والے درد کو ہم نظر انداز بھی نہیں کر سکتے	But we can&#39;t ignore heart-related starting pain in the chest
30	en	ur	but a more important problem now is this chest pain	لیکن اب زیادہ اہم مسئلہ سینے میں درد ہے	But now the more important problem is chest pain
31	en	ur	but i have difficulty breathing	لیکن مجھے سانس لینے میں مشکل ہے	But I have difficulty breathing
32	en	ur	but i know lot of people cough on me	لیکن میں جانتا ہوں کہ بہت سے لوگ مجھ پر کھانستے ہیں	But I know many people cough on me
33	en	ur	but we need to treat every chest pain with the utmost seriousness	لیکن ہمیں سینے کے ہر درد کا علاج انتہائی سنجیدگی سے کرنے کی ضرورت ہے	But we need to treat every chest pain very seriously
34	en	ur	but you're breathing all right right now right?	لیکن اب آپ سانس ٹھیک طرح سے لے رہے ہیں صحیح؟	But now you&#39;re breathing properly, right?
35	en	ur	cause of this chest pain i totally forgot	میں سینے کے اس درد کی وجہ سے بالکل بھول گیا تھا	I completely forgot about this chest pain
36	en	ur	does it feel like somebody squeezing your chest	کیا ایسا لگتا ہے جیسے کوئی آپ کے سینے کو نچوڑ رہا ہے	Does it feel like someone is squeezing your chest?
37	en	ur	do still feel like shortness of breath	کیا آپ کو اب بھی سانس لینے میں تکلیف ہو رہی ہے	Are you still having trouble breathing?
38	en	ur	do they complain of being sick similar symptoms?	کیا وہ ان علامات کے ساتھ بیمار ہونے کی شکایت کرتے ہیں؟	Do they complain of being sick with these symptoms?
39	en	ur	do you have any other chronic like high blood pressure or anything like that?	کیا آپ کو بلند ہائی بلڈ پریشر یا اسی طرح کی کوئی اور دائمی بیماری ہے؟	Do you have high blood pressure or any other similar chronic disease?
