	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	zh	 about how long have these symptoms been going on? 	 这些症状已持续多长时间？ 	How long have these symptoms been?
1	en	zh	 and all chest pain should be treated this way especially with your age 	 各种胸痛均应采取这种方法进行治疗，尤其要考虑年龄因素 	All types of chest pain should be treated in this way, especially age
2	en	zh	 and along with a fever 	 并伴有发热症状 	with fever symptoms
3	en	zh	 and also needs to be checked your cholesterol blood pressure 	 还需要检查一下胆固醇和血压 	Also check cholesterol and blood pressure
4	en	zh	 and are you having a fever now? 	 您现在有发热吗？ 	Do you have a fever now?
5	en	zh	 and are you having this chest pain now? 	 现在您有这种胸痛症状吗？ 	Are you having this chest pain right now?
6	en	zh	 and besides do you have difficulty breathing 	 另外您有呼吸困难吗 	Also do you have trouble breathing
7	en	zh	 and can you tell me what other symptoms are you having along with this? 	 您能描述一下除此之外还有什么其他症状吗？ 	Can you describe any other symptoms besides this?
8	en	zh	 and how high has your fever been 	 您发热达到多少度 	How high is your fever
9	en	zh	 and i have a cough too 	 我还有咳嗽症状 	I still have a cough
10	en	zh	 and i have a little cold and a cough 	 我有点感冒而且咳嗽 	i have a cold and cough
11	en	zh	 and i'm really having some bad chest pain today 	 今天我的胸部真的很痛 	My boobs really hurt today
12	en	zh	 and is this the right time for your hay fever 	 现在是您得花粉症的时候吗 	Is now your time for hay fever
13	en	zh	 and it get the chest pain 	 我开始胸痛 	i started having chest pains
14	en	zh	 and i think i have a little bit of a fever 	 我想我有点发热 	i think i have a fever
15	en	zh	 and i want you to describe where the chest pain is 	 我希望您描述一下胸痛的部位 	I would like you to describe the area of the chest pain
16	en	zh	 and they're having some fevers as well 	 他们也出现一定程度的发热症状 	They also have some degree of fever symptoms
17	en	zh	 and with your history of diabetes 	 有糖尿病史 	have a history of diabetes
18	en	zh	 and you know it feels like my chest is like gonna crush 	 我感觉我的胸部要被压扁了 	I feel like my breasts are going to be crushed
19	en	zh	 and you know people cough on me all the time 	 人们一直在冲我咳嗽 	people keep coughing on me
20	en	zh	 and you're having chest pain 	 您现在出现胸痛症状 	You are now experiencing chest pain symptoms
21	en	zh	 and you said this is a pressure in your chest 	 您曾说感觉胸部受到挤压 	You said it felt like your chest was being squeezed
22	en	zh	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	 家中有没有亲属患有心脏问题、心脏病、心肌梗死、高胆固醇和高血压 	Are there any relatives in the family with heart problems, heart attack, myocardial infarction, high cholesterol and high blood pressure
23	en	zh	 any other symptoms or problems that you notice with the muscle aches? 	 除了肌肉酸痛，您还有任何其他症状或问题吗？ 	Do you have any other symptoms or problems besides muscle soreness?
24	en	zh	 are there other people sick as you at home with your same symptoms? 	 家中有没有其他亲属生病并出现与您一样的症状？ 	Has anyone else in the family got sick and had the same symptoms as you?
25	en	zh	 are you having any other symptoms? 	 还有任何其他症状吗？ 	Are there any other symptoms?
26	en	zh	 are you having any shortness of breath? 	 您现在感到气促吗？ 	Are you short of breath right now?
27	en	zh	 are you still having the chest pain 	 您现在还有胸痛吗 	do you still have chest pain
28	en	zh	 because this is flu season 	 因为现在是流感季节 	because it&#39;s flu season
29	en	zh	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	 同时，我们不应排除心源性胸痛 	At the same time, we should not rule out cardiogenic chest pain
30	en	zh	 but a more important problem now is this chest pain 	 但现在更重要的问题是胸痛 	But the more important issue right now is the chest pain
31	en	zh	 but i have difficulty breathing 	 但我有呼吸困难 	but i have trouble breathing
32	en	zh	 but i know lot of people cough on me 	 但我知道很多人冲我咳嗽 	but i know a lot of people cough on me
33	en	zh	 but we need to treat every chest pain with the utmost seriousness 	 我们需要严肃对待每一种胸痛 	We need to take every chest pain seriously
34	en	zh	 but you're breathing all right right now right? 	 但您目前呼吸顺畅，对吗？ 	But you&#39;re breathing fine right now, right?
35	en	zh	 'cause of this chest pain i totally forgot 	 完全忘记造成这次胸痛的原因 	Completely forget the cause of this chest pain
36	en	zh	 does it feel like somebody squeezing your chest 	 感觉有人在挤压您的胸部吗 	Feel like someone is squeezing your chest?
