	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	zu	about how long have these symptoms been going on?	cishe seziqhubeke isikhathi eside kanganani lezi zimpawu?	How long have these symptoms probably lasted?
1	en	zu	and all chest pain should be treated this way especially with your age	futhi bonke ubuhlungu besifuba kufanele bulashwe ngale ndlela ikakhulukazi eminyakeni okuyo	and all chest pains should be treated in this way, especially at your age
2	en	zu	and along with a fever	kanye nemfiva	and fever
3	en	zu	and also needs to be checked your cholesterol blood pressure	futhi kudingeka kuhlolwe umfutho wegazi we-cholesterol yakho	and your cholesterol blood pressure needs to be checked
4	en	zu	and are you having a fever now?	ingabe unemfiva manje?	do you have a fever now?
5	en	zu	and are you having this chest pain now?	futhi ingabe unalobu buhlungu besifuba manje?	and do you have this chest pain now?
6	en	zu	and besides do you have difficulty breathing	futhi ingabe unenkinga yokuphefumula	and do you have trouble breathing
7	en	zu	and can you tell me what other symptoms are you having along with this?	futhi ungakwazi ukusho ukuthi yiziphi ezinye izimpawu onazo nalokhu?	and can you tell what other symptoms you have with this?
8	en	zu	and how high has your fever been	futhi imfiva yakho iphakame kakhulu kanganani	and how high is your fever
9	en	zu	and i have a cough too	futhi ngiyakhwehlela	and I cough
10	en	zu	and i have a little cold and a cough	futhi nginomkhuhlane nokukhwehlela okuncane	I also have a cold and a slight cough
11	en	zu	and i'm really having some bad chest pain today	futhi isifuba sami sibuhlungu kakhulu namuhla	and my chest hurts a lot today
12	en	zu	and is this the right time for your hay fever	futhi ingabe lesi isikhathi esikahle yini sokuphathwa imfiva ebangelwa utshani obomile	and is this a good time to treat hay fever?
13	en	zu	and it get the chest pain	futhi iphathwa isifuba esibuhlungu	and suffers from chest pain
14	en	zu	and i think i have a little bit of a fever	futhi ngicabanga ukuthi nginemfiva encane	and I think I have a slight fever
15	en	zu	and i want you to describe where the chest pain is	futhi ngifuna uchaze ukuthi kubuhlungu kuphi	and I want you to explain where it hurts
16	en	zu	and they're having some fevers as well	futhi nabo baphethwe izimfiva ezithile	and they also suffer from certain fevers
17	en	zu	and with your history of diabetes	futhi ngomlando wakho wesifo sikashukela	and about your history of diabetes
18	en	zu	and you know it feels like my chest is like gonna crush	futhi uyazi ukuthi isifuba sami ngathi sizocindezeleka	and you know that my heart is about to be distressed
19	en	zu	and you know people cough on me all the time	futhi uyazi ukuthi abantu bakhwehlelela kumina ngaso sonke isikhathi	and you know people cough on me all the time
20	en	zu	and you're having chest pain	futhi uzwa ubuhlungu esifubeni	and you feel pain in your chest
21	en	zu	and you said this is a pressure in your chest	futhi uthe lokhu kuyingcindezi esifubeni sakho	and you said this is a pressure on your chest
22	en	zu	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	noma ubani emndenini onenkinga yenhliziyo isifo senhliziyo ukuhlaselwa inhliziyo i-cholesterol ephakeme umfutho wegazi ophakeme	anyone in the family with heart problems heart attack heart attack high cholesterol high blood pressure
23	en	zu	any other symptoms or problems that you notice with the muscle aches?	noma yiziphi ezinye izimpawu noma izinkinga oziphawula nobuhlungu bamalunga omzimba?	Any other symptoms or problems you notice with joint pain?
24	en	zu	are there other people sick as you at home with your same symptoms?	ingabe bakhona abanye abantu abagulayo njengawe ekhaya lakho abanezimpawu ezifanayo?	Are there other sick people in your household with the same symptoms?
25	en	zu	are you having any other symptoms?	ingabe unazo ezinye izimpawu?	do you have other symptoms?
26	en	zu	are you having any shortness of breath?	ingabe uphelelwa umoya?	are you short of breath?
27	en	zu	are you still having the chest pain	ingabe usenabo ubuhlungu besifuba	do you still have chest pain
