	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	am	 about how long have these symptoms been going on? 	እነዚህ ምልክቶች ለምን ያህል ጊዜ ቆይተዋል?	How long have these signs been in place?
1	en	am	 and all chest pain should be treated this way especially with your age 	እና ሁሉም የደረት ህመሞች መታከም ያለባቸው በዚህ መንገድ ነው በተለይም በእርስዎ እድሜ	And this is how all chest pains should be treated, especially at your age.
2	en	am	 and along with a fever 	እና ትኩሳትም አለው	And it's got a fever
3	en	am	 and also needs to be checked your cholesterol blood pressure 	እና የኮሌስትሮልዎ የደም ግፊትም ሊመረመር ይገባል	Blood pressure should also be checked.
4	en	am	 and are you having a fever now? 	እና አሁን በዚህ ጊዜ ትኩሳት አለዎት?	Do you have a fever right now?
5	en	am	 and are you having this chest pain now? 	አሁን ይሄን የደረት ህመም አለዎት?	Do you have this chest pain?
6	en	am	 and besides do you have difficulty breathing 	እና በተጨማሪስ የመተንፈስ ችግር አለብዎት	They also have difficulty breathing.
7	en	am	 and can you tell me what other symptoms are you having along with this? 	እና ከዚህ ጋር በተያያዘ ሌላ ምን ዓይነት ምልክቶች እንዳለዎት ሊነግሩኝ ይችላሉ?	Can you tell me what other symptoms you have in mind?
8	en	am	 and how high has your fever been 	እና ትኩሳትዎ ምን ያህል ከፍ ብሎ ነበር	And how high it was.
9	en	am	 and i have a cough too 	እና ሳልም አለኝ	And I've got the
10	en	am	 and i have a little cold and a cough 	እና መጠነኛ ጉንፋን እና ሳል አለኝ	And I have a moderate cold and cough
11	en	am	 and i'm really having some bad chest pain today 	እና ዛሬ የእውነት መጥፎ የሆነ የደረት ህመም እያጋጠመኝ ነው	And today I'm having a really bad chest pain
12	en	am	 and is this the right time for your hay fever 	እና ለእርስዎ ከፍተኛ ትኩሳት ትክክለኛው ጊዜ አሁን ነው	Now is the time for your high fever
13	en	am	 and it get the chest pain 	እና የደረት ህመሙን ያገኛል	And the pain of the heart
14	en	am	 and i think i have a little bit of a fever 	እና ትንሽ ትኩሳት እንዳለብኝ ይሰማኛል	I'm having a bit of a fever
15	en	am	 and i want you to describe where the chest pain is 	እና የደረቱ ህመም የቱ ጋር እንደሆነ እንዲያስረዱኝ እፈልጋለሁ	I want them to understand the pain of their
16	en	am	 and they're having some fevers as well 	እና እነሱም የተወሰነ ትኩሳት አለባቸው	And they've had a bit of a fever
