	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ar	 about how long have these symptoms been going on? 	منذ متى لا تزال هذه الأعراض مستمرة تقريبًا؟	How long have these symptoms almost persisted?
1	en	ar	 and all chest pain should be treated this way especially with your age 	وينبغي علاج كل آلام الصدر بهذه الطريقة خاصة في عمرك	All chest pain should be treated this way, especially at your age.
2	en	ar	 and along with a fever 	وبالإضافة إلى الحمى	In addition to fever
3	en	ar	 and also needs to be checked your cholesterol blood pressure 	ويلزم أيضًا فحص ضغط كوليسترول الدم لديك	Your blood pressure is also needed
4	en	ar	 and are you having a fever now? 	وهل تعاني من الحمى الآن؟	And do you have a fever now?
5	en	ar	 and are you having this chest pain now? 	وهل تشعر بهذا الألم في الصدر الآن؟	And do you feel this chest pain now?
6	en	ar	 and besides do you have difficulty breathing 	وبالإضافة إلى ذلك هل لديك صعوبة في التنفس	In addition do you have difficulty breathing
7	en	ar	 and can you tell me what other symptoms are you having along with this? 	وهل يمكنك إخباري بالأعراض الأخرى التي لديك بالإضافة إلى هذا؟	And can you tell me what other symptoms you have in addition to this?
8	en	ar	 and how high has your fever been 	وما مدى ارتفاع درجة الحرارة الذي أصابك	And how high is the temperature that hit you
9	en	ar	 and i have a cough too 	وأعاني من السعال أيضًا	I also have a cough.
10	en	ar	 and i have a little cold and a cough 	وأعاني من القليل من البرد والسعال	And I suffer from a little cold and cough
11	en	ar	 and i'm really having some bad chest pain today 	وأعاني من بعض آلام الصدر الشديدة اليوم	And I'm having some severe chest pain today.
12	en	ar	 and is this the right time for your hay fever 	وهل هذا هو الوقت الصحيح لحمى القش التي تصيبك	And is this the right time for hay fever that hits you
13	en	ar	 and it get the chest pain 	ويحدث ألم في الصدر	Chest pain occurs
14	en	ar	 and i think i have a little bit of a fever 	وأعتقد أن لدي قدرًا بسيطًا من الحمى	And I think I have a small amount of fever
15	en	ar	 and i want you to describe where the chest pain is 	وأريد منك وصف مكان الشعور بألم في الصدر	And I want you to describe where you feel chest pain.
16	en	ar	 and they're having some fevers as well 	ويعانون كذلك من بعض الحمى	They also have some fever.
17	en	ar	 and with your history of diabetes 	ومع تاريخ إصابتك بمرض السكري	And with your history of diabetes
18	en	ar	 and you know it feels like my chest is like gonna crush 	وكما تعلم أشعر كأن صدري سيتحطم	And you know, I feel like my chest is going to break.
19	en	ar	 and you know people cough on me all the time 	وكما تعلم يسعل الأشخاص تجاهي طوال الوقت	And you know, people cough up at me all the time.
20	en	ar	 and you're having chest pain 	وأنت تشعر بألم في الصدر	And you feel chest pain
