	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	fa	about how long have these symptoms been going on?	تقریباً چه مدت است که این علایم ادامه دارد؟	How long have these symptoms been going on?
1	en	fa	and all chest pain should be treated this way especially with your age	و به خصوص با توجه به سن شما، باید با تمام دردهای قفسه سینه به این شکل رفتار شود	And especially considering your age, all chest pain should be treated this way
2	en	fa	and along with a fever	و همراه با تب	And with fever.
3	en	fa	and also needs to be checked your cholesterol blood pressure	و همچنین نیاز است که کلسترول و فشار خون شما بررسی شود	You also need to check your cholesterol and blood pressure.
4	en	fa	and are you having a fever now?	و آیا شما اکنون تب دارید؟	And do you have a fever now?
5	en	fa	and are you having this chest pain now?	و آیا الان هم قفسه سینه شما درد می‌کند؟	And is your chest still hurting now?
6	en	fa	and besides do you have difficulty breathing	و علاوه بر این، آیا در تنفس مشکل دارید	Do you have trouble breathing?
7	en	fa	and can you tell me what other symptoms are you having along with this?	و می‌توانید به من بگویید که در کنار این مشکل، چه علایم دیگری دارید؟	And can you tell me what other symptoms you have besides this problem?
8	en	fa	and how high has your fever been	و تب شما چقدر بالا بوده است	and how high your fever was
9	en	fa	and i have a cough too	و سرفه هم می‌کنم	And I cough.
10	en	fa	and i have a little cold and a cough	و کمی سرماخوردگی دارم و سرفه می‌کنم	And I have a little cold and I cough.
11	en	fa	and i'm really having some bad chest pain today	و امروز درد واقعاً شدیدی در قفسه سینه‌ام دارم	And I have a really severe chest pain today.
12	en	fa	and is this the right time for your hay fever	و آیا الان زمان حساسیت فصلی شماست	And is it time for your seasonal allergies?
13	en	fa	and it get the chest pain	و درد قفسه سینه شروع شد	And the chest pain began.
14	en	fa	and i think i have a little bit of a fever	و فکر می‌کنم کمی تب دارم	And I think I have a little fever.
15	en	fa	and i want you to describe where the chest pain is	و من از شما می‌خواهم توضیح دهید کجای قفسه سینه درد می‌کند	And I want you to explain where the chest pain is.
16	en	fa	and they're having some fevers as well	و آنها قدری هم تب دارند	and they have a fever
17	en	fa	and with your history of diabetes	و با توجه به سابقه دیابت شما	And given your history of diabetes,
18	en	fa	and you know it feels like my chest is like gonna crush	و اینگونه احساس می‌کنم که انگار قفسه سینه‌ام دارد خرد می‌شود	And I feel like my chest is shattering.
19	en	fa	and you know people cough on me all the time	و افراد همیشه رو به من سرفه می‌کنند	And people cough at me all the time.
20	en	fa	and you're having chest pain	و شما درد قفسه سینه دارید	and you have chest pain
21	en	fa	and you said this is a pressure in your chest	و شما گفتید که این، فشاری به قفسه سینه شما وارد می‌کند	And you said it puts pressure on your chest.
