	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	km	 about how long have these symptoms been going on? 	តើរោគសញ្ញាទាំងនេះបាននឹងកំពុងកើតឡើងយូរប៉ុន្មានហើយ?	How long have these symptoms been going on?
1	en	km	 and all chest pain should be treated this way especially with your age 	ហើយរាល់ការឈឺទ្រូងទាំងអស់គឺគួរតែព្យាបាលតាមវិធីនេះ ជាពិសេសព្យាបាលទៅតាមអាយុរបស់អ្នក	And every chest pain should be treated in this way, especially at your age
2	en	km	 and along with a fever 	និងមានគ្រុនក្តៅផងដែរ	And there is also a hot flash
3	en	km	 and also needs to be checked your cholesterol blood pressure 	ហើយក៏ត្រូវពិនិត្យសម្ពាធឈាមកូលេស្តេរ៉ុលរបស់អ្នកផងដែរ	And also have to check your cholesterol blood pressure
4	en	km	 and are you having a fever now? 	ហើយឥឡូវនេះ អ្នកនៅតែមានជំងឺគ្រុនក្ដៅមែនទេ?	And right now you still have a fever?
5	en	km	 and are you having this chest pain now? 	ហើយឥឡូវនេះ តើអ្នកកំពុងតែឈឺទ្រូងដែរឬទេ?	And are you now having chest pains too?
6	en	km	 and besides do you have difficulty breathing 	ហើយក្រៅពីនេះ តើអ្នកពិបាកដកដង្ហើមដែរឬទេ	And besides, do you find it difficult to breathe too
7	en	km	 and can you tell me what other symptoms are you having along with this? 	ហើយអ្នកអាចប្រាប់ខ្ញុំបានទេថា តើរោគសញ្ញាអ្វីទៀតដែលអ្នកកំពុងតែមានជាមួយនឹង​វា?	And you can tell me what other symptoms are you having with it?
8	en	km	 and how high has your fever been 	ហើយតើកំដៅរបស់អ្នកធ្លាប់ឡើងដល់កម្រិតណា	And how far has your heat ever gone up
9	en	km	 and i have a cough too 	ហើយខ្ញុំក៏មានក្អកដែរ	And I have a cough too
10	en	km	 and i have a little cold and a cough 	ហើយខ្ញុំមានជំងឺផ្តាសាយ និងក្អកបន្តិចបន្តួច	And I have a little flu and cough
11	en	km	 and i'm really having some bad chest pain today 	ហើយនៅថ្ងៃនេះ ខ្ញុំពិតជាឈឺទ្រូងខ្លាំងណាស់	And I was really hurting my chest today
12	en	km	 and is this the right time for your hay fever 	ហើយតើនេះជាពេលវេលាសមស្របសម្រាប់អាការតឹងច្រមុះរបស់អ្នកដែលឬទេ	And is this the approval time for your nose tightening
13	en	km	 and it get the chest pain 	ហើយវាធ្វើឱ្យឈឺទ្រូង	And it hurts his chest
14	en	km	 and i think i have a little bit of a fever 	ហើយខ្ញុំគិតថា ខ្ញុំក្តៅខ្លួនតិចតូច	And I think I'm a little hot
15	en	km	 and i want you to describe where the chest pain is 	ហើយខ្ញុំចង់ឱ្យអ្នកប្រាប់លម្អិតពីកន្លែងឈឺទ្រូងនេះ	and I want you to tell in the details of where this chest pain is
16	en	km	 and they're having some fevers as well 	ហើយពួកគេក៏មានគ្រុនក្តៅតិចតួចដែរ	And they also have a minor fever
17	en	km	 and with your history of diabetes 	និងជាមួយប្រវត្តិជំងឺទឹកនោមផ្អែមរបស់អ្នក	and with your diabetes history
18	en	km	 and you know it feels like my chest is like gonna crush 	អ្នកដឹងទេ វាមានអារម្មណ៍ដូចជាទ្រូងរបស់ខ្ញុំបម្រុងនឹងផ្ទុះអ៊ីចឹង	You know, it feels like my chest is poised to explode so
