	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ne	 about how long have these symptoms been going on? 	यी लक्षणहरु कहिलेबाट देखा परिरहेको छ?	When have these symptoms been occurring?
1	en	ne	 and all chest pain should be treated this way especially with your age 	र सबै छाती दुखाई यसरिनै तपाईँको उमेरमा उपचार गर्नु पर्छ	And all chest pain should be treated at your age.
2	en	ne	 and along with a fever 	र साथै ज्वरो पनि	as well as fever.
3	en	ne	 and also needs to be checked your cholesterol blood pressure 	र तपाईँको कोलेस्टेरोल रक्तचाप जाँच गर्न पनि जरुरी छ	And it is also important to check your cholesterol blood pressure.
4	en	ne	 and are you having a fever now? 	र के तपाईँलाई अहिले ज्वरो छ?	And do you have a fever right now?
5	en	ne	 and are you having this chest pain now? 	र तपाईँको यो छाती अहिले दुखिरहेको छ?	And is this chest of yours hurting right now?
6	en	ne	 and besides do you have difficulty breathing 	र साथमा के तपाइँलाई श्वास फेर्न असजिलो भएको छ	And at the same time have you had trouble breathing
7	en	ne	 and can you tell me what other symptoms are you having along with this? 	र के तपाईँले मलाई अन्य यो संगै भएका लक्षणहरू बताउन सक्नुहुन्छ?	And can you tell me other symptoms with it?
8	en	ne	 and how high has your fever been 	र तपाईँको ज्वरो कति उच्च भएको छ	And how high your fever has become
9	en	ne	 and i have a cough too 	र मलाई खोकी पनि छ	And I also have a cough
10	en	ne	 and i have a little cold and a cough 	र मलाई अलिकति चिसो र खोकी लागेको छ	And I have a little cold and coughing
11	en	ne	 and i'm really having some bad chest pain today 	र मलाई आज साँच्चै नै केही नराम्रो छाती दुखिरहेको छ	And I'm having some really bad chest pain today
12	en	ne	 and is this the right time for your hay fever 	र यो तपाईँको घास ज्वरोको लागि सही समय हो	And this is the right time for your grass fever
13	en	ne	 and it get the chest pain 	र यसले छाती दुख्छ	And it hurts the chest
14	en	ne	 and i think i have a little bit of a fever 	र म सोच्छु मलाई हल्का ज्वरो आएको छ	And I think I have a mild fever
15	en	ne	 and i want you to describe where the chest pain is 	र म तपाईँलाई छातीको दुखाई कहाँ छ व्याख्या गर्न चाहन्छु	And I'd like to explain to you where the chest pain is
16	en	ne	 and they're having some fevers as well 	र तिनीहरूलाई केहि ज्वरो पनि रहेको छ	And they also have some fever
17	en	ne	 and with your history of diabetes 	र तपाईँको मधुमेहको इतिहास संगै	and with your history of diabetes
18	en	ne	 and you know it feels like my chest is like gonna crush 	र तपाईँलाई थाहा छ यो मेरो छाती दबाएको जस्तो हुँदै गएको छ	And you know it's getting like my chest is pressing
19	en	ne	 and you know people cough on me all the time 	र तपाईँलाई थाहा छ मानिसहरू मलाई सधैं खोकी रहन्छन्	And you know people keep coughing at me all the time.
20	en	ne	 and you're having chest pain 	र तपाईँलाई छातीको दुखाई रहेको छ	And you have chest pain
21	en	ne	 and you said this is a pressure in your chest 	र तपाईँले आफ्नो छातीमा दबाव रहेको बताउनुभयो	And you said there was pressure on your chest
22	en	ne	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	परिवारका कुनै मा मुटुको समस्या मुटुको रोग हृदयघात उच्च कोलेस्टेरोल उच्च रक्तचाप रहेको छ	Heart problem in family Heart disease Heart disease Heart attack High cholesterol high blood pressure
23	en	ne	 any other symptoms or problems that you notice with the muscle aches? 	अन्य कुनै लक्षणहरु वा समस्याहरू जुन तपाईँले मांसपेशी दुखाई संगै याद गर्नुभएको छ?	Any other symptoms or problems that you have noticed with muscle aches?
24	en	ne	 are there other people sick as you at home with your same symptoms? 	के त्यहाँ अरु मानिसहरू तपाइँलाई जस्तै लक्षणहरु भएको, घरमा अन्य बिरामी पनि छन्?	Are there other people who have the same symptoms as you, other patients at home?
25	en	ne	 are you having any other symptoms? 	के तपाइँलाई अन्य अरू लक्षणहरू रहेका छन्?	Do you have other symptoms?
26	en	ne	 are you having any shortness of breath? 	के तपाइँलाई श्वास फेर्दा असजिलो भएको छ?	Have you had difficulty breathing?
27	en	ne	 are you still having the chest pain 	के तपाईँलाई अहिले सम्म छातीमा दुखाई रहेको छ	Do you have chest pain yet?
28	en	ne	 because this is flu season 	किनकि यो रुघाखोकीको मौसम हो	Because it's cold season
29	en	ne	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	तर हामीले हृदय कार्डियाक उत्पत्ति भएको छातीको दुःखाइलाई छुट्टै राख्नु पनि हुँदैन	But we should also not set aside chest pain that originated from the heart cardiac
30	en	ne	 but a more important problem now is this chest pain 	तर थप महत्वपूर्ण समस्या भनेको अहिले छातीमा दुखाई हुनु हो	But a more important problem is chest pain right now.
31	en	ne	 but i have difficulty breathing 	तर मलाई श्वास फेर्न कठिन भएको छ	But I've had trouble breathing
32	en	ne	 but i know lot of people cough on me 	तर मलाई थाहा छ धेरै मानिसहरू मलाई खोक्छन्	But I know a lot of people cough at me
33	en	ne	 but we need to treat every chest pain with the utmost seriousness 	तर हामीले प्रत्येक छातीको दुखाइको उपचार गम्भिरतापुर्वक गर्न आवश्यक छ	But we need to treat every chest pain seriously.
34	en	ne	 but you're breathing all right right now right? 	तर तपाईँ अहिले सबै ठीक ठीक श्वास फेर्दै हुनुहुन्छ?	But are you breathing all right now?
35	en	ne	 'cause of this chest pain i totally forgot 	यो छातीको दुखाइका कारण मैले पूर्ण रूपमा बिर्सिए	I completely forgot because of this chest pain
36	en	ne	 does it feel like somebody squeezing your chest 	के यो कसैले तपाईंको छाती दबाउँदै गरेको जस्तो लाग्छ	Does it feel like someone is pressing your chest?
37	en	ne	 do still feel like shortness of breath 	के अहिलेसम्म पनि श्वास फेर्न असजिलो भएको महसुस भएको छ	Do you still feel it's hard to breathe?
38	en	ne	 do they complain of being sick similar symptoms? 	के तिनीहरू बिरामी जस्ता लक्षणहरू देखिरहेको गुनासो गर्छन्?	Do they complain of sick-like symptoms?
39	en	ne	 do you have any other chronic like high blood pressure or anything like that? 	के तपाईँलाई अन्य अरू पुरानो उच्च रक्तचाप वा कुनै यस्तै छ?	Do you have other chronic hypertension or something similar?
40	en	ne	 do you have any other diseases chronic medical problems like diabetes? 	के तपाईँलाई मधुमेह जस्तो अन्य कुनै पनि रोगहरु दीर्घकालीन चिकित्सा समस्याहरू छन्?	Do you have long-term medical problems with any other disease like diabetes?
41	en	ne	 do you have any shortness of breath with that chest pain? 	के तपाईँलाई कुनै श्वास फेर्न गाह्रो संगै छातीको दुखाई पनि छ?	Do you have difficulty breathing as well as chest pain?
42	en	ne	 do you have high blood pressure? 	के तपाईँलाई उच्च रक्तचाप छ?	Do you have high blood pressure?
43	en	ne	 do you have some shortness of breath goes with that? 	के तपाईँलाई त्योसँगै श्वासप्रश्वासमा कमी रहेको छ?	Do you have shortness of breath with it?
44	en	ne	 do you know what symptoms she was having? 	के तपाईँलाई थाहा छ कस्ता लक्षणहरू उनीलाई रहेका थिए?	Do you know what symptoms he had?
45	en	ne	 do you see the image? 	के तपाईँले छवि देख्नुहुन्छ?	Do you see the image?
46	en	ne	 drink plenty of fluids today 	आज धेरै मात्रामा तरल पदार्थहरू पिउनुहोस्	Drink plenty of fluids today
47	en	ne	 however i take tests for the diabetes 	जे भएपनि म मधुमेहको जाँच गराउँछु	Anyway, I'll get a diabetes check-up
48	en	ne	 however she has symptoms quite similar to mine 	जे भएपनि उनीलाई केहि मेरो जस्तै समान लक्षणहरू देखा परेका छन्	Anyway, he has had some similar symptoms like mine.
49	en	ne	 how high is your fever? 	तपाईँको ज्वरो कति उच्च छ?	How high is your fever?
50	en	ne	 how' s your blood pressure? 	तपाईँको रक्तचाप कस्तो छ?	How is your blood pressure?
51	en	ne	 if you continue to have high fevers 	यदि तपाईँलाई निरन्तर उच्च ज्वरो आएको छ	If you have a persistent high fever
52	en	ne	 if you have a fever of a hundred and two or higher 	यदि तपाईँलाई एक सय दुई वा सो भन्दा धेरै ज्वरो आएको छ	If you have a fever of 102 or more
53	en	ne	 if you think that your symptoms or problems warrant a better look 	यदि तपाईँलाई लाग्छ कि तपाईँको लक्षणहरू वा समस्याहरू लाई राम्रो संग हेर्नुपर्छ	If you feel that your symptoms or problems should be looked at well
54	en	ne	 i got a fever yesterday 	मलाई हिजो ज्वरो आयो	I had a fever yesterday.
55	en	ne	 i got a slight fever too 	मलाई पनि हल्का ज्वरो आयो	I also had a mild fever.
56	en	ne	 i had a fever yesterday 	मलाई हिजो ज्वरो आएको थियो	I had a fever yesterday
57	en	ne	 i have a sharp pain here in the chest 	मलाई यहाँ मेरो छातीमा तीव्र दुखाई रहेको छ	I have a severe pain in my chest here
58	en	ne	 i have some difficulty breathing too 	मलाई केही श्वास लिन पनि समस्या भएको छ	I've had trouble breathing too.
59	en	ne	 i'll send you an image 	म तपाईँलाई छवि पठाउनेछु	I'll send you an image
60	en	ne	 i'm having some chest pain today 	मलाई आज केही छातीमा दुखाई भइरहेको छ	I'm having some chest pain today
61	en	ne	 i'm just having some headaches and some fever today 	मलाई आजमात्र केही ज्वरो र टाउको दुखाई भएको हो	I only had some fever and headache today.
62	en	ne	 in my opinion it is flu 	मेरो रायमा यो रुघाखोकी हो	In my opinion, this is a cold
63	en	ne	 in my opinion this is a little flu 	मेरो विचारमा यो एक साधारण रुघा हो	I think it's a common cold
64	en	ne	 is it like some heavy heavy person sitting on your chest? 	यो एकदम कोही भारी व्यक्ति तपाईँको छातीमा बसिरहेको जस्तो छ?	Is it like someone very heavy sitting on your chest?
65	en	ne	 it all started with the headaches and with the fever about the same time 	यो एकै समयमा टाउको दुखाई र संगै ज्वरो सुरुवात भएको थियो	It started with a headache and fever at the same time.
66	en	ne	 it hurts in the middle of my chest 	यसले मेरो छातीको बीचमा दुखेको छ	It hurts in the middle of my chest
67	en	ne	 it is a pressure like chest pain 	यो छातीको दुखाई जस्तै एक दबाव हो	It's a pressure like chest pain
68	en	ne	 it is in my chest 	यो मेरो छातीमा रहेको छ	It's in my chest
69	en	ne	 it is in the center of my chest 	यो मेरो छातीको बीचमा छ	It's in the middle of my chest
70	en	ne	 it is in the center of the chest 	यो छातीको बीचमा रहेको छ	It is in the middle of the chest
71	en	ne	 i've got pain in my chest 	मेरो छाती दुखेको छ	My chest hurts
72	en	ne	 i've very concerned of this chest pain 	म धेरै नै यो छाती दुखाइको बारेमा चिन्तित छु	I'm very worried about this chest pain.
