	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	prs	 about how long have these symptoms been going on? 	 این علایم برای چی مدتی وجود داشته است؟ 	 For what time have these symptoms existed? 
1	en	prs	 and all chest pain should be treated this way especially with your age 	 و تمام درد قفس صدر باید به خصوص در سن شما به این شیوه تداوی شود 	 And all the pain of the topped cage should be treated in this way, especially at your age. 
2	en	prs	 and along with a fever 	 و همراه با تب 	 And with fever. 
3	en	prs	 and also needs to be checked your cholesterol blood pressure 	 و همچنان فشار خون و کلسترول شما باید بررسی شود 	 And your blood pressure and cholesterol should also be checked 
4	en	prs	 and are you having a fever now? 	 و آیا شما الان درد قفس صدر دارید؟ 	 And do you have the pain of the cage now? 
5	en	prs	 and are you having this chest pain now? 	 و آیا شما الان این درد قفس صدر را دارید؟ 	 And do you have this pain in the sadr cage now? 
6	en	prs	 and besides do you have difficulty breathing 	 و برعلاوه، آیا شما در تنفس مشکل دارید 	 And besides, do you have trouble breathing 
7	en	prs	 and can you tell me what other symptoms are you having along with this? 	 و می توانید برایم گفته کنید که برعلاوه این چه علائم دیگری دارید؟ 	 And can you tell me what other symptoms you have in addition? 
8	en	prs	 and how high has your fever been 	 و تب شما چقدر بلند بوده است 	 And how loud your fever has been. 
9	en	prs	 and i have a cough too 	 و من سرفه هم می کنم 	 And I cough, too. 
10	en	prs	 and i have a little cold and a cough 	 و من کمی ریزش و سرفه دارم 	 And I have a little bit of a fall and a cough. 
11	en	prs	 and i'm really having some bad chest pain today 	 و امروز واقعاً درد شدیدی در قفس صدرم دارم 	 And today I really have severe pain in my cage. 
12	en	prs	 and is this the right time for your hay fever 	 و آیا الان وقت مناسب راینیت الرژیک شماست 	 And is this the right time for your allergic reinite? 
13	en	prs	 and it get the chest pain 	 و سبب درد قفس صدر می شود 	 And it causes pain in the cage. 
14	en	prs	 and i think i have a little bit of a fever 	 و فکر می کنم کمی تب دارم 	 And I think I have a little fever. 
15	en	prs	 and i want you to describe where the chest pain is 	 و از شما می خواهم که موقعیت درد صدر را تشریح کنید 	 And I ask you to explain the pain situation 
16	en	prs	 and they're having some fevers as well 	 و آنها هم کمی تب دارند 	 And they have a little fever, too. 
17	en	prs	 and with your history of diabetes 	 و با سابقه دیابت شما 	 And with your history of diabetes. 
18	en	prs	 and you know it feels like my chest is like gonna crush 	 و می دانید، انگار صدرم می خواهد بکفد 	 And you know, it's like sadr wants to slip. 
19	en	prs	 and you know people cough on me all the time 	 و شما می دانید که مردم همیشه روی من سرفه می کنند 	 And you know people cough on me all the time 
20	en	prs	 and you're having chest pain 	 و قفس صدر شما درد می کند 	 And your tortoise cage hurts 
21	en	prs	 and you said this is a pressure in your chest 	 و شما گفتید که این فشاری در صدر شماست 	 And you said this pressure is at your top. 
22	en	prs	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	 کسی از اعضای خانواده اعراض قلبی، مرض قلبی، حمله قلبی، کلسترول بلند، فرط فشار خون دارد 	 A family member has heart symptoms, heart disease, heart attack, high cholesterol, hypertension 
23	en	prs	 any other symptoms or problems that you notice with the muscle aches? 	 کدام علائم یا مشکلات دیگر وجود دارد که همراه با درد عضلی متوجه آن شده اید؟ 	 What other symptoms or problems have you noticed along with muscle pain? 
24	en	prs	 are there other people sick as you at home with your same symptoms? 	 آیا افراد دیگری مثل شما در خانه با همین علائم شما مریض استند؟ 	 Are other people like you at home sick with the same symptoms? 
25	en	prs	 are you having any other symptoms? 	 آیا کدام علائم دیگری دارید؟ 	 Which other symptoms do you have? 
26	en	prs	 are you having any shortness of breath? 	 آیا نفس تنگی دارید؟ 	 Do you have shortness of breath? 
27	en	prs	 are you still having the chest pain 	 آیا تاهنوز هم درد قفس صدر دارید 	 Do you still have the pain of the topped cage 
28	en	prs	 because this is flu season 	 بخاطریکه الآن فصل انفلوانزا است 	 Because it's influenza season now. 
