	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ps	about how long have these symptoms been going on?	دغه علايم له څومره مودې راهيسې ادامه لري؟	How long have these symptoms persisted؟
1	en	ps	and all chest pain should be treated this way especially with your age	په خاصه بیا ستاسو عمر ته په کتو سره د سینې د ټول درد باید پدې ډول درملنه وشي.	In this way، all of the pain in your body should be treated in this way.
2	en	ps	and along with a fever	او له تبی سره	And with fever.
3	en	ps	and also needs to be checked your cholesterol blood pressure	او ستاسو د کوليسترول او وینې فشار معاینه هم باید ترسره شی.	Your blood pressure and cholesterol should also be tested.
4	en	ps	and are you having a fever now?	او ایا تاسو اوس تبه لرئ ؟	And do you have a fever now ؟
5	en	ps	and are you having this chest pain now?	او آیا تاسو اوس هم د سینی دا درد لرئ؟	And do you still have that chest pain?
6	en	ps	and besides do you have difficulty breathing	او د هغه تر څنګ ایا تاسو په ساه اخیستلو کښی ستونزه لرئ؟	And besides that، are you having trouble breathing؟
7	en	ps	and can you tell me what other symptoms are you having along with this?	او ایا تاسو ويلی شئ چې د دې ترڅنګ نور کوم علایم لرئ؟	Can you tell me if you have any other symptoms؟
8	en	ps	and how high has your fever been	او ستاسو تبه څومره شدیده ده	How severe is your fever.
9	en	ps	and i have a cough too	او زه ټوخی هم ورسره لرم	And I have a cough.
10	en	ps	and i have a little cold and a cough	او زه لږ ټوخی او ساړه هم ورسره لرم	And I have a little cough and cold.
11	en	ps	and i'm really having some bad chest pain today	او زه نن واقعآ د سینی ډير سخت درد لرم	And I'm really in a lot of pain today.
12	en	ps	and is this the right time for your hay fever	او ایا دا ستاسو د وچی تبی لپاره مناسب وخت دی	And is this the right time for your dry fever؟
13	en	ps	and it get the chest pain	او له دې سره د سینی درد هم پیدا کیږی	There is also a pain in the chest.
14	en	ps	and i think i have a little bit of a fever	او زه فکر کوم زه لږه تبه هم ورسره لرم	And I think I have a little fever.
15	en	ps	and i want you to describe where the chest pain is	او زه غواړم تاسو تشریح کړئ چې چیرته درد شتون لري	I want you to explain where the pain is.
16	en	ps	and they're having some fevers as well	او دوي يو څه تبه هم لري	They also have a fever.
17	en	ps	and with your history of diabetes	او ستاسو د شکرې له مخینی سره	And with your sugar
18	en	ps	and you know it feels like my chest is like gonna crush	او تاسو پوهیږئ دا داسې احساس کېږي لکه چې زما سینه به اوس وچوي	And you know، it feels like my chest is going to be beating right now.
19	en	ps	and you know people cough on me all the time	او تاسو پوهیږئ چې هر وخت خلک په ما باندې ټوخي کوي	And you know that every time people cough at me
20	en	ps	and you're having chest pain	او تاسو د سینی درد لرئ	And you've got a chest pain
21	en	ps	and you said this is a pressure in your chest	او تاسو وویل چی دا ستاسو په سينه يو فشار دی	And you said it's a pressure on your chest.
22	en	ps	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	ایا په کورنۍ کې کوم څوک د زړه ستونزه لري د زړه ناروغي د زړه حمله د د وینو لوړ کولیسټرول د وينې لوړ فشار	Does anyone in the family have a heart problem heart attack high blood cholesterol high blood pressure
23	en	ps	any other symptoms or problems that you notice with the muscle aches?	کومې نور علايم یا ستونزې لري چې تاسو یې د عضلاتو درد سره احساسوئ؟	Do you have any other symptoms or problems that you're experiencing with muscle pain؟
24	en	ps	are there other people sick as you at home with your same symptoms?	ایا ستاسو په کورنۍ کی نور څوک هم په ورته علایمو ناروغه دي؟	Do you have any other symptoms in your family؟
25	en	ps	are you having any other symptoms?	ایا تاسو کوم نور علایم لرئ؟	Do you have any other symptoms؟
26	en	ps	are you having any shortness of breath?	ایا تاسو ساه لنډي لرئ؟	Do you have a short breath؟
27	en	ps	are you still having the chest pain	ایا تاسو لا هم د سینی درد لري	Do you still have a chest pain
28	en	ps	because this is flu season	ځکه چی دا د زکام فصل دی	Because it's the season of flu
29	en	ps	but also we shouldn't be put aside for the heart cardiac origin chest pain	مګر دا هم باید موږ د زړه یا د اصلي سینې درد لپاره يو اړخ ته ونه ساتي	But we should also not hold to one side for the heart or the underlying chest pain.
30	en	ps	but a more important problem now is this chest pain	اما د اوس لپاره ترټولو مهمه ستونزه د سینی درد دی	The most important problem for now is the pain.
31	en	ps	but i have difficulty breathing	خو زه په ساه اخیستلو کی ستونزه لرم	But I'm having trouble breathing.
32	en	ps	but i know lot of people cough on me	خو زه پوهیږم چی ډیر خلک په ما پوری توخي کوي	But I know a lot of people are trying to get me.
33	en	ps	but we need to treat every chest pain with the utmost seriousness	مګر موږ اړتیا لرو د سينې د هر درد لپاره خورا جديت سره درملنه وکړو	But we need to be treated very seriously for any chest pain.
34	en	ps	but you're breathing all right right now right?	مګر تاسو همدا اوس سم تنفس کوئ/ساه اخلئ سمه ده؟	But you're breathing right now، right؟
35	en	ps	cause of this chest pain i totally forgot	د سینی د درد لامل می ټول له یاده ووتل	The cause of the pain of the chest
36	en	ps	does it feel like somebody squeezing your chest	ایا داسی احساس کوئ چی سینی ته مو کوم څوک فشار ورکوي	Do you feel like someone is pushing your tray؟
37	en	ps	do still feel like shortness of breath	اوس هم د ساه لنډۍ په څیر احساس کوئ	You're still feeling like a short
38	en	ps	do they complain of being sick similar symptoms?	ایا هغوئ هم د ورته ناروغۍ د علایمو څخه شکایت لري؟	Do they have symptoms of the same disease؟
