	sourceLang	targetLang	F1_rescaled	precision_rescaled	recall_rescaled	F1	precision	recall
0	fa	en	0.7528398036956787	0.7569923400878906	0.7482447624206543	0.9582858085632324	0.959054708480835	0.9575777053833008
1	ps	en	0.5942139625549316	0.5660406947135925	0.622600257396698	0.931513786315918	0.926880419254303	0.9364058971405029
2	es-419	en	0.8361932039260864	0.8351168632507324	0.8369846940040588	0.9723536968231201	0.9722182154655457	0.9725309014320374
3	prs	en	0.664236843585968	0.6584562063217163	0.6694241166114807	0.9433318376541138	0.9424518942832947	0.9442960619926453
4	zh	en	0.7373133897781372	0.7409585118293762	0.7332273125648499	0.9556652903556824	0.9563530087471008	0.9550472497940063
5	pt-BR	en	0.8434217572212219	0.8435253500938416	0.842998206615448	0.973573625087738	0.9736348986625671	0.9735442996025085
6	zu	en	0.7178633809089661	0.7198588252067566	0.7152617573738098	0.9523826241493225	0.9527978301048279	0.952019989490509
7	ms	en	0.815127968788147	0.8166608810424805	0.8131853342056274	0.9687983393669128	0.9691084027290344	0.9685207009315491
8	so	en	0.3793115019798279	0.3784509003162384	0.3798675835132599	0.8952437043190002	0.8952726125717163	0.8955040574073792
9	sw	en	0.7281845808029175	0.7305450439453125	0.7252895832061768	0.9541245698928833	0.9545984268188477	0.9537096619606018
10	ru	en	0.7373478412628174	0.7261339426040649	0.7482275366783142	0.9556710720062256	0.9538550972938538	0.9575748443603516
11	ne	en	0.7879409790039062	0.7914769053459167	0.7839890122413635	0.9642099142074585	0.9648651480674744	0.9636008143424988
12	id	en	0.8299940228462219	0.8335210084915161	0.8261141777038574	0.9713074564933777	0.9719492793083191	0.9706992506980896
13	ar	en	0.7660605311393738	0.7665279507637024	0.7651862502098083	0.9605171084403992	0.9606613516807556	0.9604324698448181
14	ur	en	0.7103691101074219	0.7167650461196899	0.7034482955932617	0.951117753982544	0.9522765278816223	0.9500293135643005
15	bn	en	0.7748296856880188	0.7766056060791016	0.7726496458053589	0.9619970917701721	0.9623593091964722	0.9616901278495789
16	my	en	0.5944216251373291	0.6005731821060181	0.5874994397163391	0.9315488338470459	0.9326989054679871	0.9304912090301514
17	ta	en	0.6980841755867004	0.6832596063613892	0.7126337885856628	0.9490443468093872	0.9466310739517212	0.9515770673751831
18	am	en	0.5900283455848694	0.5971645712852478	0.582231879234314	0.9308072924613953	0.9321246147155762	0.929603636264801
19	mr	en	0.7302383780479431	0.7364488244056702	0.7235612273216248	0.9544711709022522	0.9555932283401489	0.9534184336662292
20	fr	en	0.7077975273132324	0.7144462466239929	0.7007921934127808	0.9506837129592896	0.9518858790397644	0.9495816826820374
21	km	en	0.6097508072853088	0.6077619791030884	0.6114562749862671	0.9341359734535217	0.9339101910591125	0.9345280528068542
22	hi	en	0.8156456351280212	0.818031370639801	0.8128835558891296	0.9688857197761536	0.9693393111228943	0.9684697389602661
23	ti-er	en	0.5233256816864014	0.5406637191772461	0.5053037405014038	0.9195496439933777	0.922604501247406	0.9166408181190491
24	ti	en	0.5687273144721985	0.5856007933616638	0.5512590408325195	0.9272122383117676	0.9301761984825134	0.9243844747543335
