	Unnamed: 0.1	Unnamed: 0	targetLang	system score
0	0	0	fa	0.8800987879435221
1	1	1	ps	0.8192391938113031
2	2	2	zh	0.8738113726888385
3	3	3	pt-BR	0.900737671369598
4	4	4	ms	0.8900571532121726
5	5	5	so	0.6616730437534196
6	6	6	ru	0.8620981392690114
7	7	7	ne	0.9050418618463336
8	8	8	id	0.9042383178642818
9	9	9	ar	0.8709616539591835
10	10	10	ur	0.8617731824020545
11	11	11	bn	0.8951977415311905
12	12	12	am	0.8161225304433277
13	13	13	mr	0.8740915010656629
14	14	14	fr	0.8350547758667242
15	15	15	hi	0.9037943925744012
16	0	0	sw	0.8380038953395117
17	1	1	es-LA	0.8979004268277259
