	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	so	about how long have these symptoms been going on?	muddo intee dhan ayay calaamadahan socdeen?	how long have these symptoms lasted?
1	en	so	and all chest pain should be treated this way especially with your age	dhamaan feera xanuunka waa in loo daweeyo sidan gaar ahaan da'daada oo kale	All chest pain should be treated in this way especially at your age
2	en	so	and along with a fever	iyo ay weheliso qandho	and coupled with a fever
3	en	so	and also needs to be checked your cholesterol blood pressure	sidoo kale waxaad u baahanyahay in lagaa hubiyo kolesteroolka dhiig karka	you also need to be checked for hypertension cholesterol
4	en	so	and are you having a fever now?	hadda qandho miyaad leedahay?	Now do you have a fever?
5	en	so	and are you having this chest pain now?	miyaad leedahay feera xanuunkan hadda?	do you have this pain punch now?
6	en	so	and besides do you have difficulty breathing	intaa ka sokow dhib maku qabtaa neefsashada	Besides that, I have difficulty breathing.
7	en	so	and can you tell me what other symptoms are you having along with this?	oo ma ii sheegi kartaa calaamadaha kale ee aad la leedahay tan?	and can you tell me what other symptoms you have with this?
8	en	so	and how high has your fever been	siday ahayd qandhadaada	how was your fever
9	en	so	and i have a cough too	waxaan leeyahay qufac sidoo kale	i have a cough too
10	en	so	and i have a little cold and a cough	waxaan leeyahay xoggaa hargab ah iyo qufac	I have information about colds and coughs.
11	en	so	and i'm really having some bad chest pain today	runtiina maanta waxaan leeyahay xoogaa feera xanuun ba'an	And indeed today I have a little sore chest pain
12	en	so	and is this the right time for your hay fever	waa waqtigii ugu haboonaa ee samboorkaaga	It's the right time for your lungs
13	en	so	and it get the chest pain	oo xanuun feeraha ah ayaa ku dhacay	and suffered a pain in the ribs
14	en	so	and i think i have a little bit of a fever	waxaan u malaynayaa in aan leeyahay wax yar oo qandha ah	i think I have a little bit of fever
15	en	so	and i want you to describe where the chest pain is	waxaan rabaa in aad qeexdo mesha feeraha ka xanuunayaan	I want you to describe where the ribs are aching
16	en	so	and they're having some fevers as well	sidoo kale waxay leeyihiin xoggaa qandhaha sidoo kale	they also have fever data as well
17	en	so	and with your history of diabetes	iyo la jiranka taariikhdaada sokorawga ah	and with your diabetes history
18	en	so	and you know it feels like my chest is like gonna crush	waad ogtahay waxaan dareemaa sidii in ay laabtu i dilaacayso	You know I feel like my chest is bursting
19	en	so	and you know people cough on me all the time	waad ogtahay dadka way igu qufacaan xilli kasta	you know people cough at me every time
20	en	so	and you're having chest pain	ma waxaad leedahay feera xanuun	Do you have chest pain?
21	en	so	and you said this is a pressure in your chest	waxaad na dhahdey waxaa ku leedahay cadaadis laabtaada	"You said to us, ""You have pressure in your chest."""
22	en	so	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	qof kasta oo qoyska kamid oo qaba wadne xanuun cudduradda wadnaha dhibatooyin wadnaha ah kolesterool sare dhiig karka oo sare	anyone in the family who has a heart disease heart disease heart problems high cholesterol high blood pressure
23	en	so	any other symptoms or problems that you notice with the muscle aches?	calaamado ama dhibaatooyin kale oo aad ku aragto muruq xanuunka?	other symptoms or problems you see in the muscle aches?
24	en	so	are there other people sick as you at home with your same symptoms?	majiraan dad kale oo u xanuunsan sidaada oo kale oo gurigaaga kula joogo oo leh calaamadahaaga oo kale?	are there other people who are sick like you and are at home with you with your symptoms?
25	en	so	are you having any other symptoms?	miyaad leedahay wax calaamado oo kale?	Do you have any other symptoms?
26	en	so	are you having any shortness of breath?	miyaad leedahay wax neefshada oo yaraata ah?	Do you have any shortness of breath?
27	en	so	are you still having the chest pain	wali miyaad leedahay xanuunkii feeraha	Do you still have the pain of the ribs?
28	en	so	because this is flu season	sababtoo ah waa xilli hargabeed	because it is flu season
29	en	so	but also we shouldn't be put aside for the heart cardiac origin chest pain	lakiin sidoo kale waa in aan dhinac iska dhigin laab xanuun  ka dhashay wadna xanuunka	but also we should not put aside chest pain caused by heart disease
