	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	sw	about how long have these symptoms been going on?	je, dalili hizi zimekuwa zikiendelea kwa takriban muda gani sasa?	How long have these symptoms been going on?
1	en	sw	and all chest pain should be treated this way especially with your age	na maumivu ya kifua yanapaswa kutibiwa hivi hasa umri wako ukizingatiwa	Chest pain should be treated this way especially when your age is considered
2	en	sw	and along with a fever	pamoja na joto jingi mwilini	With the heat of the body
3	en	sw	and also needs to be checked your cholesterol blood pressure	na pia kiwango chako cha kolesteroli na shinikizo la damu linapaswa kupimwa	Your cholesterol and blood pressure should also be measured.
4	en	sw	and are you having a fever now?	na je, una joto jingi mwilini sasa?	Do you have a lot of heat in your body now?
5	en	sw	and are you having this chest pain now?	na je, una maumivu haya ya kifua sasa?	And do you have this chest pain now?
6	en	sw	and besides do you have difficulty breathing	kando na hayo, je una matatizo ya kupumua	On the other hand, do you have problems with the body?
7	en	sw	and can you tell me what other symptoms are you having along with this?	na unaweza kuniambia ni dalili zipi zingine ulizo nazo pamoja na hizi?	and can you tell me what other clues you have with these?
8	en	sw	and how high has your fever been	na umekuwa na joto jingi mwilini lililo kali kiasi gani	You've had a lot of heat
9	en	sw	and i have a cough too	na nina kikohozi pia	I've got a cough too.
10	en	sw	and i have a little cold and a cough	ninahisi mafua kidogo na kikohozi	I'm feeling a bit of pain and pain
11	en	sw	and i'm really having some bad chest pain today	na nina maumivu mabaya sana ya kifua leo	I'm having a lot of pain today.
12	en	sw	and is this the right time for your hay fever	na huu ndio wakati mwafaka wa homa yako ya mzio	And this is the right time for your allergy fever
13	en	sw	and it get the chest pain	na ninapata maumivu ya kifua	and I get chest pains
14	en	sw	and i think i have a little bit of a fever	na ninafikiri nina joto mwilini kiasi	I think I'm too hot
15	en	sw	and i want you to describe where the chest pain is	na ninataka ufafanue mahali ambapo pana maumivu ya kifua	I want to know where the pain is.
16	en	sw	and they're having some fevers as well	na ana joto mwilini pia	It's also hot water
17	en	sw	and with your history of diabetes	na kwa historia yako ya kisukari	and for your diabetes history
18	en	sw	and you know it feels like my chest is like gonna crush	na unajua ninahisi kana kwamba kifua changu kitapasuka	and you know I feel like my chest is going to burst
19	en	sw	and you know people cough on me all the time	na unafahamu kuwa watu hunikoholea kila wakati	You know that people are always looking for me.
20	en	sw	and you're having chest pain	na una maumivu ya kifua	and you've got chest pain
21	en	sw	and you said this is a pressure in your chest	na ulisema kwamba hili ni shinikizo kwenye kifua chako	And you said this is a pressure on your chest.
22	en	sw	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	mtu yeyote katika familia ana tatizo la moyo, ugongwa wa moyo,mshtuko wa moyo, kiwango cha juu cha kolesteroli, shinikizo la damu	Anyone in the family has heart problems, heart attack, high cholesterol, high blood pressure.
23	en	sw	any other symptoms or problems that you notice with the muscle aches?	kuna dalili zozote zingine au matatizo unayoona pamoja kwa maumivu ya misuli?	Are there any other symptoms or problems you see together for muscle pain?
24	en	sw	are there other people sick as you at home with your same symptoms?	je, kuna watu wengine ambao ni wagonjwa kama wewe walio nyumbani na dalili sawa na zako?	Are there other people who are sick like you who are at home with the same symptoms as yours?
25	en	sw	are you having any other symptoms?	je, una dalili zozote zingine?	Do you have any other symptoms?
26	en	sw	are you having any shortness of breath?	je, unahisi kukatika kwa pumzi?	Do you feel shortness of breath?
27	en	sw	are you still having the chest pain	je, bado una maumivu ya kifua	Do you still have chest pain?
