	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ta	 about how long have these symptoms been going on? 	இந்த அறிகுறிகள் எவ்வளவு காலமாக இருந்து வருகின்றன?	How long have these symptoms been there?
1	en	ta	 and all chest pain should be treated this way especially with your age 	அனைத்து மார்பு வலிகளுக்கும் இந்த வழியில் தான் சிகிச்சை அளிக்கப்பட வேண்டும், குறிப்பாக உங்கள் வயதில்	This is the way all chest pains should be treated, especially at your age.
2	en	ta	 and along with a fever 	மேலும், காய்ச்சலுடன்	Also, with fever
3	en	ta	 and also needs to be checked your cholesterol blood pressure 	உங்கள் இரத்தக் கொழுப்பும், இரத்த அழுத்தமும் சோதிக்கப்பட வேண்டும்	Your blood cholesterol and blood pressure should be checked
4	en	ta	 and are you having a fever now? 	மேலும், உங்களுக்கு தற்போது காய்ச்சல் உள்ளதா?	Also, do you currently have a fever?
5	en	ta	 and are you having this chest pain now? 	மேலும், உங்களுக்கு தற்போது மார்பு வலி உள்ளதா?	Also, do you currently have chest pain?
6	en	ta	 and besides do you have difficulty breathing 	மேலும் இதைத் தவிர உங்களுக்கு மூச்சு விடுவதில் சிரமம் உள்ளதா	And apart from this, do you have difficulty in breathing?
7	en	ta	 and can you tell me what other symptoms are you having along with this? 	மேலும் இதனுடன் சேர்ந்து உங்களுக்கு வேறு என்ன அறிகுறிகள் தென்படுகின்றன என்று என்னிடம் நீங்கள் சொல்ல முடியுமா?	And can you tell me what other symptoms you show along with this?
8	en	ta	 and how high has your fever been 	மேலும், உங்கள் காய்ச்சல் எந்தளவு அதிகமாக இருந்து வருகிறது	Also, how high your fever has been
9	en	ta	 and i have a cough too 	மேலும், எனக்கு இருமலும் உள்ளது	Also, I have a cough
10	en	ta	 and i have a little cold and a cough 	மேலும், எனக்கு மிதமான சளி மற்றும் இருமல் உள்ளது	Also, I have a mild cold and cough
11	en	ta	 and i'm really having some bad chest pain today 	மேலும், எனக்கு இன்று கொஞ்சம் மோசமாகவே மார்பு வலி உள்ளது	Also, I have a little bit of bad chest pain today.
12	en	ta	 and is this the right time for your hay fever 	இது உங்களுக்கு தூசியால் வரும் சளிக்காய்ச்சல் ஏற்படக்கூடிய நேரமா	Is this the time when you may get a hay fever from dust?
13	en	ta	 and it get the chest pain 	மேலும், மார்பு வலி வருகிறது	Also, chest pain comes up
14	en	ta	 and i think i have a little bit of a fever 	மேலும், எனக்கு மிதமான காய்ச்சல் இருப்பதாக நான் நினைக்கிறேன்	Also, I think I have a mild fever
15	en	ta	 and i want you to describe where the chest pain is 	மேலும், மார்பு வலி எங்கே ஏற்படுகிறது என்பதையும் என்னிடம் நீங்கள் விவரிக்க வேண்டும்	Also, you need to explain to me where the chest pain occurs.
16	en	ta	 and they're having some fevers as well 	மேலும், அவர்களுக்கு சிறிது காய்ச்சலும் உள்ளது	Also, they also have some fever
17	en	ta	 and with your history of diabetes 	மற்றும், உங்களுடைய நீரிழிவு நோய் வரலாற்றுடன்	And, with your history of diabetes mellitus
18	en	ta	 and you know it feels like my chest is like gonna crush 	மேலும், என் மார்பே நொறுங்கப் போவது போல உணர்வேன் என்பது உங்களுக்குத் தெரியும்	Also, you know, I'll feel like my marpe is about to crumble.
19	en	ta	 and you know people cough on me all the time 	அத்தோடு, உங்களுக்கே தெரியும், எல்லா நேரங்களிலும் மக்கள் என் மீது இருமுகிறார்கள்	Plus, you know, people cough at me all the time.
20	en	ta	 and you're having chest pain 	மேலும், உங்களுக்கு மார்பு வலி உள்ளது	Also, you have chest pain
21	en	ta	 and you said this is a pressure in your chest 	மேலும்,, இது உங்கள் மார்பில் அழுத்தமாக உள்ளது என்று நீங்கள் சொன்னீர்கள்	Also, you said that it's pressure on your chest
22	en	ta	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	குடும்பத்தில் யாருக்காவது இதய பிரச்சினை, இதய நோய், மாரடைப்பு, உயர் இரத்த கொழுப்பு, உயர் இரத்த அழுத்தம் உள்ளதா	Does anyone in the family have a heart problem, heart disease, heart attack, high blood cholesterol, high blood pressure
23	en	ta	 any other symptoms or problems that you notice with the muscle aches? 	தசை வலியுடன் கூடவே வேறு ஏதேனும் அறிகுறிகளோ அல்லது பிரச்சினைகளோ இருப்பதைக் கவனித்தீர்களா?	Have you noticed that there are any other symptoms or problems along with muscle pain?
24	en	ta	 are there other people sick as you at home with your same symptoms? 	உங்களுக்கு இருக்கும் அதே அறிகுறிகளுடன் வீட்டில் வேறு யாரேனும் உடல் நலம் பாதிக்கப்பட்டு இருக்கிறார்களா?	Is there anyone else at home who is ill with the same symptoms as you have?
25	en	ta	 are you having any other symptoms? 	உங்களுக்கு வேறு ஏதேனும் அறிகுறிகள் உள்ளனவா?	Do you have any other symptoms?
26	en	ta	 are you having any shortness of breath? 	உங்களுக்கு மூச்சுத் திணறல் ஏற்படுகிறதா?	Do you have shortness of breath?
27	en	ta	 are you still having the chest pain 	தற்போதும் உங்களுக்கு மார்பு வலி இருக்கிறதா	Do you still have chest pain?
28	en	ta	 because this is flu season 	ஏனெனில், இது சளிக்காய்ச்சல் தொற்று ஏற்படும் பருவ காலம்.	This is because it is the season when the flu infection occurs.
29	en	ta	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	மார்பு வலி இதயக் கோளாறின் அறிகுறியாக இருக்கலாம் என்பதால் அதை ஒதுக்கி வைக்கக் கூடாது	Chest pain should not be brushed aside as it can be a sign of a heart disorder
30	en	ta	 but a more important problem now is this chest pain 	ஆனால் தற்போது அதை விட முக்கியமான பிரச்சினை, இந்த மார்பு வலி தான்	But at present the more important issue than that is, this is chest pain
31	en	ta	 but i have difficulty breathing 	ஆனால் எனக்கு மூச்சு விட சிரமமாக உள்ளது	But I have difficulty breathing
32	en	ta	 but i know lot of people cough on me 	ஆனால் நிறைய பேர் என் அருகே இருமுவது எனக்குத் தெரியும்	But I know a lot of people are coughing near me.
33	en	ta	 but we need to treat every chest pain with the utmost seriousness 	ஆனால் ஒவ்வொரு மார்பு வலிக்கும் நாம் மிகத் தீவிரமாக சிகிச்சை அளிக்க வேண்டும்	But we need to treat every chest pain very seriously.
34	en	ta	 but you're breathing all right right now right? 	ஆனால் தற்போது நீங்கள் நன்றாக மூச்சுவிடுகிறீர்கள், சரியா?	But right now you're breathing well, okay?
35	en	ta	 'cause of this chest pain i totally forgot 	இந்த மார்பு வலியால் நான் மொத்தமாக மறந்து விட்டேன்	I have completely forgotten because of this chest pain
36	en	ta	 does it feel like somebody squeezing your chest 	உங்கள் மார்பை யாரோ அழுத்துவதைப் போல உணருகிறீர்களா	Do you feel like someone is pressing your chest
37	en	ta	 do still feel like shortness of breath 	மூச்சு விட முடியாதது போன்ற உணர்வு தற்போதும் உள்ளதா	Do you still feel like you can't breathe?
38	en	ta	 do they complain of being sick similar symptoms? 	அவர்கள் அதே நோய் அறிகுறிகளுடன் உடல் நலமின்றி இருப்பதாகக் கூறுகிறார்களா?	Do they claim to be unwell with the same symptoms?
39	en	ta	 do you have any other chronic like high blood pressure or anything like that? 	உங்களுக்கு உயர் இரத்த அழுத்தம் போன்ற நாட்பட்ட நோய்கள் அல்லது அதைப் போன்ற வேறு ஏதேனும் உள்ளதா?	Do you have chronic diseases like high blood pressure or something similar?
40	en	ta	 do you have any other diseases chronic medical problems like diabetes? 	உங்களுக்கு நீரிழிவு நோய் போல வேறு ஏதேனும் நாட்பட்ட நோய்கள் உள்ளனவா?	Do you have any other chronic diseases like diabetes?
41	en	ta	 do you have any shortness of breath with that chest pain? 	உங்களுக்கு மார்பு வலியுடன் கூடவே மூச்சு திணறல் ஏற்படுகிறதா?	Do you have shortness of breath along with chest pain?
42	en	ta	 do you have high blood pressure? 	உங்களுக்கு உயர் இரத்த அழுத்தம் உள்ளதா?	Do you have high blood pressure?
43	en	ta	 do you have some shortness of breath goes with that? 	அதனுடன் உங்களுக்கு மூச்சுத் திணறலும் ஏற்படுகிறதா?	Do you also have shortness of breath with it?
44	en	ta	 do you know what symptoms she was having? 	அவளுக்கு என்னென்ன நோய் அறிகுறிகள் இருந்தன என்று உங்களுக்குத் தெரியுமா?	Do you know what symptoms she had?
45	en	ta	 do you see the image? 	அந்த உருவப்படத்தை நீங்கள் பார்த்தீர்களா?	Have you seen that portrait?
46	en	ta	 drink plenty of fluids today 	இன்று ஏராளமான திரவங்களைப் பருகவும்	Drink plenty of fluids today
