	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ti-er	 about how long have these symptoms been going on? 	እዞም ምልክታት ካብ መዓስ ጀሚሮም ይቅጽሉ ኣለዉ፥	How long have these symptoms been going on?
1	en	ti-er	 and all chest pain should be treated this way especially with your age 	ከምኡ’ውን ኩሉ ናይ ኣፍልቢ ቃንዛታት በዚ መንገዲ ክሕከም/ክንክን ክረክብ ኣለዎ፡ ኣብ ናትካ ክሊ ዕድመ	All chest pains should be treated in this way at your age.
2	en	ti-er	 and along with a fever 	ከምኡ’ውን ምስ ረስኒ	And with the fever
3	en	ti-er	 and also needs to be checked your cholesterol blood pressure 	ከምኡ’ውን ናይ ኮለስትሮል ጸቅጢ ደምካ ክትምርመር የድልየካ ኢዩ	You also need to test your blood pressure.
4	en	ti-er	 and are you having a fever now? 	ከምኡ’ውን ሕጂ ረስኒ ኣለካ ዲዩ፥	Now you have a fever.
5	en	ti-er	 and are you having this chest pain now? 	ከምኡ’ውን ሕጂ እዚ ናይ ኣፍልቢ ቃንዛ ኣሎካ ዲዩ፥	Do you have chest pain?
6	en	ti-er	 and besides do you have difficulty breathing 	ጎኒ ጎኒ ድማ ዝኾነ ጸገም ናይ ምስትንፋስ ኣሎካ ዲዩ፥	On the other side, you have difficulty breathing.
7	en	ti-er	 and can you tell me what other symptoms are you having along with this? 	ምስዚ ዝተሓሓዝ ካእ እንታይ ምልክታት ከም ዘሎካ ምነገርካኒዶ፥	Would you like to know the symptoms associated with this?
8	en	ti-er	 and how high has your fever been 	ከምኡ’ውን ክሳብ ክንደይ ኢዩ ረስንኻ ልዕሉ ኔሩ፥	How high your fever is.
9	en	ti-er	 and i have a cough too 	ከምኡ’ውን ሰዓል/ጉንፋዕ ኣሎኒ	I've got a cold
10	en	ti-er	 and i have a little cold and a cough 	ከምኡ’ውን ቁሩብ ዛሕሊ ይስመዓኒ ኣሎ፡ ሰዓል`ውን ኣሎኒ	I'm feeling a little cold and I've got a fever
11	en	ti-er	 and i'm really having some bad chest pain today 	ከምኡ’ውን፡ ሎሚ ብሓቂ፡ ሕማቅ ናይ ኣፍልቢ ቃንዛ ኣሎኒ	I'm having a really bad heart attack today.
12	en	ti-er	 and is this the right time for your hay fever 	ኸምኡውን እዚ ግዜ ነቲ ናይ ሃይ ረስኒኻ ቅኑዕ ግዜ ዲዩ	It's time for your fever
13	en	ti-er	 and it get the chest pain 	ከምኡ’ውን ነቲ ናይ ኣፍልቢ ቃንዛ ይትንክፍ	And touches the chest pain
14	en	ti-er	 and i think i have a little bit of a fever 	ከምኡ’ውን ኩሩብ ረስኒ ዘሎኒ ኮይኑ ይስመዓኒ ኣሎ	I feel like I have a fever
15	en	ti-er	 and i want you to describe where the chest pain is 	እቲ ናይ ኣፍልቢ ቃንዛ ኣበይ ይስመዓካ ከም ዘሎ ክትገልጸለይ ምደለኹ	I'd like you to tell me where you feel the pain
16	en	ti-er	 and they're having some fevers as well 	ከምኡ’ውን፡ ንሳቶም ረስኒ ኣለዎም	He also has a fever.
17	en	ti-er	 and with your history of diabetes 	ከምኡ’ውን ምስቲ ናይ ሕማም ሽኮር ታሪኽካ	And your history of diabetes.
18	en	ti-er	 and you know it feels like my chest is like gonna crush 	ኣፍልበይ ክስበር ክመስል ከምዝስመዓኒ ትፈልጥ ፈሊጥካ ኣለኻ	You know i feel like my heart is broken
19	en	ti-er	 and you know people cough on me all the time 	ትፈልጥ ኢካ ሰባት ኣባይ ኩሉ ግዜ ከም ዝስዕሉ	You know, people are always attracted to me.
20	en	ti-er	 and you're having chest pain 	ከምኡ’ውን ናይ ኣፍልቢ ቃንዛ ኣሎካ	You've got chest pain
21	en	ti-er	 and you said this is a pressure in your chest 	እዚ ትብሎ ዘለኻ ኣብ ኣፍልብኻ ዘሎ ጸቕጢ ኢዩ	What you're saying is the pressure on your heart
22	en	ti-er	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	ካብዞም ኣባላት ስድራቤት ዝኾነ፡ ናይ ልቢ ጸገም፡ መጥቃዕቲ ልቢ፡ ልዑል ኮለስትሮል፡ ልዑል ጸቅጢ ደም ፡ ጸገም ዘለዎ ኣለኩም ዲዩ	Do you have a heart problem, a high cholesterol, high blood pressure?
23	en	ti-er	 any other symptoms or problems that you notice with the muscle aches? 	ዝኾነ ካልእ ቃንዛ ወይ ጸገማት ምስቲ ናይ ጭዋዳ ቃንዛ ዘስተውዓልካዮ ኣሎ ዲዩ፥	Do you have any other pain or problems with the pain?
24	en	ti-er	 are there other people sick as you at home with your same symptoms? 	ካልኦት ልክዕ ከምዚ ናትካ ሕማም ዝሓመሙ ሰባት ኣብ ገዛኻ ኣለዉዶ	Are there other people in your home who are sick?
25	en	ti-er	 are you having any other symptoms? 	ዝኾነ ካልእ ምልክታት ኣሎካዶ፥	Do you have any other symptoms:
26	en	ti-er	 are you having any shortness of breath? 	ዝኾነ ሕጽረት ምስትንፋስ ኣሎካ ዲዩ፥	Do you have a shortness of breath?
27	en	ti-er	 are you still having the chest pain 	እቲ ቃንዛ ኣብ ኣፍልብካ ክሳብ ሕጂ ኣሎካ ዲዩ	Do you still have the pain in your heart?
28	en	ti-er	 because this is flu season 	ምኽንያት ናይ ሰዓል/ጉንፋዕ ወቅቲ ስለ ዝኾነ	Ecause it's the flu season
29	en	ti-er	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	ግን፡ ካብቲ ኣብ ኣፍ ልቢ ዘሎ መበሲ ናይ ልቢ ቃንዛ ክንእለ ኣይንኽእልን ኢና።	Ut we can't avoid the pain in the chest.
30	en	ti-er	 but a more important problem now is this chest pain 	እንተኾነ፡ ሕጂ እቲ ቀንዲ ጸገም ናይ ኣፍልቢ ቃንዛ ኢዩ	However, the main problem is chest pain.
31	en	ti-er	 but i have difficulty breathing 	እንተኾነ ኣብ ምስትንፋስ ጸገማት ኣሎኒ	I've got problems breathing
32	en	ti-er	 but i know lot of people cough on me 	እንተኾነ ብዙሓት ሰባት ናባይ ገጾም ከም ዝሰዓሉ ይፈልጥ ኢየ	I know a lot of people have turned their backs on me.
33	en	ti-er	 but we need to treat every chest pain with the utmost seriousness 	እንተኾነ ን ነፍሲ ወከፍ ናይ ኣፍልቢ ቃንዛ ኣተኪርና ክንሕዞ ኣሎና	However, we need to take a look at each chest pain.
34	en	ti-er	 but you're breathing all right right now right? 	እንተኾነ ግን ሕጂ ጽቡቕ ተስተንፍስ ኣሎኻ ሓቀይ	Ut now you're breathing well, right?
35	en	ti-er	 'cause of this chest pain i totally forgot 	ብሰንኪ እዚ ናይ ኣፍልቢ ቃንዛ ሙሉእ ብሙሉእ ረሲዐይ	I've completely forgotten about the pain
36	en	ti-er	 does it feel like somebody squeezing your chest 	ከምዚ ሰብ ኣፍልብኻ ዝጸቕጠካ ዘሎ ኮይኑዶ ይስመዓካ ኣሎ፥	Do you feel like your heart is breaking?
37	en	ti-er	 do still feel like shortness of breath 	ዝኾነ ሕጽረት ምስትንፋስ ይስመዓካ ኣሎ ዲዩ፥	Do you have a shortness of breath?
38	en	ti-er	 do they complain of being sick similar symptoms? 	ሓደ ዓይነት ዝምልክቱ ሕማም ምሕማሞም ኣዕዘምዚሞም ዲዮም፥	hey have the same symptoms of the disease:
39	en	ti-er	 do you have any other chronic like high blood pressure or anything like that? 	ዝኾነ ሕዱር ሕማም ከም ልዑል ጻቕጢ ደም ወይ ንዕኡ ዝመሳሰል፡ ኣሎካ ዲዩ፥	Do you have a high blood pressure or similar?
40	en	ti-er	 do you have any other diseases chronic medical problems like diabetes? 	ስለዚ ዝኾነ ካልእ ዓይነት ነዊሕ ዝቅጽል ሕማም ፡ከም ሕማም ሽኮር፡ ኣሎካ ዲዩ፥	Do you have any other long-term diabetes?
41	en	ti-er	 do you have any shortness of breath with that chest pain? 	ምስዚ ናይ ኣፍልቢ ቃንዛ ዝኾነ ሕጽረት ምስትንፋስ ኣሎካ ዲዩ፥	Do you have a shortness of breath with this pain?
42	en	ti-er	 do you have high blood pressure? 	ልዑል ጸቕጢ ደም ኣሎካ ዲዩ፥	You have high blood pressure?
43	en	ti-er	 do you have some shortness of breath goes with that? 	ምስዚ ዝኸይድ ሕጽረት ምስትንፋስ ኣሎካ ዲዩ፥	Do you have a shortness of breath?
44	en	ti-er	 do you know what symptoms she was having? 	እንታይ ዓይነት ምልክታት ከም ዘለዋ ፈሊጥካ ዲኻ፥	Do you know what kind of symptoms you have?
45	en	ti-er	 do you see the image? 	ነቲ ስእሊ ሪኢኻዮዶ፥	You've seen the picture:
46	en	ti-er	 drink plenty of fluids today 	ሎሚ ብዙሕ ፈሳሲ ስተ	Drink plenty of fluids today.
47	en	ti-er	 however i take tests for the diabetes 	እንተኾነ ናይ ሕማም ሽኮር መርመራ ጌረ ኔረ፥	I've been tested for diabetes.
48	en	ti-er	 however she has symptoms quite similar to mine 	እንተኾነ ምስዚ ናተይ ዝመሳሰል ምልክታት ኣለዋ	I've got similar symptoms
49	en	ti-er	 how high is your fever? 	እቲ ረስኒ ክሳብ ክንደይ ልዒሉ ኣሎ፥	How high is the fever.
50	en	ti-er	 how' s your blood pressure? 	ጸቅጢ ደምካ ከመይ ኣሎ፥	What's your blood pressure?
51	en	ti-er	 if you continue to have high fevers 	ልዕል ረስኒ ከም ዘለዎ እንተቀጺሉ	If you have a high fever
