	sourceLang	targetLang	sourceString	targetString	en-mt
0	en	ti	 about how long have these symptoms been going on? 	 እዞም ምልክታት ካብ ዝጅምሩ ክንደይ ጊዜ ኮይኑዎም? 	 How long have these symptoms been going on? 
1	en	ti	 and all chest pain should be treated this way especially with your age 	 ኩሉ ዓይነት ናይ ደረት ቃንዛ ብኸምዚ ዓይነቱ እዩ ክሕከም ዝግብኦ፣ ብተለይ ብናትካ/ኪ ዕድመ 	 All types of chest pain should be treated in this way, specially your age. 
2	en	ti	 and along with a fever 	 ምስ ረስኒ ብሓደ 	 With a fever. 
3	en	ti	 and also needs to be checked your cholesterol blood pressure 	 ብተወሳኺ ናይ ኮሌስትሮልካን ናይ ደም ጸቕጢኻን እውን ክልካዕ ኣለዎ 	 You should also measure your cholesterol and blood pressure 
4	en	ti	 and are you having a fever now? 	 ሐዚ ረስኒ ኣለካ/ኪ ዶ? 	 Do you have a fever? 
5	en	ti	 and are you having this chest pain now? 	 እሞ ሐዚ እዚ ናይ ደረት ቃንዛ ኸ ይስመዓካ/ኪ ዶ ኣሎ? 	 Do you feel the pain now? 
6	en	ti	 and besides do you have difficulty breathing 	 ብተወሳኺ ናይ ምትንፋስ ጸገም ከ ኣለካ/ኪ ዶ? 	 Do you have difficulty breathing? 
7	en	ti	 and can you tell me what other symptoms are you having along with this? 	 እሞ ምስ እዚ ካላኦት እተርእዮም ምልክታት እንተሃልዮም ዶ ክትነግረኒ/ርኒ? 	 Can you tell me if you have any other symptoms? 
8	en	ti	 and how high has your fever been 	 እቲ ረስኒኻ/ኺ ኸ ክሳብ ክንደይ ከይዱ ነይሩ 	 How much has been the fever. 
9	en	ti	 and i have a cough too 	 ስዓል እውን ኣለኒ 	 I've got a name too 
10	en	ti	 and i have a little cold and a cough 	 ንእሽተይ ጉንፋዕን ሰዓልን እውን ኣለኒ 	 I've got a fever and cough 
11	en	ti	 and i'm really having some bad chest pain today 	 ሎሚ ብጣዕሚ ሓያል ናይ ደረት ቃንዛ እውን ይስመዓኒ ኣሎ 	 Oday, I'm feeling a lot of pain 
12	en	ti	 and is this the right time for your hay fever 	 እሞ ሐዚ እዚ ን ናይ ሃይ ረስኒኻ ትኽክለኛ ጊዜ ድዩ 	 Now is the time for your fever. 
13	en	ti	 and it get the chest pain 	 ካብኡ ናይ ደረት ቃንዛ ረኸበ 	 He found the pain in his chest. 
14	en	ti	 and i think i have a little bit of a fever 	 ንእሽተይ ረስኒ ዘለኒ እውን ይመስለኒ 	 I think I have a fever 
15	en	ti	 and i want you to describe where the chest pain is 	 እቲ ናይ ደረት ቃንዛ ኣበይ ከምዘሎ እውን ክትገልጸለይ/ጽለይ ይድሊ እዬ 	 I'm going to tell you where the pain is 
16	en	ti	 and they're having some fevers as well 	 ንሳቶም እውን ዝተወሰነ ረስኒ ኣለዎም 	 They also have a fever. 
17	en	ti	 and with your history of diabetes 	 ምስ ናይ ሽኮርያ ታሪኽካ/ኪ እውን 	 With the history of diabetes 
18	en	ti	 and you know it feels like my chest is like gonna crush 	 ትፈልጥ ዲኻ ደረተይ ክፍንድእ ዝበለ ዓይነት ኮይኑ እዩ ዝስመዓኒ 	 You know, I feel like I'm broken 
19	en	ti	 and you know people cough on me all the time 	 ሰባት ኩልሻብ ከምዝስዕሉለይ ትፈልጥ ኢኻ/ኺ 	 You know that people are always looking at me. 
20	en	ti	 and you're having chest pain 	 ናይ ደረት ቃንዛ እውን ኣልካ/ኪ 	 You've got chest pain 
21	en	ti	 and you said this is a pressure in your chest 	 እዚ ጸቕጢ ኣብ ደረት እዩ ኢልካ ኣለኻ/ኺ 	 You're saying the pressure is on the 
22	en	ti	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	 ዝኾነ ካብ ቤተሰብ ናይ ልቢ ጸገም፣ ልቢ ሕማም፣ ልቢ ድኻም፣ ልዑል ኮሌስትሮልን ልዑል ናይ ደም ጸቕጢ ዘለዎ ኣሎ 	 Anyone in the family has heart problems, heart disease, heart disease, heart disease, high cholesterol and high blood pressure 
23	en	ti	 any other symptoms or problems that you notice with the muscle aches? 	 ምስ እቲ ናይ ጭዋዳ ቃንዛ ዝኾኑ ዝተዓዘብካዮም/ክዮም ኻልኦት ምልክታት ዋላ ጸገማት ኣለዉ ዶ? 	 Have you noticed any other symptoms of the pain? 
24	en	ti	 are there other people sick as you at home with your same symptoms? 	 ክም እዚ ከማኻ/ኺ ተመሳሳሊ ምልክት ዘለዎም ካልኦት ሰባት ኣብ ገዛ ኣለዉ ዶ? 	 Is there any other people at home who have the same symptoms as you? 
25	en	ti	 are you having any other symptoms? 	 ካልኦት ምልክታት ይርኣየካ/ኪ ኣሎ ዶ? 	 Do you have any other symptoms? 
26	en	ti	 are you having any shortness of breath? 	 ዝኾነ ናይ ትንፋስ ምሕጻር ኣለካ/ኪ ዶ? 	 Do you have any breathing? 
27	en	ti	 are you still having the chest pain 	 ሐዚ እውን እቲ ናይ ደረት ቃንዛ ይስመዓካ/ኪ ዶ ኣሎ 	 Do you still feel the pain? 
28	en	ti	 because this is flu season 	 ምኽንያቱ ድማ እዚ ናይ ፍሉ ወቕቲ እዩ 	 Ecause this is the special season. 
29	en	ti	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	 ክምኡ እውን ነቲ ካብ ናይ ልቢ ጸገም ዝብገስ ናይ ደረት ቃንዛ ክንገድፎ የብልናን 	 We don't have to let go of chest pain that arises from heart problems 
30	en	ti	 but a more important problem now is this chest pain 	 ይኹን እምበር ሐዚ እቲ ዝገደደ ጸገም እቲ ናይ ደረት ቃንዛ እዩ 	 However, the biggest problem now is the pain. 
31	en	ti	 but i have difficulty breathing 	 ናይ ምትንፋስ ጸገም ግና ኣለኒ 	 But I've got trouble breathing 
32	en	ti	 but i know lot of people cough on me 	 ይኹንደኣ እምበር ብዙሓት ሰባት ከምዝሰዐሉለይ ይፈልጥ 	 I know a lot of people have seen me 
33	en	ti	 but we need to treat every chest pain with the utmost seriousness 	 ይኹን እምበር ሕድሕድ ናይ ደረት ቃንዛ ብዝለዓለ ዕቱብነት ክንሕክም ኣለና 	 However, we need to treat each other's pain 
34	en	ti	 but you're breathing all right right now right? 	 ግና ሐዚ ጽቡቅ ትትንፍስ ኣለኻ/ኺ ትኽክል ዶ? 	 Are you breathing well now? 
35	en	ti	 'cause of this chest pain i totally forgot 	 በዚ ናይ ደረት ቃንዛ ዘተላዓለ መሊእይ ረሲዐዮ 	 I've forgotten about this pain 
36	en	ti	 does it feel like somebody squeezing your chest 	 ዝኾነ ሰብ ደረትካ/ኪ እንጸሞቖ ዓይነት ከምዝኾነ ድዩ ዚስማዓካ.ኪ? 	 Does anyone feel that your chest is the kind of thing that we can be satisfied with? 
37	en	ti	 do still feel like shortness of breath 	 ሐዚ እውን ናይ ትንፋስ ምሕጻር ዓይነት ይስመዓኒ ኣሎ 	 I'm still breathing 
