	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_id	translated
0	en	bn	 about how long have these symptoms been going on? 	আনুমানিক কতদিন ধরে এই লক্ষণগুলি চলছে?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এই লক্ষণগুলো কতদিন ধরে চলছে?
1	en	bn	 and all chest pain should be treated this way especially with your age 	এবং সমস্ত বুকে ব্যাথা এইভাবে চিকিৎসা করা উচিৎ বিশেষ করে আপনার বয়সে	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং সমস্ত বুকে ব্যথা বিশেষ করে আপনার বয়সের সাথে এইভাবে চিকিত্সা করা উচিত
2	en	bn	 and along with a fever 	আর তার সাথে জ্বরও	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং জ্বরের সাথে
3	en	bn	 and also needs to be checked your cholesterol blood pressure 	আর আপনার কোলেস্টেরল এবং রক্তচাপও পরীক্ষা করতে হবে	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং আপনার কোলেস্টেরল রক্তচাপও পরীক্ষা করা দরকার
4	en	bn	 and are you having a fever now? 	আর আপনার কি এখন জ্বর আছে?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	আর তোমার কি এখন জ্বর হচ্ছে?
5	en	bn	 and are you having this chest pain now? 	আর এখন আপনার এই বুকের ব্যাথাটি হচ্ছে?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	আর তোমার কি এখন এই বুকে ব্যাথা হচ্ছে?
6	en	bn	 and besides do you have difficulty breathing 	আর তাছাড়া আপনার কি শ্বাস নিতে অসুবিধা হয়	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	তাছাড়া আপনার শ্বাস নিতে কষ্ট হচ্ছে
7	en	bn	 and can you tell me what other symptoms are you having along with this? 	এবং এর সাথে আপনার আর কী কী লক্ষণ আছে তা আমাকে বলবেন?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং আপনি কি আমাকে বলতে পারেন এর সাথে আপনার অন্যান্য লক্ষণগুলি কী?
8	en	bn	 and how high has your fever been 	আর আপনার জ্বর কতটা উঠেছে	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং আপনার জ্বর কতটা বেড়েছে
9	en	bn	 and i have a cough too 	আর আমার কাশিও হয়েছে	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং আমারও কাশি আছে
10	en	bn	 and i have a little cold and a cough 	আর আমার একটু সর্দি কাশি হয়েছে	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং আমার একটু সর্দি ও কাশি আছে
11	en	bn	 and i'm really having some bad chest pain today 	এবং আমার আজ সত্যিই বুকে খুব ব্যাথা হচ্ছে	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং আমি সত্যিই আজ কিছু খারাপ বুকে ব্যথা করছি
12	en	bn	 and is this the right time for your hay fever 	এবং এই সময়েই খড় জ্বর হয়ে থাকে	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং এই আপনার খড় জ্বর জন্য সঠিক সময়
13	en	bn	 and it get the chest pain 	আর এতে বুকে ব্যাথা হতে পারে	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং এটা বুকে ব্যথা পেতে
14	en	bn	 and i think i have a little bit of a fever 	আর আমার মনে হয় আমার অল্প জ্বরও আছে	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	bnU0I=	এবং আমার মনে হয় আমার একটু জ্বর আছে
