	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	hi	 about how long have these symptoms been going on? 	ये लक्षण लगभग कितने समय से चल रहे हैं?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	ये लक्षण कितने समय से चल रहे हैं?
1	en	hi	 and all chest pain should be treated this way especially with your age 	और विशेष रूप से आपकी आयु वाले व्यक्तियों में छाती में दर्द होने के सभी मामलों का उपचार इस तरह से किया जाना चाहिए	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और सभी सीने के दर्द का इलाज इसी तरह से किया जाना चाहिए, खासकर आपकी उम्र के साथ
2	en	hi	 and along with a fever 	और बुखार के साथ	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और बुखार के साथ
3	en	hi	 and also needs to be checked your cholesterol blood pressure 	और आपके कोलेस्ट्रॉल रक्तचाप की जाँच भी की जानी चाहिए	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और आपके कोलेस्ट्रॉल ब्लड प्रेशर की भी जांच होनी चाहिए
4	en	hi	 and are you having a fever now? 	और क्या आपको अभी बुखार है?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और क्या आपको अभी बुखार हो रहा है?
5	en	hi	 and are you having this chest pain now? 	और क्या अब आपको छाती में यह दर्द हो रहा है?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और क्या अब आपको यह सीने में दर्द हो रहा है?
6	en	hi	 and besides do you have difficulty breathing 	और इसके अलावा क्या आपको साँस लेने में कठिनाई होती है	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और इसके अलावा आपको सांस लेने में कठिनाई होती है
7	en	hi	 and can you tell me what other symptoms are you having along with this? 	और क्या आप मुझे बता सकते हैं कि इसके साथ-साथ आपके और क्या लक्षण हैं?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और क्या आप मुझे बता सकते हैं कि इसके साथ आपको और कौन से लक्षण हैं?
8	en	hi	 and how high has your fever been 	और आपका बुखार कितना उच्च रहा है	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और तुम्हारा बुखार कितना तेज हो गया है
9	en	hi	 and i have a cough too 	और मुझे खांसी भी है	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और मुझे खांसी भी है
10	en	hi	 and i have a little cold and a cough 	और मुझे थोड़ी सर्दी और खांसी है	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और मुझे थोड़ी सर्दी और खांसी है
11	en	hi	 and i'm really having some bad chest pain today 	और आज मेरी छाती में वाकई बुरा दर्द हो रहा है	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और मुझे आज वास्तव में सीने में दर्द हो रहा है
12	en	hi	 and is this the right time for your hay fever 	और क्या यह आपके हे फीवर के लिए सही समय है	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और क्या यह आपके घास के बुखार के लिए सही समय है
13	en	hi	 and it get the chest pain 	और इससे छाती में दर्द होता है	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और सीने में दर्द होता है
14	en	hi	 and i think i have a little bit of a fever 	और मुझे लगता है कि मुझे थोड़ा बुखार है	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और मुझे लगता है कि मुझे थोड़ा सा बुखार है
15	en	hi	 and i want you to describe where the chest pain is 	और मैं चाहता हूँ कि आप छाती में दर्द का स्थान बताएं	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और मैं चाहता हूं कि आप बताएं कि सीने में दर्द कहां होता है
16	en	hi	 and they're having some fevers as well 	और उन्हें कुछ बुखार भी है	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और उन्हें कुछ बुखार भी हो रहा है
17	en	hi	 and with your history of diabetes 	और आपके मधुमेह का इतिहास भी	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	और आपके मधुमेह के इतिहास के साथ
