	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	ln	 about how long have these symptoms been going on? 	basymptomi oyo ewumeli mikolo boni?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	soki bilembo yango esili koleka banda kala?
1	en	ln	 and all chest pain should be treated this way especially with your age 	mpe bampasi nyonso ya ntolo esengeli esalisama mpona kobika lolenge oyo mpona mibu na yo	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	mpe mpasi nyonso ya ntolo esengeli kozwa lisalisi boye mingimingi na mbula na yo
2	en	ln	 and along with a fever 	mpe elongo na fefele	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	mpe elongo na fièvre
3	en	ln	 and also needs to be checked your cholesterol blood pressure 	mpe esengeli kotala tansio ya cholesterole na yo	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	mpe esengeli mpe kotala tansiɔ na yo ya cholestérol
4	en	ln	 and are you having a fever now? 	mpe yo ozali na fefele sikoyo?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	pe ozali na fièvre sikoyo?
5	en	ln	 and are you having this chest pain now? 	mpe ozali na mpasi na ntolo sikoyo?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	pe ozali na pasi oyo ya ntolo sikoyo?
6	en	ln	 and besides do you have difficulty breathing 	mpe ozali na mpasi ya kopema	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	mpe en plus ozali na difficulté ya kopema
7	en	ln	 and can you tell me what other symptoms are you having along with this? 	mpe okoki koyebisa ngai basymptomi misusu ozali na yango elongo na oyo?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	mpe okoki koyebisa ngai bilembo nini mosusu ozali na yango elongo na likambo oyo?
8	en	ln	 and how high has your fever been 	mpe fefele na yo ezalaki makasi ndenge nini	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	mpe fièvre na yo esili koleka ndenge nini
9	en	ln	 and i have a cough too 	mpe nazali lisusu na kosukosu	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	mpe nazali mpe na kosukosu
10	en	ln	 and i have a little cold and a cough 	mpe nazali na malili moke na kosukosu	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	mpe nazali na mwa malili mpe kosukosu
11	en	ln	 and i'm really having some bad chest pain today 	mpe lelo nazali komona mpasi makasi na ntolo	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	pe nazali vraiment na mua pasi ya mabe na ntolo lelo
