	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	om	 about how long have these symptoms been going on? 	Mallattooleen kun yeroo hammamiif mul’achaa jira?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	waa’ee mallattooleen kun yeroo hammamii akka turan?
1	en	om	 and all chest pain should be treated this way especially with your age 	Dhukkubbiin laphee hunduu kara kana yaalamuu qabu; keessumaa umuriikee waliin	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas dhukkubbiin garaa hundi haala kanaan yaalamuu qaba keessumaa umurii kee wajjin
2	en	om	 and along with a fever 	Ho’ina qaamaa waliin	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas ho’a qaamaa wajjin
3	en	om	 and also needs to be checked your cholesterol blood pressure 	Fi cholesterol kee ilaalamuu si barbaachisa	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas dhiibbaa dhiigaa kolestroolii keessan sakatta&#39;amuu qaba
4	en	om	 and are you having a fever now? 	Amma ho’ina qaamaa qabdaa?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	amma immoo ho&#39;a qaamaa qabdaa?
5	en	om	 and are you having this chest pain now? 	Dhukkubbiin laphee kun amma sitti in dhaga’amaa?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	amma immoo dhukkubbiin garaa kana sitti dhagahamaa jiraa?
6	en	om	 and besides do you have difficulty breathing 	Kana malees, dhibee hargansuu jabaa qabdaa?	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	kana malees hafuura baafachuun ni rakkataa
7	en	om	 and can you tell me what other symptoms are you having along with this? 	Mallattoowwan gara biroo kana waliin qabaachaa jirtus natti himuu dandeessa.	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas mallattoolee biroo akkamii kana waliin akka argitan natti himuu dandeessu?
8	en	om	 and how high has your fever been 	Fi ho’inni qaamaaketii hagam ol ka’e	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas ho’i qaamaa kee hangam ol akka ta’e
9	en	om	 and i have a cough too 	Akkasumas qufaa qaba	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	anillee qufaa qaba
10	en	om	 and i have a little cold and a cough 	Kana malees, ani qorra xiqqoo fi qufaan qaba.	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas xiqqoo qorra fi qufaa qaba
11	en	om	 and i'm really having some bad chest pain today 	Har’a dhukkubbii qomaa cimaatu natti dhaga’amaa jira.	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas dhuguma har&#39;a dhukkubbiin garaa hamaa tokko tokko na mudachaa jira
12	en	om	 and is this the right time for your hay fever 	Kunimmoo ho’ina qaamakee sanaaf yeroo sirriidhaa?	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas yeroon kun yeroo sirrii dhukkuba margaa keessaniif ta&#39;aa?
13	en	om	 and it get the chest pain 	Ergasii laphee dhukkubbiin na jalqabe	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas dhukkubbii garaa ni argata
14	en	om	 and i think i have a little bit of a fever 	ho’ina qaamaa xiqqoo nan qaba jedheen yaada.	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas xiqqoo ho&#39;a qaamaa qaba jedheen yaada
15	en	om	 and i want you to describe where the chest pain is 	Fi ani dhukkubbiin laphee sun eessa akka ta’e akka ati naaf ibsitun barbaade	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas dhukkubbiin garaa eessa akka jiru akka ibsitan barbaada
16	en	om	 and they're having some fevers as well 	fi akkasumas isaan ho’ina qaamaa hamma ta’e qabu	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas ho&#39;a qaamaa tokko tokkos qabaachaa jiru
17	en	om	 and with your history of diabetes 	Fi seenaa dhibee waa’ee sukkaaraakee waliin	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas seenaa dhukkuba sukkaaraa qabdu waliin
18	en	om	 and you know it feels like my chest is like gonna crush 	Beektaa, Akka Waan lapheenkoo caccabaa jiruutti natti dhaga’amaam	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas garaan koo akka waan gonna crush ta&#39;etti akka natti dhaga&#39;amu beekta
19	en	om	 and you know people cough on me all the time 	Akka namni yeroo hundaa natti qufa’ammoo beekta.	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas namoonni yeroo hunda akka natti qufa&#39;an beekta
20	en	om	 and you're having chest pain 	Fi laphee dhukkubbiis qabaachaa jirta	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	akkasumas dhukkubbiin garaa sitti dhagahama
21	en	om	 and you said this is a pressure in your chest 	Akka ati jettetti kuni dhiibbaa lapheekee keessaati.	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	ati immoo kun dhiibbaa garaa kee keessa jiruudha jette
22	en	om	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	Matiikee keessaa dhibee onnee, koolestroolii olka’aa fi dhiibbaa dhiigaa namni qabu jiraa?	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	maatii keessaa namni kamiyyuu rakkoo onnee qaba dhukkuba onnee dhukkuba onnee kolestroolii olka&#39;aa dhiibbaa dhiigaa
23	en	om	 any other symptoms or problems that you notice with the muscle aches? 	Mallattoo ykn rakkinni biroon ati dhibee maashaa waliin dubbattu jiraa?	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	mallattoolee ykn rakkoolee biroo dhukkubbii maashaalee wajjin hubattu jiraa?
24	en	om	 are there other people sick as you at home with your same symptoms? 	Mallattoo walfakkaataadhaan mana keessatti akkakee kan dhukkubsatan jiruu?	CMU_1:33	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	namoonni biroo akkuma kee mana keetti dhukkubsatan jiraa?
25	en	om	 are you having any other symptoms? 	Mallattoo kan biraa qabdaa?	CMU_1:35	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	mallattoo biraa argitaa?
26	en	om	 are you having any shortness of breath? 	Hafuurrikee ciccitaa jiraa?	CMU_1:36	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	hafuura kutuu sitti dhagahamaa jiraa?
27	en	om	 are you still having the chest pain 	ha’a lapheekoorraa nawaraanaa jira	CMU_1:37	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omVFM=	ammallee dhukkubbiin garaa sitti dhagahamaa jiraa
28	en	om	 because this is flu season 	Sababni isaa yeroon kun wayita (flu)ti.	CMU_1:38	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	sababni isaas kun yeroo infuleenzaa waan ta’eef
29	en	om	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	Garuu Dhibee onnee irraa kan ka’u dhukkubbii laphee waliin walbira kaa’uu hin qabnu.	CMU_1:40	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	garuu akkasumas dhukkubbii garaa ka&#39;umsa onnee onnee kanaaf cinatti kaa&#39;amuu hin qabnu
30	en	om	 but a more important problem now is this chest pain 	Garuu wanti amma caalaa fayyadu dhukkuba qomaa kanadha.	CMU_1:41	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	garuu rakkoon amma caalaatti barbaachisaa ta&#39;e dhukkubbii garaa kana
31	en	om	 but i have difficulty breathing 	Garuu an dhibee hargansuu cimaan qaba	CMU_1:43	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	garuu hafuura baafachuun natti ulfaata
32	en	om	 but i know lot of people cough on me 	Garuu an namoota baay’ee natti jedhanii qufa’an nan beeka	CMU_1:44	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	garuu namoonni baay&#39;een akka natti qufa&#39;an nan beeka
33	en	om	 but we need to treat every chest pain with the utmost seriousness 	Garuu namoota dhibee laphee qaban kamiyyuu xiyyeeffannoodhaan yaaluu qabna.	CMU_1:45	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	garuu dhukkubbii garaa hunda hamma malee yaaluun nu barbaachisa
34	en	om	 but you're breathing all right right now right? 	Garuu yeroo ammaa haala gaariin afuura baafachaa jirtaa?	CMU_1:46	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	omU0F1	garuu yeroo ammaa kana sirriitti hafuura baafachaa jirta mitiiree?
