	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	so	about how long have these symptoms been going on?	muddo intee dhan ayay calaamadahan socdeen?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	ilaa intee in le&#39;eg ayay calaamadahani socdeen?
1	en	so	and all chest pain should be treated this way especially with your age	dhamaan feera xanuunka waa in loo daweeyo sidan gaar ahaan da'daada oo kale	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	iyo dhammaan xabad xanuunka waa in sidaan lagu daweeyaa gaar ahaan da&#39;daada
2	en	so	and along with a fever	iyo ay weheliso qandho	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo ay la socoto qandho
3	en	so	and also needs to be checked your cholesterol blood pressure	sidoo kale waxaad u baahanyahay in lagaa hubiyo kolesteroolka dhiig karka	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo sidoo kale u baahan in la eego cadaadiska dhiiggaaga kolestaroolkaaga
4	en	so	and are you having a fever now?	hadda qandho miyaad leedahay?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo hadda qandho ma haysaa?
5	en	so	and are you having this chest pain now?	miyaad leedahay feera xanuunkan hadda?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo hadda ma feedhahan ayaa kaa haya?
6	en	so	and besides do you have difficulty breathing	intaa ka sokow dhib maku qabtaa neefsashada	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	iyo ka sokow neefsashada ayaa kugu adag
7	en	so	and can you tell me what other symptoms are you having along with this?	oo ma ii sheegi kartaa calaamadaha kale ee aad la leedahay tan?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo ma ii sheegi kartaa calaamadaha kale ee aad la socoto tan?
8	en	so	and how high has your fever been	siday ahayd qandhadaada	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	iyo inta xumadaadu aad u sarraysay
9	en	so	and i have a cough too	waxaan leeyahay qufac sidoo kale	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	anigana qufac ayaa i haya
10	en	so	and i have a little cold and a cough	waxaan leeyahay xoggaa hargab ah iyo qufac	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waxaana i haya hargab yar iyo qufac
11	en	so	and i'm really having some bad chest pain today	runtiina maanta waxaan leeyahay xoogaa feera xanuun ba'an	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo runtii maanta xoogaa feero xanuun ah ayaa i haya
12	en	so	and is this the right time for your hay fever	waa waqtigii ugu haboonaa ee samboorkaaga	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo waa wakhtiga ku habboon xumadaada cawska
13	en	so	and it get the chest pain	oo xanuun feeraha ah ayaa ku dhacay	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waxaana ku dhacaysa xanuunka laabta
14	en	so	and i think i have a little bit of a fever	waxaan u malaynayaa in aan leeyahay wax yar oo qandha ah	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo waxaan u malaynayaa in ay qandho yar igu hayso
15	en	so	and i want you to describe where the chest pain is	waxaan rabaa in aad qeexdo mesha feeraha ka xanuunayaan	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waxaanan rabaa in aad qeexdo halka uu xanuunka laabta ka jiro
16	en	so	and they're having some fevers as well	sidoo kale waxay leeyihiin xoggaa qandhaha sidoo kale	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waxayna sidoo kale leeyihiin xoogaa qandho ah
17	en	so	and with your history of diabetes	iyo la jiranka taariikhdaada sokorawga ah	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	iyo taariikhdaada sonkorowga
18	en	so	and you know it feels like my chest is like gonna crush	waad ogtahay waxaan dareemaa sidii in ay laabtu i dilaacayso	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	waadna ogtahay in ay dareemayso in laabtayda ay tahay sidii wax burburinaya
19	en	so	and you know people cough on me all the time	waad ogtahay dadka way igu qufacaan xilli kasta	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo waad ogtahay in dadku igu qufacaan mar walba
20	en	so	and you're having chest pain	ma waxaad leedahay feera xanuun	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo feedho xanuun ayaa kaa haya
21	en	so	and you said this is a pressure in your chest	waxaad na dhahdey waxaa ku leedahay cadaadis laabtaada	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	oo waxaad tidhi kani waa cadaadis laabtaada ku jira
22	en	so	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	qof kasta oo qoyska kamid oo qaba wadne xanuun cudduradda wadnaha dhibatooyin wadnaha ah kolesterool sare dhiig karka oo sare	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	Qof kasta oo qoyska ka mid ah ayaa qaba dhibaato wadne xanuun wadne xanuun kor u kaca kolestaroolka dhiig karka
23	en	so	any other symptoms or problems that you notice with the muscle aches?	calaamado ama dhibaatooyin kale oo aad ku aragto muruq xanuunka?	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	ma jiraan calaamado kale ama dhibaatooyin kale oo aad ku aragto xanuunka muruqyada?
24	en	so	are there other people sick as you at home with your same symptoms?	majiraan dad kale oo u xanuunsan sidaada oo kale oo gurigaaga kula joogo oo leh calaamadahaaga oo kale?	CMU_1:33	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	ma jiraan dad kale oo u buka adiga oo guriga jooga oo leh calaamado la mid ah?
25	en	so	are you having any other symptoms?	miyaad leedahay wax calaamado oo kale?	CMU_1:35	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	ma leedahay calaamado kale?
26	en	so	are you having any shortness of breath?	miyaad leedahay wax neefshada oo yaraata ah?	CMU_1:36	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_so_0001	ma haysaa wax neefsasho ah?
