	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	ta	 about how long have these symptoms been going on? 	இந்த அறிகுறிகள் எவ்வளவு காலமாக இருந்து வருகின்றன?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	இந்த அறிகுறிகள் எவ்வளவு காலமாக உள்ளன?
1	en	ta	 and all chest pain should be treated this way especially with your age 	அனைத்து மார்பு வலிகளுக்கும் இந்த வழியில் தான் சிகிச்சை அளிக்கப்பட வேண்டும், குறிப்பாக உங்கள் வயதில்	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	மற்றும் அனைத்து மார்பு வலிகள் இந்த வழியில் குறிப்பாக உங்கள் வயது சிகிச்சை வேண்டும்
2	en	ta	 and along with a fever 	மேலும், காய்ச்சலுடன்	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	மற்றும் காய்ச்சலுடன்
3	en	ta	 and also needs to be checked your cholesterol blood pressure 	உங்கள் இரத்தக் கொழுப்பும், இரத்த அழுத்தமும் சோதிக்கப்பட வேண்டும்	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	மேலும் உங்கள் கொலஸ்ட்ரால் இரத்த அழுத்தத்தையும் பரிசோதிக்க வேண்டும்
4	en	ta	 and are you having a fever now? 	மேலும், உங்களுக்கு தற்போது காய்ச்சல் உள்ளதா?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	உங்களுக்கு இப்போது காய்ச்சல் இருக்கிறதா?
5	en	ta	 and are you having this chest pain now? 	மேலும், உங்களுக்கு தற்போது மார்பு வலி உள்ளதா?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	உங்களுக்கு இப்போது நெஞ்சு வலி இருக்கிறதா?
6	en	ta	 and besides do you have difficulty breathing 	மேலும் இதைத் தவிர உங்களுக்கு மூச்சு விடுவதில் சிரமம் உள்ளதா	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	மேலும் உங்களுக்கு சுவாசிப்பதில் சிரமம் உள்ளதா?
7	en	ta	 and can you tell me what other symptoms are you having along with this? 	மேலும் இதனுடன் சேர்ந்து உங்களுக்கு வேறு என்ன அறிகுறிகள் தென்படுகின்றன என்று என்னிடம் நீங்கள் சொல்ல முடியுமா?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	இதனுடன் உங்களுக்கு வேறு என்ன அறிகுறிகள் உள்ளன என்று சொல்ல முடியுமா?
8	en	ta	 and how high has your fever been 	மேலும், உங்கள் காய்ச்சல் எந்தளவு அதிகமாக இருந்து வருகிறது	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	உங்கள் காய்ச்சல் எவ்வளவு அதிகமாக இருந்தது
9	en	ta	 and i have a cough too 	மேலும், எனக்கு இருமலும் உள்ளது	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	எனக்கும் இருமல் இருக்கிறது
10	en	ta	 and i have a little cold and a cough 	மேலும், எனக்கு மிதமான சளி மற்றும் இருமல் உள்ளது	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	எனக்கு கொஞ்சம் சளி மற்றும் இருமல் உள்ளது
11	en	ta	 and i'm really having some bad chest pain today 	மேலும், எனக்கு இன்று கொஞ்சம் மோசமாகவே மார்பு வலி உள்ளது	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	எனக்கு இன்று நெஞ்சு வலி அதிகம்
12	en	ta	 and is this the right time for your hay fever 	இது உங்களுக்கு தூசியால் வரும் சளிக்காய்ச்சல் ஏற்படக்கூடிய நேரமா	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	உங்கள் வைக்கோல் காய்ச்சலுக்கு இது சரியான நேரமா?
13	en	ta	 and it get the chest pain 	மேலும், மார்பு வலி வருகிறது	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	மற்றும் நெஞ்சு வலி வரும்
14	en	ta	 and i think i have a little bit of a fever 	மேலும், எனக்கு மிதமான காய்ச்சல் இருப்பதாக நான் நினைக்கிறேன்	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	எனக்கு கொஞ்சம் காய்ச்சல் இருப்பதாக நினைக்கிறேன்
15	en	ta	 and i want you to describe where the chest pain is 	மேலும், மார்பு வலி எங்கே ஏற்படுகிறது என்பதையும் என்னிடம் நீங்கள் விவரிக்க வேண்டும்	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	மார்பு வலி எங்குள்ளது என்பதை நீங்கள் விவரிக்க விரும்புகிறேன்
16	en	ta	 and they're having some fevers as well 	மேலும், அவர்களுக்கு சிறிது காய்ச்சலும் உள்ளது	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	மேலும் அவர்களுக்கு சில காய்ச்சல்களும் உள்ளன
17	en	ta	 and with your history of diabetes 	மற்றும், உங்களுடைய நீரிழிவு நோய் வரலாற்றுடன்	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	மற்றும் உங்கள் நீரிழிவு வரலாறு
18	en	ta	 and you know it feels like my chest is like gonna crush 	மேலும், என் மார்பே நொறுங்கப் போவது போல உணர்வேன் என்பது உங்களுக்குத் தெரியும்	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	என் மார்பு நசுக்கப் போவது போல் உணர்கிறேன் என்று உனக்குத் தெரியும்
19	en	ta	 and you know people cough on me all the time 	அத்தோடு, உங்களுக்கே தெரியும், எல்லா நேரங்களிலும் மக்கள் என் மீது இருமுகிறார்கள்	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	எல்லா நேரத்திலும் மக்கள் என்னைப் பார்த்து இருமுகிறார்கள் என்பது உங்களுக்குத் தெரியும்
20	en	ta	 and you're having chest pain 	மேலும், உங்களுக்கு மார்பு வலி உள்ளது	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	உங்களுக்கு நெஞ்சு வலி
21	en	ta	 and you said this is a pressure in your chest 	மேலும்,, இது உங்கள் மார்பில் அழுத்தமாக உள்ளது என்று நீங்கள் சொன்னீர்கள்	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	இது உங்கள் மார்பில் ஒரு அழுத்தம் என்று சொன்னீர்கள்
22	en	ta	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	குடும்பத்தில் யாருக்காவது இதய பிரச்சினை, இதய நோய், மாரடைப்பு, உயர் இரத்த கொழுப்பு, உயர் இரத்த அழுத்தம் உள்ளதா	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	குடும்பத்தில் எவருக்கும் இதயப் பிரச்சனை உள்ளது இதய நோய் மாரடைப்பு அதிக கொலஸ்ட்ரால் உயர் இரத்த அழுத்தம்
23	en	ta	 any other symptoms or problems that you notice with the muscle aches? 	தசை வலியுடன் கூடவே வேறு ஏதேனும் அறிகுறிகளோ அல்லது பிரச்சினைகளோ இருப்பதைக் கவனித்தீர்களா?	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	தசை வலிகளுடன் நீங்கள் கவனிக்கும் வேறு ஏதேனும் அறிகுறிகள் அல்லது பிரச்சனைகள் உள்ளதா?
24	en	ta	 are there other people sick as you at home with your same symptoms? 	உங்களுக்கு இருக்கும் அதே அறிகுறிகளுடன் வீட்டில் வேறு யாரேனும் உடல் நலம் பாதிக்கப்பட்டு இருக்கிறார்களா?	CMU_1:33	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	உங்கள் அதே அறிகுறிகளுடன் வீட்டில் உங்களைப் போலவே வேறு சிலரும் நோய்வாய்ப்பட்டிருக்கிறார்களா?
25	en	ta	 are you having any other symptoms? 	உங்களுக்கு வேறு ஏதேனும் அறிகுறிகள் உள்ளனவா?	CMU_1:35	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	உங்களுக்கு வேறு ஏதேனும் அறிகுறிகள் உள்ளதா?
26	en	ta	 are you having any shortness of breath? 	உங்களுக்கு மூச்சுத் திணறல் ஏற்படுகிறதா?	CMU_1:36	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	taUkEg	உங்களுக்கு மூச்சுத் திணறல் இருக்கிறதா?
