	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	ti	 about how long have these symptoms been going on? 	ክንደይ ጊዜ ኮይኑዎም ዞም ምልክታት ካብዚጅምሩ	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ብዛዕባ እዚ ምልክታት እዚ ካብ ዝቕጽል ክንደይ ግዜ ኮይኑ?
1	en	ti	 and all chest pain should be treated this way especially with your age 	ኩሉ ኣይነት ናይ ደረት ቃንዛ ብከምዚ እዩ ኪትሃዝ ዚግብኦ፣ ብተለይ ብናትካ/ኪ/ኩም እድመ	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ከምኡ’ውን ኩሉ ቃንዛ ኣፍልቢ ብፍላይ ምስ ዕድመኻ በዚ ኣገባብ ክሕከም ኣለዎ።
2	en	ti	 and along with a fever 	ምስ ትኩሳት	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ምስ ሰዓል ድማ
3	en	ti	 and also needs to be checked your cholesterol blood pressure 	ብተወሳኪ ናይ ኮሌስትሮልን ደም ግፍኢ ኪልካእ ኣለዎ	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ከምኡ’ውን ጸቕጢ ደም ኮለስትሮልካ ምፍታሽ የድሊ
4	en	ti	 and are you having a fever now? 	ህዚ ትኩሳት ኣለካ/ኪ/ኩም	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ሕጂ ድማ ሰዓል ኣለካ ድዩ?
5	en	ti	 and are you having this chest pain now? 	እሞ ህዚ ይስማእካ/ኪ ዶ ኣሎ ትናይ ደረት ቃንዛ	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ሕጂ ድማ እዚ ናይ ኣፍልቢ ቃንዛ ኣለካ ድዩ?
6	en	ti	 and besides do you have difficulty breathing 	ከምኡውን ናይ ምትንፋስ ፀገም ኣለካዶ?	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiQUtJ	ብዘይካዚ ድማ ምትንፋስ ትጽገም ዲኻ
7	en	ti	 and can you tell me what other symptoms are you having along with this? 	ካላኦት ተረኣዩዎ ምልክታት እንተሃልዮም ምስ ዚ ዶ ይነግሩኒ	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ከምኡ ውን ምስዚ ካልእ እንታይ ምልክታት ከምዘለካ ክትነግረኒ ትኽእል?
8	en	ti	 and how high has your fever been 	ክሳብ ክንደይ ከይዱ ንይሩ ትትኩሳት	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ከምኡ’ውን ሰዓልካ ክሳብ ክንደይ ልዑል ኮይኑ
9	en	ti	 and i have a cough too 	ስኣልውን ኣለኒ	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	and i have a cough too
10	en	ti	 and i have a little cold and a cough 	ንእሽተይ ቁሪን ስኣልን ኣለኒ	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	and i ቁሩብ ሰዓልን ሰዓልን ኣለኒ።
11	en	ti	 and i'm really having some bad chest pain today 	ሎሚ ብጣእሚ ሃያል ናይ ደረት ቃንዛ ኣለኒ	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	and i&#39;m really having some bad chest pain ሎሚ
12	en	ti	 and is this the right time for your hay fever 	እሞ ሕጂ ንዝለዓለ ረስኒ ዝበጽሓሉ ትኽክለኛ ጊዜ ድዩ	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	እዚ ድማ ንናይ ሓሰር ሰዓልካ ትኽክለኛ ግዜ ድዩ
13	en	ti	 and it get the chest pain 	ካብኡ ናይ ደረት ቃንዛ ረኽበ	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ከምኡ’ውን ቃንዛ ኣፍልቢ ይረክብ
14	en	ti	 and i think i have a little bit of a fever 	እሞ ይመስለኒ ንእሽተይ ትኩሳት ኣለኒ	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	and i think ቁሩብ ሰዓል ኣለኒ።
15	en	ti	 and i want you to describe where the chest pain is 	እት ና ይ ደረት ቃንዛ ኣበይ ከምዘሎ ክትገልጸለይ/ጽለይ እደልይ እዬ	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	and i want you to describe እቲ ቃንዛ ኣፍልቢ ኣበይ ከምዘሎ
16	en	ti	 and they're having some fevers as well 	ንሳቶም እውን ዝተወሰነ ረስኒ ኣለዎም	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ከምኡ ውን ገለ ሰዓል እውን ኣለዎም።
17	en	ti	 and with your history of diabetes 	እሞ ምስ ናይ ሽኮር ታሪክካ/ኪ	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ከምኡ’ውን ምስ ታሪኽ ሕማም ሽኮርካ
18	en	ti	 and you know it feels like my chest is like gonna crush 	ደረተይ ኪፍንድእ ከምዝኮነ እዩ ዚስምኒ	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	ከምኡ ውን ኣፍልበይ ከም gonna crush ኮይኑ ከም ዝስምዓኒ ትፈልጥ ኢኻ።
