	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	zu	about how long have these symptoms been going on?	cishe seziqhubeke isikhathi eside kanganani lezi zimpawu?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	ngabe lezi zimpawu zinesikhathi esingakanani zenzeka?
1	en	zu	and all chest pain should be treated this way especially with your age	futhi bonke ubuhlungu besifuba kufanele bulashwe ngale ndlela ikakhulukazi eminyakeni okuyo	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	futhi bonke ubuhlungu besifuba kufanele buphathwe ngale ndlela ikakhulukazi ngeminyaka yakho
2	en	zu	and along with a fever	kanye nemfiva	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	kanye nomkhuhlane
3	en	zu	and also needs to be checked your cholesterol blood pressure	futhi kudingeka kuhlolwe umfutho wegazi we-cholesterol yakho	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	futhi udinga ukubhekwa umfutho wegazi wakho we-cholesterol
4	en	zu	and are you having a fever now?	ingabe unemfiva manje?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	kanti usuphethwe umkhuhlane manje?
5	en	zu	and are you having this chest pain now?	futhi ingabe unalobu buhlungu besifuba manje?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	kanti uphethwe yini lesifuba manje?
6	en	zu	and besides do you have difficulty breathing	futhi ingabe unenkinga yokuphefumula	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	futhi ngaphandle kwalokho uba nobunzima bokuphefumula
7	en	zu	and can you tell me what other symptoms are you having along with this?	futhi ungakwazi ukusho ukuthi yiziphi ezinye izimpawu onazo nalokhu?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	futhi ungangitshela ukuthi yiziphi ezinye izimpawu onazo kanye nalokhu?
8	en	zu	and how high has your fever been	futhi imfiva yakho iphakame kakhulu kanganani	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	nokuthi umkhuhlane wakho uphakame kangakanani
9	en	zu	and i have a cough too	futhi ngiyakhwehlela	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	nami ngiyakhwehlela
10	en	zu	and i have a little cold and a cough	futhi nginomkhuhlane nokukhwehlela okuncane	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	futhi ngiphethwe umkhuhlane kanye nokukhwehlela
11	en	zu	and i'm really having some bad chest pain today	futhi isifuba sami sibuhlungu kakhulu namuhla	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	futhi ngiphethwe isifuba esibuhlungu ngempela namuhla
12	en	zu	and is this the right time for your hay fever	futhi ingabe lesi isikhathi esikahle yini sokuphathwa imfiva ebangelwa utshani obomile	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	futhi ingabe lesi yisikhathi esifanele se-hay fever yakho
13	en	zu	and it get the chest pain	futhi iphathwa isifuba esibuhlungu	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001	futhi ithola ubuhlungu besifuba
