	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	targetLang	system score
0	0	0	0	am	0.8400020167373475
1	1	1	1	ar	0.8485988718697003
2	2	2	2	bn	0.8556144546469052
3	3	3	3	fa	0.8704421786325318
4	4	4	4	fr	0.8099165751749561
5	5	5	5	hi	0.8035274499229023
6	6	6	6	id	0.9167799212819054
7	7	7	7	mr	0.7163722029328347
8	8	8	8	ms	0.9009947720028104
9	9	9	9	ne	0.82271607956716
10	10	10	10	ps	0.7920890282165437
11	11	11	11	pt-BR	0.8976019434417997
12	12	12	12	ru	0.8819379360335213
13	13	13	13	so	0.699478345101788
14	14	14	14	ur	0.8167880591750145
15	15	15	15	zh	0.8924368499574207
16	16	0	0	es-LA	0.8835402016696475
17	17	0	0	sw	0.819969039502598
