	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	ln	 about how long have these symptoms been going on? 	basymptomi oyo ewumeli mikolo boni?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' Basymptomi yango eumeli mbula boni? ']
1	en	ln	 and all chest pain should be treated this way especially with your age 	mpe bampasi nyonso ya ntolo esengeli esalisama mpona kobika lolenge oyo mpona mibu na yo	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe mpasi nyonso ya ntolo esengeli kotalelama ndenge wana mingimingi na mbula na yo ']
2	en	ln	 and along with a fever 	mpe elongo na fefele	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe elongo na fievre ']
3	en	ln	 and also needs to be checked your cholesterol blood pressure 	mpe esengeli kotala tansio ya cholesterole na yo	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe lisusu esengeli kotalelama na tension ya makila na yo ya cholesterole ']
4	en	ln	 and are you having a fever now? 	mpe yo ozali na fefele sikoyo?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe ozali na fievre sikoyo? ']
5	en	ln	 and are you having this chest pain now? 	mpe ozali na mpasi na ntolo sikoyo?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe ozali na mpasi oyo ya ntolo sikoyo? ']
6	en	ln	 and besides do you have difficulty breathing 	mpe ozali na mpasi ya kopema	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe longola yango, ozali na mokakatano ya kopema ']
7	en	ln	 and can you tell me what other symptoms are you having along with this? 	mpe okoki koyebisa ngai basymptomi misusu ozali na yango elongo na oyo?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe okoki koyebisa ngai basymptomi nini mosusu ozali na yango elongo na oyo? ']
8	en	ln	 and how high has your fever been 	mpe fefele na yo ezalaki makasi ndenge nini	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe fievre na yo emati ndenge nini ']
9	en	ln	 and i have a cough too 	mpe nazali lisusu na kosukosu	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe naza na kosukosu ']
10	en	ln	 and i have a little cold and a cough 	mpe nazali na malili moke na kosukosu	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe nazali na malili moke mpe kosukosu ']
11	en	ln	 and i'm really having some bad chest pain today 	mpe lelo nazali komona mpasi makasi na ntolo	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe nazali mpenza na mpasi ya mabe na ntolo lelo ']
12	en	ln	 and is this the right time for your hay fever 	pe oyo tango ekoki pona fievre nayo ya foin	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe oyo nde ngonga ebongi mpo na fievre na yo ya foin ']
13	en	ln	 and it get the chest pain 	mpe ekomi na ntolo	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe ezali kozwa mpasi na ntolo ']
14	en	ln	 and i think i have a little bit of a fever 	mpe nakanisi nazali nan fefele moke	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe nakanisi naza na mwa fievre moke ']
15	en	ln	 and i want you to describe where the chest pain is 	mpe nalingi yo olimbola ngai esika mpasi ya ntolo ezali	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe nalingi olobela esika mpasi ya ntolo ezali wapi ']
16	en	ln	 and they're having some fevers as well 	mpe bazali na fefele moke mpe	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' Et moi aussi je te laisse bisous ']
17	en	ln	 and with your history of diabetes 	mpe na lisolo na yo ya diabeti	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe na lisolo na yo ya diabete ']
18	en	ln	 and you know it feels like my chest is like gonna crush 	mpe oyebi ezali kosala lekola ntolo na ngai ekobukana	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 01	[' mpe oyebi ete ezali koyoka lokola ntolo na ngai ezali lokola kokende kotuta ']
