	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated
0	en	ti	 about how long have these symptoms been going on? 	ክንደይ ጊዜ ኮይኑዎም ዞም ምልክታት ካብዚጅምሩ	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' እዚ ምልክታት እዚ ንኽንደይ ዚኣክል ግዜ እዩ ዚቕጽል ዘሎ? ']
1	en	ti	 and all chest pain should be treated this way especially with your age 	ኩሉ ኣይነት ናይ ደረት ቃንዛ ብከምዚ እዩ ኪትሃዝ ዚግብኦ፣ ብተለይ ብናትካ/ኪ/ኩም እድመ	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ኵሉ ቓንዛ ኣፍ ልብኻ ኸኣ ብፍላይ ምስ ዕድመኻ ኸምዚ ዓይነት ሕክምና ኺግበረሉ ኣለዎ ']
2	en	ti	 and along with a fever 	ምስ ትኩሳት	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ምስ ረስኒ ']
3	en	ti	 and also needs to be checked your cholesterol blood pressure 	ብተወሳኪ ናይ ኮሌስትሮልን ደም ግፍኢ ኪልካእ ኣለዎ	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ጸቕጢ ደም ኮሌስትሮል እውን ክትምርምር ኣሎካ ']
4	en	ti	 and are you having a fever now? 	ህዚ ትኩሳት ኣለካ/ኪ/ኩም	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ሕጂኸ ረስኒ ኣሎካዶ ? ']
5	en	ti	 and are you having this chest pain now? 	እሞ ህዚ ይስማእካ/ኪ ዶ ኣሎ ትናይ ደረት ቃንዛ	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ሕጂኸ ኣብ ኣፍ ልብኻ ቓንዛ ይስምዓካዶ ኣሎ? ']
6	en	ti	 and besides do you have difficulty breathing 	ከምኡውን ናይ ምትንፋስ ፀገም ኣለካዶ?	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiQUtJ	[' ኣብ ርእሲ እዚ ምስትንፋስ የጸግመካ እዩ ']
7	en	ti	 and can you tell me what other symptoms are you having along with this? 	ካላኦት ተረኣዩዎ ምልክታት እንተሃልዮም ምስ ዚ ዶ ይነግሩኒ	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ምስዚ እንታይ ካልእ ምልክታት ከም ዘሎካኸ ኽትነግረኒ ትኽእልዶ? ']
8	en	ti	 and how high has your fever been 	ክሳብ ክንደይ ከይዱ ንይሩ ትትኩሳት	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ረስኒኻ ኽሳዕ ክንደይ እዩ ']
9	en	ti	 and i have a cough too 	ስኣልውን ኣለኒ	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ኣነ እውን ሰዓል ኣሎኒ ']
10	en	ti	 and i have a little cold and a cough 	ንእሽተይ ቁሪን ስኣልን ኣለኒ	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ቍሩብ ቍርን ሰዓልን ኣሎኒ ']
11	en	ti	 and i'm really having some bad chest pain today 	ሎሚ ብጣእሚ ሃያል ናይ ደረት ቃንዛ ኣለኒ	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ሎሚ እውን ኣብ ኣፍልበይ ሕማቕ ቃንዛ የጋጥመኒ ኣሎ ']
12	en	ti	 and is this the right time for your hay fever 	እሞ ሕጂ ንዝለዓለ ረስኒ ዝበጽሓሉ ትኽክለኛ ጊዜ ድዩ	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ረስኒ ሓሰር ካባኻ ግቡእ ግዜ ድዩ ']
13	en	ti	 and it get the chest pain 	ካብኡ ናይ ደረት ቃንዛ ረኽበ	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ኣብ ኣፍ ልቢ ድማ ቃንዛ ይስምዖ ']
14	en	ti	 and i think i have a little bit of a fever 	እሞ ይመስለኒ ንእሽተይ ትኩሳት ኣለኒ	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ቍሩብ ረስኒ ዘሎኒ ይመስለኒ ']
15	en	ti	 and i want you to describe where the chest pain is 	እት ና ይ ደረት ቃንዛ ኣበይ ከምዘሎ ክትገልጸለይ/ጽለይ እደልይ እዬ	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ቃንዛ ኣፍ ልቢ ኣበይ ከም ዘሎ ኽትገልጻ ድማ እደሊ እየ ']
16	en	ti	 and they're having some fevers as well 	ንሳቶም እውን ዝተወሰነ ረስኒ ኣለዎም	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ረስኒ እውን ኣለዎም ']
17	en	ti	 and with your history of diabetes 	እሞ ምስ ናይ ሽኮር ታሪክካ/ኪ	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ምስ ታሪኽ ሽኮርያ ']
18	en	ti	 and you know it feels like my chest is like gonna crush 	ደረተይ ኪፍንድእ ከምዝኮነ እዩ ዚስምኒ	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	tiTklT	[' ኣፍ ልበይ ከም ዚጭፍልቕ ኰይኑ ኸም ዚስምዓኒ እውን ትፈልጥ ኢኻ ']
